"",BBFN1.M.DE.N.1.L.HK.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HK.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1995-05,0.839,
1995-06,0.845,
1995-07,0.833,
1995-08,0.876,
1995-09,0.867,
1995-10,0.896,
1995-11,0.908,
1995-12,0.869,
1996-01,0.883,
1996-02,0.925,
1996-03,0.962,
1996-04,0.969,
1996-05,0.921,
1996-06,0.903,
1996-07,0.920,
1996-08,0.977,
1996-09,1.120,
1996-10,1.148,
1996-11,1.146,
1996-12,1.120,
1997-01,1.149,
1997-02,1.185,
1997-03,1.177,
1997-04,1.202,
1997-05,1.276,
1997-06,1.300,
1997-07,1.251,
1997-08,1.272,
1997-09,1.293,
1997-10,1.286,
1997-11,1.242,
1997-12,1.355,
1998-01,1.359,
1998-02,1.387,
1998-03,1.382,
1998-04,1.417,
1998-05,1.430,
1998-06,1.586,
1998-07,1.574,
1998-08,1.534,
1998-09,1.515,
1998-10,1.568,
1998-11,1.573,
1998-12,1.531,
1999-01,1.459,
1999-02,1.389,
1999-03,1.395,
1999-04,1.393,
1999-05,1.394,
1999-06,1.390,
1999-07,1.388,
1999-08,1.388,
1999-09,1.387,
1999-10,1.392,
1999-11,1.422,
1999-12,1.454,
2000-01,1.460,
2000-02,1.500,
2000-03,1.526,
2000-04,1.540,
2000-05,1.583,
2000-06,1.565,
2000-07,1.607,
2000-08,1.644,
2000-09,1.640,
2000-10,1.641,
2000-11,1.565,
2000-12,1.593,
2001-01,1.535,
2001-02,1.389,
2001-03,1.033,
2001-04,0.826,
2001-05,0.612,
2001-06,0.599,
2001-07,0.411,
2001-08,0.440,
2001-09,0.460,
2001-10,0.473,
2001-11,0.471,
2001-12,0.483,
2002-01,0.492,
2002-02,0.480,
2002-03,0.503,
2002-04,0.523,
2002-05,0.459,
2002-06,0.486,
2002-07,0.498,
2002-08,0.497,
2002-09,0.541,
2002-10,0.475,
2002-11,0.463,
2002-12,0.440,
2003-01,0.436,
2003-02,0.420,
2003-03,0.420,
2003-04,0.431,
2003-05,0.534,
2003-06,0.547,
2003-07,0.472,
2003-08,0.495,
2003-09,0.517,
2003-10,0.574,
2003-11,0.569,
2003-12,0.483,
2004-01,0.574,
2004-02,0.574,
2004-03,0.650,
2004-04,0.661,
2004-05,0.646,
2004-06,0.729,
2004-07,0.735,
2004-08,0.758,
2004-09,0.834,
2004-10,0.765,
2004-11,0.742,
2004-12,0.736,
2005-01,0.467,
2005-02,0.494,
2005-03,0.493,
2005-04,0.477,
2005-05,0.490,
2005-06,0.493,
2005-07,0.487,
2005-08,0.521,
2005-09,0.543,
2005-10,0.543,
2005-11,0.526,
2005-12,0.540,
2006-01,0.474,
2006-02,0.455,
2006-03,0.530,
2006-04,0.466,
2006-05,0.495,
2006-06,0.584,
2006-07,0.484,
2006-08,0.467,
2006-09,0.456,
2006-10,0.461,
2006-11,0.318,
2006-12,0.461,
2007-01,0.559,
2007-02,0.582,
2007-03,0.627,
2007-04,0.590,
2007-05,0.481,
2007-06,0.531,
2007-07,0.532,
2007-08,0.556,
2007-09,0.571,
2007-10,0.541,
2007-11,0.594,
2007-12,0.607,
2008-01,0.558,
2008-02,0.581,
2008-03,0.585,
2008-04,0.565,
2008-05,0.551,
2008-06,0.586,
2008-07,0.578,
2008-08,0.566,
2008-09,0.609,
2008-10,0.589,
2008-11,0.603,
2008-12,0.684,
2009-01,0.607,
2009-02,0.590,
2009-03,0.659,
2009-04,0.880,
2009-05,0.900,
2009-06,0.900,
2009-07,0.946,
2009-08,0.950,
2009-09,0.978,
2009-10,0.962,
2009-11,0.940,
2009-12,0.628,
2010-01,0.638,
2010-02,0.626,
2010-03,0.696,
2010-04,0.688,
2010-05,0.753,
2010-06,0.812,
2010-07,0.812,
2010-08,0.844,
2010-09,0.828,
2010-10,0.873,
2010-11,0.886,
2010-12,0.917,
2011-01,0.833,
2011-02,0.878,
2011-03,0.976,
2011-04,0.884,
2011-05,0.922,
2011-06,0.913,
2011-07,0.911,
2011-08,0.943,
2011-09,0.964,
2011-10,0.981,
2011-11,1.096,
2011-12,1.033,
2012-01,0.982,
2012-02,0.994,
2012-03,1.075,
2012-04,0.988,
2012-05,1.048,
2012-06,1.063,
2012-07,1.086,
2012-08,1.090,
2012-09,1.439,
2012-10,1.132,
2012-11,1.145,
2012-12,1.168,
2013-01,1.106,
2013-02,1.088,
2013-03,1.450,
2013-04,1.491,
2013-05,1.551,
2013-06,1.347,
2013-07,1.192,
2013-08,1.319,
2013-09,1.458,
2013-10,1.337,
2013-11,1.421,
2013-12,1.415,
2014-01,1.428,
2014-02,1.526,
2014-03,1.540,
2014-04,1.510,
2014-05,1.526,
2014-06,1.306,
2014-07,1.400,
2014-08,1.376,
2014-09,1.517,
2014-10,1.680,
2014-11,1.701,
2014-12,1.815,
