"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.B000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.B000.EUR.BGA.X001.D_FLAGS
2008-12,73.148,
2009-01,80.128,
2009-02,81.288,
2009-03,97.503,
2009-04,96.363,
2009-05,90.362,
2009-06,97.540,
2009-07,91.269,
2009-08,89.514,
2009-09,93.791,
2009-10,95.396,
2009-11,92.327,
2009-12,97.033,
2010-01,90.286,
2010-02,92.490,
2010-03,95.374,
2010-04,101.481,
2010-05,97.393,
2010-06,92.728,
2010-07,98.309,
2010-08,98.432,
2010-09,100.922,
2010-10,103.757,
2010-11,102.274,
2010-12,90.270,
2011-01,105.294,
2011-02,102.137,
2011-03,95.570,
2011-04,94.863,
2011-05,102.062,
2011-06,107.157,
2011-07,113.171,
2011-08,125.657,
2011-09,125.643,
2011-10,136.506,
2011-11,137.235,
2011-12,111.493,
2012-01,130.017,
2012-02,133.639,
2012-03,132.908,
2012-04,130.971,
2012-05,140.960,
2012-06,149.727,
2012-07,150.078,
2012-08,136.099,
2012-09,149.063,
2012-10,141.534,
2012-11,144.375,
2012-12,129.354,
2013-01,152.276,
2013-02,154.031,
2013-03,155.161,
2013-04,149.776,
2013-05,146.311,
2013-06,156.952,
2013-07,145.955,
2013-08,138.278,
2013-09,141.219,
2013-10,149.460,
2013-11,148.249,
2013-12,138.166,
2014-01,144.478,
2014-02,145.526,
2014-03,164.487,
2014-04,151.436,
2014-05,170.439,
2014-06,161.262,
2014-07,152.049,
2014-08,155.871,
2014-09,158.213,
2014-10,150.202,
2014-11,154.468,
2014-12,123.825,
"","General: From January 1999, including national currencies of the euro-area member states.",
