"",BBFB1.M.N.DE.W1.S13.S1.T.L.FA.O.F4.L._T.N.N,BBFB1.M.N.DE.W1.S13.S1.T.L.FA.O.F4.L._T.N.N_FLAGS
2000-02,-41.965,
2000-03,-175.258,
2000-04,133.364,
2000-05,-190.377,
2000-06,-50.357,
2000-07,-109.106,
2000-08,-28.121,
2000-09,-291.038,
2000-10,-67.102,
2000-11,444.259,
2000-12,14.207,
2001-01,-55.220,
2001-02,52.970,
2001-03,-86.698,
2001-04,-52.353,
2001-05,26.844,
2001-06,-155.162,
2001-07,-89.963,
2001-08,8.019,
2001-09,-17.685,
2001-10,93.557,
2001-11,71.732,
2001-12,-12.902,
2002-01,-8.612,
2002-02,-81.807,
2002-03,-227.926,
2002-04,-73.961,
2002-05,-136.920,
2002-06,35.057,
2002-07,-57.573,
2002-08,808.377,
2002-09,-222.485,
2002-10,-172.661,
2002-11,-321.869,
2002-12,335.145,
2003-01,258.738,
2003-02,1853.275,
2003-03,1841.319,
2003-04,-93.788,
2003-05,-73.671,
2003-06,54.581,
2003-07,-50.572,
2003-08,-33.286,
2003-09,-76.243,
2003-10,-2.595,
2003-11,-20.686,
2003-12,1201.633,
2004-01,5.562,
2004-02,275.918,
2004-03,-2001.576,
2004-04,1215.757,
2004-05,812.002,
2004-06,-1488.270,
2004-07,595.885,
2004-08,476.411,
2004-09,-2131.961,
2004-10,428.956,
2004-11,-726.159,
2004-12,-617.785,
2005-01,1458.229,
2005-02,205.833,
2005-03,1308.815,
2005-04,927.656,
2005-05,14.493,
2005-06,-1450.072,
2005-07,387.339,
2005-08,679.660,
2005-09,-499.798,
2005-10,-262.858,
2005-11,506.079,
2005-12,-648.933,
2006-01,90.360,
2006-02,597.606,
2006-03,-84.714,
2006-04,-504.456,
2006-05,-291.391,
2006-06,282.411,
2006-07,748.818,
2006-08,-75.485,
2006-09,-173.962,
2006-10,-89.673,
2006-11,335.912,
2006-12,-0.748,
2007-01,-63.440,
2007-02,231.630,
2007-03,-808.562,
2007-04,-748.194,
2007-05,-83.040,
2007-06,-516.513,
2007-07,-264.814,
2007-08,-228.617,
2007-09,-426.776,
2007-10,-95.793,
2007-11,-29.899,
2007-12,-157.432,
2008-01,-536.913,
2008-02,-124.265,
2008-03,-433.406,
2008-04,-210.924,
2008-05,50.430,
2008-06,-48.436,
2008-07,-0.032,
2008-08,-110.926,
2008-09,-30.589,
2008-10,-350.139,
2008-11,578.840,
2008-12,55.879,
2009-01,-151.557,
2009-02,-130.284,
2009-03,-194.938,
2009-04,-182.920,
2009-05,-723.260,
2009-06,-25.355,
2009-07,-22.036,
2009-08,-178.188,
2009-09,9.949,
2009-10,-77.247,
2009-11,-322.937,
2009-12,-12.569,
2010-01,-20.502,
2010-02,-281.694,
2010-03,-282.053,
2010-04,-120.023,
2010-05,-179.559,
2010-06,252.039,
2010-07,100.530,
2010-08,-11.398,
2010-09,11.949,
2010-10,1090.350,
2010-11,-732.507,
2010-12,784.611,
2011-01,-1049.890,
2011-02,1699.721,
2011-03,-90.063,
2011-04,-269.962,
2011-05,-170.000,
2011-06,1882.032,
2011-07,130.617,
2011-08,24.000,
2011-09,1569.810,
2011-10,-255.288,
2011-11,794.584,
2011-12,418.188,
2012-01,1033.131,
2012-02,1618.957,
2012-03,10792.856,
2012-04,9764.085,
2012-05,1270.943,
2012-06,251.697,
2012-07,698.685,
2012-08,63.471,
2012-09,531.906,
2012-10,1484.793,
2012-11,-672.440,
2012-12,9419.127,
2013-01,689.349,
2013-02,1088.753,
2013-03,-999.829,
2013-04,-228.413,
2013-05,4251.054,
2013-06,2098.861,
2013-07,-34.246,
2013-08,1089.262,
2013-09,855.785,
2013-10,-1080.914,
2013-11,1017.349,
2013-12,729.998,
2014-01,-1814.799,
2014-02,120.959,Provisional value
2014-03,-73.189,Provisional value
2014-04,1649.158,Provisional value
2014-05,-135.942,Provisional value
2014-06,-89.680,Provisional value
2014-07,41.501,Provisional value
2014-08,-32.164,Provisional value
2014-09,-356.896,
2014-10,62.633,
2014-11,-905.310,
2014-12,-57.014,Provisional value
