"",BBEX3.M.KHR.USD.CA.AB.A01,BBEX3.M.KHR.USD.CA.AB.A01_FLAGS
1994-02,2519.40,
1994-03,2529.60,
1994-04,2560.00,
1994-05,2616.00,
1994-06,2565.00,
1994-07,2565.30,
1994-08,2631.60,
1994-09,2657.10,
1994-10,2754.00,
1994-11,2657.10,
1994-12,2626.50,
1995-01,2626.50,
1995-02,2652.00,
1995-03,2448.00,
1995-04,2339.88,
1995-05,2346.00,
1995-06,2387.82,
1995-07,2470.44,
1995-08,2511.24,
1995-09,2545.92,
1995-10,2569.38,
1995-11,2569.38,
1995-12,2576.52,
1996-01,2599.98,
1996-02,2599.98,
1996-03,2609.16,
1996-04,2602.00,
1996-05,2606.00,
1996-06,2645.00,
1996-07,2696.70,
1996-08,2691.65,
1996-09,2713.87,
1996-10,2755.02,
1996-11,2745.84,
1996-12,2767.26,
1997-01,2786.64,
1997-02,2797.86,
1997-03,2789.70,
1997-04,2798.88,
1997-05,2806.02,
1997-06,2816.22,
1997-07,2958.00,
1997-08,3060.00,
1997-09,3255.84,
1997-10,3477.18,
1997-11,3470.04,
1997-12,3521.04,
1998-01,3661.80,
1998-02,3626.10,
1998-03,3651.60,
1998-04,3728.10,
1998-05,4095.30,
1998-06,4074.90,
1998-07,4023.90,
1998-08,3804.60,
1998-09,3876.00,
1998-10,3947.40,
1998-11,3850.50,
1998-12,3845.40,
1999-01,3790.00,
1999-02,3790.00,
1999-03,3800.00,
1999-04,3800.00,
1999-05,3810.00,
1999-06,3810.00,
1999-07,3830.00,
1999-08,3880.00,
1999-09,3905.00,
1999-10,3835.00,
1999-11,3805.00,
1999-12,3780.00,
2000-01,3810.00,
2000-02,3835.00,
2000-03,3830.00,
2000-04,3840.00,
2000-05,3870.00,
2000-06,3875.00,
2000-07,3890.00,
2000-08,3910.00,
2000-09,3900.00,
2000-10,3900.00,
2000-11,3900.00,
2000-12,3915.00,
2001-01,3920.00,
2001-02,3920.00,
2001-03,3920.00,
2001-04,3925.00,
2001-05,3930.00,
2001-06,3925.00,
2001-07,3935.00,
2001-08,3935.00,
2001-09,3950.00,
2001-10,3950.00,
2001-11,3935.00,
2001-12,3905.00,
2002-01,3905.00,
2002-02,3915.00,
2002-03,3905.00,
2002-04,3910.00,
2002-05,3915.00,
2002-06,3925.00,
2002-07,3920.00,
2002-08,3930.00,
2002-09,3955.00,
2002-10,3945.00,
2002-11,3940.00,
2002-12,3940.00,
2003-01,3945.00,
2003-02,3945.00,
2003-03,3950.00,
2003-04,3965.00,
2003-05,4010.00,
2003-06,3995.00,
2003-07,3990.00,
2003-08,4030.00,
2003-09,4010.00,
2003-10,4005.00,
2003-11,3995.00,
2003-12,3984.00,
2004-01,3994.00,
2004-02,4000.00,
2004-03,3995.00,
2004-04,4006.00,
2004-05,4033.00,
2004-06,4028.00,
2004-07,4033.00,
2004-08,4058.00,
2004-09,4058.00,
2004-10,4058.00,
2004-11,4025.00,
2004-12,4035.00,
2005-01,4038.00,
2005-02,4038.00,
2005-03,4035.00,
2005-04,4050.00,
2005-05,4075.00,
2005-06,4110.00,
2005-07,4205.00,
2005-08,4120.00,
2005-09,4179.00,
2005-10,4194.00,
2005-11,4174.00,
2005-12,4120.00,
2006-01,4085.00,
2006-02,4087.00,
2006-03,4103.00,
2006-04,4100.00,
2006-05,4110.00,
2006-06,4118.00,
2006-07,4122.00,
2006-08,4152.00,
2006-09,4162.00,
2006-10,4158.00,
2006-11,4107.00,
2006-12,4065.00,
2007-01,4072.00,
2007-02,4065.00,
2007-03,4063.00,
2007-04,4070.00,
2007-05,4085.00,
2007-06,4090.00,
2007-07,4085.00,
2007-08,4088.00,
2007-09,4083.00,
2007-10,4056.00,
2007-11,4010.00,
2007-12,4007.00,
2008-01,4004.00,
2008-02,3999.00,
2008-03,4003.00,
2008-04,4005.00,
2008-05,4030.00,
2008-06,4100.00,
2008-07,4115.00,
2008-08,4115.00,
2008-09,4120.00,
2008-10,4118.00,
2008-11,4074.00,
2008-12,4085.00,
2009-01,4120.00,
2009-02,4130.00,
2009-03,4097.00,
2009-04,4125.00,
2009-05,4145.00,
2009-06,4168.00,
2009-07,4195.00,
2009-08,4150.00,
2009-09,4180.00,
2009-10,4178.00,
2009-11,4167.00,
2009-12,4173.00,
2010-01,4175.00,
2010-02,4191.00,
2010-03,4190.00,
2010-04,4208.00,
2010-05,4223.00,
2010-06,4230.00,
2010-07,4245.00,
2010-08,4243.00,
2010-09,4235.00,
2010-10,4230.00,
2010-11,4083.00,
2010-12,4055.00,
2011-01,4054.00,
2011-02,4042.00,
2011-03,4013.00,
2011-04,4028.00,
2011-05,4088.00,
2011-06,4123.00,
2011-07,4108.00,
2011-08,4101.00,
2011-09,4088.00,
2011-10,4108.00,
2011-11,4039.00,
2011-12,4039.00,
"",General: Only middle rates have been available since January 2012.,
"","Source: Since March 2002: National Bank of Cambodia, Phnom Penh January 1999 - February 2002: Standard Chartered Bank, Phnom Penh 1986 - December 1998: Foreign Trade Bank of Cambodia, Phnom Penh (until the end of 1989: Foreign Trade Bank of Kampuchea)",
"","Comment on 1987-09: On 12 September 1987, the exchange rates were adjusted. Calculated devaluation: 70.0%.",
"","Comment on 1988-10: On 17 October 1988, the exchange rates were adjusted. Calculated devaluation: 30.0% (middle rate).",
"",Comment on 1990-08: Calculated devaluation: 25.5%.,
"",Comment on 1990-10: Calculated devaluation: 15.0%.,
"","Comment on 1991-07: On 6 July 1991, the exchange rates were adjusted. Calculated devaluation: 25.0%.",
"","Comment on 1991-09: On 9 September 1991, the exchange rates were adjusted. Calculated devaluation: 20.0%.",
