"",BBDE1.M.DE.Y.BA10.A2P200000.F.C.I10.A,BBDE1.M.DE.Y.BA10.A2P200000.F.C.I10.A_FLAGS
2008-11,95.4,
2008-12,94.3,
2009-01,89.9,
2009-02,88.3,
2009-03,88.7,
2009-04,88.0,
2009-05,91.1,
2009-06,92.3,
2009-07,92.0,
2009-08,92.6,
2009-09,96.0,
2009-10,94.1,
2009-11,94.4,
2009-12,95.2,
2010-01,95.1,
2010-02,94.9,
2010-03,97.5,
2010-04,97.4,
2010-05,100.9,
2010-06,100.5,
2010-07,100.1,
2010-08,101.0,
2010-09,101.7,
2010-10,102.9,
2010-11,102.1,
2010-12,102.9,
2011-01,102.9,
2011-02,103.8,
2011-03,104.0,
2011-04,104.3,
2011-05,103.8,
2011-06,105.0,
2011-07,105.5,
2011-08,105.5,
2011-09,103.7,
2011-10,103.5,
2011-11,103.5,
2011-12,103.0,
2012-01,102.2,
2012-02,101.9,
2012-03,103.2,
2012-04,102.3,
2012-05,102.8,
2012-06,101.9,
2012-07,102.4,
2012-08,103.2,
2012-09,100.8,
2012-10,100.7,
2012-11,100.4,
2012-12,99.9,
2013-01,99.5,
2013-02,100.6,
2013-03,101.7,
2013-04,100.8,
2013-05,102.4,
2013-06,100.6,
2013-07,100.7,
2013-08,102.7,
2013-09,101.2,
2013-10,101.8,
2013-11,102.6,
2013-12,103.3,
2014-01,103.2,
2014-02,103.5,
2014-03,102.6,
2014-04,103.5,
2014-05,101.7,
2014-06,102.6,
2014-07,103.1,
2014-08,101.2,
2014-09,102.6,
2014-10,101.7,Provisional value
2014-11,101.9,Provisional value
2014-12,102.4,Provisional value
