"",BBFB1.M.N.DE.W1.S1.S1.T.D.SJ._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SJ._Z._Z._Z._T._X.N_FLAGS
2012-07,5380.374,
2012-08,5144.189,
2012-09,4718.122,
2012-10,5176.722,
2012-11,5675.149,
2012-12,7349.854,
2013-01,5742.302,
2013-02,4353.767,
2013-03,4717.663,
2013-04,5153.899,
2013-05,4582.822,
2013-06,4844.856,
2013-07,5078.326,
2013-08,4422.863,
2013-09,5012.100,
2013-10,5355.612,
2013-11,5270.678,
2013-12,6919.851,
2014-01,5029.391,
2014-02,4499.148,Provisional value
2014-03,4800.022,Provisional value
2014-04,4554.111,Provisional value
2014-05,4638.258,Provisional value
2014-06,4916.830,Provisional value
2014-07,4971.599,Provisional value
2014-08,4738.393,Provisional value
2014-09,4933.662,
2014-10,5353.847,
2014-11,5364.048,
2014-12,7302.940,Provisional value
