"",BBDE1.M.DE.Y.AEB5.A2P320000.F.V.I10.A,BBDE1.M.DE.Y.AEB5.A2P320000.F.V.I10.A_FLAGS
2013-02,113.7,
2013-03,116.9,
2013-04,113.3,
2013-05,114.5,
2013-06,125.9,
2013-07,116.5,
2013-08,115.7,
2013-09,123.8,
2013-10,119.8,
2013-11,121.0,
2013-12,127.6,
2014-01,122.4,
2014-02,122.7,
2014-03,116.1,
2014-04,123.1,
2014-05,124.7,
2014-06,116.9,
2014-07,132.2,
2014-08,119.5,
2014-09,124.6,
2014-10,125.0,
2014-11,124.6,
2014-12,134.4,Provisional value
