"",BBFN1.M.DE.N.1.A.AR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1997-07,0.322,
1997-08,0.326,
1997-09,0.425,
1997-10,0.413,
1997-11,0.435,
1997-12,0.442,
1998-01,0.425,
1998-02,0.448,
1998-03,0.413,
1998-04,0.468,
1998-05,0.501,
1998-06,0.501,
1998-07,0.514,
1998-08,0.524,
1998-09,0.533,
1998-10,0.560,
1998-11,0.548,
1998-12,0.594,
1999-01,0.615,
1999-02,0.634,
1999-03,0.663,
1999-04,0.633,
1999-05,0.675,
1999-06,0.686,
1999-07,0.706,
1999-08,0.676,
1999-09,0.671,
1999-10,0.668,
1999-11,0.670,
1999-12,0.669,
2000-01,0.706,
2000-02,0.752,
2000-03,0.762,
2000-04,0.765,
2000-05,0.766,
2000-06,0.823,
2000-07,0.810,
2000-08,0.816,
2000-09,0.984,
2000-10,0.999,
2000-11,1.013,
2000-12,0.858,
2001-01,0.858,
2001-02,0.894,
2001-03,0.895,
2001-04,0.900,
2001-05,0.860,
2001-06,0.862,
2001-07,0.876,
2001-08,0.877,
2001-09,0.887,
2001-10,0.885,
2001-11,0.996,
2001-12,1.111,
2002-01,1.146,
2002-02,1.065,
2002-03,0.966,
2002-04,0.992,
2002-05,0.924,
2002-06,0.877,
2002-07,0.885,
2002-08,0.607,
2002-09,0.578,
2002-10,0.626,
2002-11,0.578,
2002-12,0.508,
2003-01,0.457,
2003-02,0.453,
2003-03,0.435,
2003-04,0.445,
2003-05,0.444,
2003-06,0.297,
2003-07,0.266,
2003-08,0.289,
2003-09,0.225,
2003-10,0.227,
2003-11,0.241,
2003-12,0.221,
2004-01,0.239,
2004-02,0.241,
2004-03,0.235,
2004-04,0.232,
2004-05,0.233,
2004-06,0.230,
2004-07,0.237,
2004-08,0.242,
2004-09,0.229,
2004-10,0.237,
2004-11,0.247,
2004-12,0.220,
2005-01,0.212,
2005-02,0.224,
2005-03,0.230,
2005-04,0.232,
2005-05,0.228,
2005-06,0.225,
2005-07,0.215,
2005-08,0.227,
2005-09,0.226,
2005-10,0.214,
2005-11,0.213,
2005-12,0.257,
2006-01,0.251,
2006-02,0.297,
2006-03,0.273,
2006-04,0.268,
2006-05,0.250,
2006-06,0.256,
2006-07,0.282,
2006-08,0.278,
2006-09,0.306,
2006-10,0.328,
2006-11,0.325,
2006-12,0.278,
2007-01,0.285,
2007-02,0.286,
2007-03,0.284,
2007-04,0.301,
2007-05,0.304,
2007-06,0.310,
2007-07,0.300,
2007-08,0.305,
2007-09,0.304,
2007-10,0.286,
2007-11,0.278,
2007-12,0.306,
2008-01,0.268,
2008-02,0.265,
2008-03,0.278,
2008-04,0.323,
2008-05,0.296,
2008-06,0.300,
2008-07,0.313,
2008-08,0.373,
2008-09,0.401,
2008-10,0.428,
2008-11,0.397,
2008-12,0.410,
2009-01,0.397,
2009-02,0.388,
2009-03,0.413,
2009-04,0.416,
2009-05,0.403,
2009-06,0.371,
2009-07,0.358,
2009-08,0.398,
2009-09,0.380,
2009-10,0.381,
2009-11,0.366,
2009-12,0.402,
2010-01,0.413,
2010-02,0.421,
2010-03,0.438,
2010-04,0.440,
2010-05,0.467,
2010-06,0.470,
2010-07,0.466,
2010-08,0.469,
2010-09,0.410,
2010-10,0.411,
2010-11,0.422,
2010-12,0.418,
2011-01,0.401,
2011-02,0.424,
2011-03,0.415,
2011-04,0.396,
2011-05,0.412,
2011-06,0.446,
2011-07,0.422,
2011-08,0.432,
2011-09,0.432,
2011-10,0.420,
2011-11,0.420,
2011-12,0.439,
2012-01,0.448,
2012-02,0.440,
2012-03,0.418,
2012-04,0.434,
2012-05,0.455,
2012-06,0.466,
2012-07,0.460,
2012-08,0.404,
2012-09,0.393,
2012-10,0.369,
2012-11,0.375,
2012-12,0.353,
2013-01,0.346,
2013-02,0.349,
2013-03,0.364,
2013-04,0.351,
2013-05,0.332,
2013-06,0.331,
2013-07,0.304,
2013-08,0.310,
2013-09,0.291,
2013-10,0.294,
2013-11,0.285,
2013-12,0.248,
2014-01,0.214,
2014-02,0.219,
2014-03,0.213,
2014-04,0.294,
2014-05,0.289,
2014-06,0.281,
2014-07,0.284,
2014-08,0.283,
2014-09,0.320,
2014-10,0.278,
2014-11,0.290,
2014-12,0.294,
