"",BBEX3.M.CNY.USD.CA.AC.A01,BBEX3.M.CNY.USD.CA.AC.A01_FLAGS
2011-11,6.3482,
2011-12,6.3009,
2012-01,6.3115,
2012-02,6.2919,
2012-03,6.2943,
2012-04,6.2787,
2012-05,6.3355,
2012-06,6.3249,
2012-07,6.3320,
2012-08,6.3449,
2012-09,6.3410,
2012-10,6.3002,
2012-11,6.2892,
2012-12,6.2855,
2013-01,6.2795,
2013-02,6.2779,
2013-03,6.2689,
2013-04,6.2208,
2013-05,6.1796,
2013-06,6.1787,
2013-07,6.1788,
2013-08,6.1709,
2013-09,6.1480,
2013-10,6.1425,
2013-11,6.1325,
2013-12,6.0969,
2014-01,6.1050,
2014-02,6.1214,
2014-03,6.1521,
2014-04,6.1580,
2014-05,6.1695,
2014-06,6.1528,
2014-07,6.1675,
2014-08,6.1647,
2014-09,6.1525,
2014-10,6.1461,
2014-11,6.1345,
2014-12,6.1190,
2015-01,6.1370,
"","Source: People's Bank of China, Peking.",
