"",BBDL1.M.DE1.Y.UNE.UBA000.A0000.A01.D00.0.ABA.A,BBDL1.M.DE1.Y.UNE.UBA000.A0000.A01.D00.0.ABA.A_FLAGS
1965-06,147,
1965-07,149,
1965-08,151,
1965-09,155,
1965-10,151,
1965-11,153,
1965-12,131,
1966-01,116,
1966-02,102,
1966-03,95,
1966-04,127,
1966-05,139,
1966-06,153,
1966-07,165,
1966-08,179,
1966-09,195,
1966-10,221,
1966-11,262,
1966-12,309,
1967-01,382,
1967-02,439,
1967-03,482,
1967-04,516,
1967-05,533,
1967-06,517,
1967-07,509,
1967-08,499,
1967-09,486,
1967-10,477,
1967-11,456,
1967-12,447,
1968-01,423,
1968-02,376,
1968-03,374,
1968-04,348,
1968-05,324,
1968-06,309,
1968-07,289,
1968-08,275,
1968-09,263,
1968-10,248,
1968-11,234,
1968-12,214,
1969-01,195,
1969-02,212,
1969-03,183,
1969-04,174,
1969-05,168,
1969-06,170,
1969-07,168,
1969-08,163,
1969-09,160,
1969-10,152,
1969-11,143,
1969-12,149,
1970-01,142,
1970-02,139,
1970-03,150,
1970-04,139,
1970-05,144,
1970-06,147,
1970-07,150,
1970-08,151,
1970-09,150,
1970-10,149,
1970-11,147,
1970-12,139,
1971-01,152,
1971-02,142,
1971-03,163,
1971-04,175,
1971-05,184,
1971-06,192,
1971-07,198,
1971-08,204,
1971-09,209,
1971-10,215,
1971-11,227,
1971-12,225,
1972-01,228,
1972-02,239,
1972-03,221,
1972-04,240,
1972-05,253,
1972-06,256,
1972-07,260,
1972-08,265,
1972-09,270,
1972-10,265,
1972-11,252,
1972-12,230,
1973-01,214,
1973-02,221,
1973-03,234,
1973-04,239,
1973-05,253,
1973-06,267,
1973-07,281,
1973-08,293,
1973-09,304,
1973-10,324,
1973-11,351,
1973-12,415,
1974-01,436,
1974-02,451,
1974-03,487,
1974-04,509,
1974-05,523,
1974-06,550,
1974-07,583,
1974-08,629,
1974-09,685,
1974-10,753,
1974-11,821,
1974-12,848,
1975-01,905,
1975-02,954,
1975-03,1011,
1975-04,1071,
1975-05,1122,
1975-06,1149,
1975-07,1159,
1975-08,1160,
1975-09,1167,
1975-10,1154,
1975-11,1137,
1975-12,1120,
1976-01,1097,
1976-02,1111,
1976-03,1095,
1976-04,1080,
1976-05,1053,
1976-06,1050,
1976-07,1042,
1976-08,1038,
1976-09,1032,
1976-10,1020,
1976-11,1006,
1976-12,1008,
1977-01,1018,
1977-02,1000,
1977-03,1006,
1977-04,1034,
1977-05,1045,
1977-06,1052,
1977-07,1053,
1977-08,1044,
1977-09,1036,
1977-10,1029,
1977-11,1029,
1977-12,1018,
1978-01,990,
1978-02,1013,
1978-03,1027,
1978-04,1006,
1978-05,1012,
1978-06,992,
1978-07,990,
1978-08,990,
1978-09,982,
1978-10,974,
1978-11,953,
1978-12,941,
1979-01,945,
1979-02,934,
1979-03,897,
1979-04,887,
1979-05,868,
1979-06,869,
1979-07,860,
1979-08,856,
1979-09,848,
1979-10,833,
1979-11,825,
1979-12,802,
1980-01,815,
1980-02,805,
1980-03,815,
1980-04,841,
1980-05,859,
1980-06,889,
1980-07,910,
1980-08,926,
1980-09,943,
1980-10,970,
1980-11,999,
1980-12,1039,
1981-01,1056,
1981-02,1084,
1981-03,1132,
1981-04,1167,
1981-05,1218,
1981-06,1256,
1981-07,1315,
1981-08,1367,
1981-09,1401,
1981-10,1469,
1981-11,1532,
1981-12,1604,
1982-01,1648,
1982-02,1670,
1982-03,1705,
1982-04,1733,
1982-05,1774,
1982-06,1807,
1982-07,1842,
1982-08,1891,
1982-09,1980,
1982-10,2041,
1982-11,2094,
1982-12,2122,
1983-01,2163,
1983-02,2229,
1983-03,2251,
1983-04,2274,
1983-05,2288,
1983-06,2299,
1983-07,2295,
1983-08,2294,
1983-09,2292,
1983-10,2279,
1983-11,2264,
1983-12,2267,
1984-01,2228,
1984-02,2233,
1984-03,2245,
1984-04,2267,
1984-05,2263,
1984-06,2272,
1984-07,2287,
1984-08,2290,
1984-09,2290,
1984-10,2283,
1984-11,2275,
1984-12,2268,
1985-01,2310,
1985-02,2306,
1985-03,2310,
1985-04,2316,
1985-05,2318,
1985-06,2311,
1985-07,2299,
1985-08,2297,
1985-09,2294,
1985-10,2296,
1985-11,2308,
1985-12,2299,
1986-01,2290,
1986-02,2298,
1986-03,2273,
1986-04,2243,
1986-05,2243,
1986-06,2219,
1986-07,2200,
1986-08,2193,
1986-09,2178,
1986-10,2168,
1986-11,2166,
1986-12,2174,
1987-01,2214,
1987-02,2214,
1987-03,2240,
1987-04,2229,
1987-05,2217,
1987-06,2231,
1987-07,2236,
1987-08,2234,
1987-09,2234,
1987-10,2229,
1987-11,2224,
1987-12,2255,
1988-01,2255,
1988-02,2264,
1988-03,2288,
1988-04,2276,
1988-05,2263,
1988-06,2255,
1988-07,2243,
1988-08,2225,
1988-09,2221,
1988-10,2202,
1988-11,2170,
1988-12,2134,
1989-01,2103,
1989-02,2086,
1989-03,2066,
1989-04,2052,
1989-05,2046,
1989-06,2020,
1989-07,1995,
1989-08,1980,
1989-09,1991,
1989-10,1989,
1989-11,2018,
1989-12,1996,
1990-01,1985,
1990-02,1959,
1990-03,1936,
1990-04,1933,
1990-05,1909,
1990-06,1898,
1990-07,1867,
1990-08,1835,
1990-09,1745,
1990-10,1705,
1990-11,1664,
1990-12,1650,
1991-01,1606,
1991-02,1608,
1991-03,1583,
1991-04,1572,
1991-05,1583,
1991-06,1581,
1991-07,1593,
1991-08,1597,
1991-09,1610,
1991-10,1598,
1991-11,1592,
1991-12,1619,
1992-01,1589,
1992-02,1590,
1992-03,1594,
1992-04,1621,
1992-05,1658,
1992-06,1693,
1992-07,1729,
1992-08,1748,
1992-09,1771,
1992-10,1808,
1992-11,1847,
1992-12,1896,
1993-01,1939,
1993-02,1980,
1993-03,2024,
1993-04,2056,
1993-05,2098,
1993-06,2144,
1993-07,2220,
1993-08,2236,
1993-09,2279,
1993-10,2341,
1993-11,2371,
1993-12,2376,
1994-01,2392,
1994-02,2406,
1994-03,2421,
1994-04,2440,
1994-05,2453,
1994-06,2456,
1994-07,2461,
1994-08,2446,
1994-09,2437,
1994-10,2421,
1994-11,2403,
1994-12,2395,
1995-01,2393,
1995-02,2372,
1995-03,2376,
1995-04,2408,
1995-05,2405,
1995-06,2425,
1995-07,2438,
1995-08,2451,
1995-09,2462,
1995-10,2465,
1995-11,2483,
1995-12,2516,
1996-01,2539,
1996-02,2589,
1996-03,2612,
1996-04,2604,
1996-05,2616,
1996-06,2630,
1996-07,2651,
1996-08,2677,
1996-09,2708,
1996-10,2735,
1996-11,2762,
1996-12,2775,
1997-01,2875,
1997-02,2857,
1997-03,2847,
1997-04,2851,
1997-05,2881,
1997-06,2876,
1997-07,2881,
1997-08,2891,
1997-09,2892,
1997-10,2892,
1997-11,2877,
1997-12,2868,
1998-01,2852,
1998-02,2827,
1998-03,2806,
1998-04,2782,
1998-05,2759,
1998-06,2736,
1998-07,2713,
1998-08,2703,
1998-09,2689,
1998-10,2676,
1998-11,2681,
1998-12,2692,
1999-01,2662,
1999-02,2656,
1999-03,2636,
1999-04,2630,
1999-05,2624,
1999-06,2610,
1999-07,2589,
1999-08,2580,
1999-09,2572,
1999-10,2557,
1999-11,2534,
1999-12,2503,
2000-01,2473,
2000-02,2445,
2000-03,2436,
2000-04,2413,
2000-05,2383,
2000-06,2377,
2000-07,2362,
2000-08,2347,
2000-09,2334,
2000-10,2310,
2000-11,2293,
2000-12,2283,
2001-01,2277,
2001-02,2276,
2001-03,2284,
2001-04,2280,
2001-05,2288,
2001-06,2309,
2001-07,2316,
2001-08,2328,
2001-09,2355,
2001-10,2385,
2001-11,2409,
2001-12,2427,
2002-01,2438,
2002-02,2433,
2002-03,2421,
2002-04,2412,
2002-05,2471,
2002-06,2502,
2002-07,2519,
2002-08,2527,
2002-09,2544,
2002-10,2572,
2002-11,2618,
2002-12,2658,
2003-01,2697,
2003-02,2735,
2003-03,2757,
2003-04,2766,
2003-05,2772,
2003-06,2759,
2003-07,2775,
2003-08,2772,
2003-09,2759,
2003-10,2760,
2003-11,2769,
2003-12,2784,
2004-01,2730,
2004-02,2740,
2004-03,2747,
2004-04,2761,
2004-05,2766,
2004-06,2763,
2004-07,2786,
2004-08,2790,
2004-09,2803,
2004-10,2826,
2004-11,2848,
2004-12,2892,
2005-01,3120,
2005-02,3275,
2005-03,3332,
2005-04,3283,
2005-05,3291,
2005-06,3282,
2005-07,3262,
2005-08,3253,
2005-09,3238,
2005-10,3234,
2005-11,3212,
2005-12,3170,
2006-01,3190,
2006-02,3181,
2006-03,3179,
2006-04,3142,
2006-05,3085,
2006-06,3046,
2006-07,2976,
2006-08,2945,
2006-09,2917,
2006-10,2862,
2006-11,2798,
2006-12,2732,
2007-01,2670,
2007-02,2626,
2007-03,2578,
2007-04,2542,
2007-05,2519,
2007-06,2480,
2007-07,2449,
2007-08,2429,
2007-09,2393,
2007-10,2369,
2007-11,2335,
2007-12,2293,
2008-01,2245,
2008-02,2201,
2008-03,2161,
2008-04,2156,
2008-05,2153,
2008-06,2119,
2008-07,2118,
2008-08,2091,
2008-09,2098,
2008-10,2093,
2008-11,2097,
2008-12,2128,
2009-01,2169,
2009-02,2203,
2009-03,2267,
2009-04,2338,
2009-05,2346,
2009-06,2364,
2009-07,2363,
2009-08,2366,
2009-09,2368,
2009-10,2340,
2009-11,2337,
2009-12,2325,
2010-01,2320,
2010-02,2324,
2010-03,2319,
2010-04,2273,
2010-05,2235,
2010-06,2221,
2010-07,2203,
2010-08,2193,
2010-09,2166,
2010-10,2152,
2010-11,2148,
2010-12,2143,
2011-01,2135,
2011-02,2098,
2011-03,2078,
2011-04,2044,
2011-05,2029,
2011-06,2019,
2011-07,2011,
2011-08,2003,
2011-09,1978,
2011-10,1977,
2011-11,1959,
2011-12,1956,
2012-01,1962,
2012-02,1972,
2012-03,1970,
2012-04,1988,
2012-05,1982,
2012-06,1993,
2012-07,2008,
2012-08,2013,
2012-09,2010,
2012-10,2028,
2012-11,2033,
2012-12,2041,
2013-01,2046,
2013-02,2055,
2013-03,2067,
2013-04,2075,
2013-05,2086,
2013-06,2078,
2013-07,2079,
2013-08,2082,
2013-09,2093,
2013-10,2097,
2013-11,2104,
2013-12,2101,
2014-01,2083,
2014-02,2079,
2014-03,2077,
2014-04,2064,
2014-05,2079,
2014-06,2084,
2014-07,2079,
2014-08,2080,
2014-09,2090,
2014-10,2070,
2014-11,2060,
2014-12,2044,
2015-01,2039,
2015-02,2028,
