"",BBFB1.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
2006-07,55822.225,
2006-08,53482.094,
2006-09,59318.054,
2006-10,61840.743,
2006-11,61764.310,
2006-12,57832.140,
2007-01,57314.327,
2007-02,59396.217,
2007-03,61509.860,
2007-04,59668.627,
2007-05,58406.718,
2007-06,60908.865,
2007-07,59823.094,
2007-08,59655.680,
2007-09,60274.862,
2007-10,64965.018,
2007-11,63901.224,
2007-12,58963.550,
2008-01,62531.810,
2008-02,63044.622,
2008-03,62442.031,
2008-04,65519.279,
2008-05,62147.947,
2008-06,64240.854,
2008-07,68211.773,
2008-08,61239.817,
2008-09,67350.440,
2008-10,68601.093,
2008-11,63060.243,
2008-12,55823.663,
2009-01,54130.908,
2009-02,52656.896,
2009-03,54911.049,
2009-04,51346.476,
2009-05,47377.814,
2009-06,49857.973,
2009-07,51971.509,
2009-08,48268.911,
2009-09,56181.721,
2009-10,56442.535,
2009-11,53950.497,
2009-12,52125.268,
2010-01,52081.105,
2010-02,53229.958,
2010-03,65586.238,
2010-04,59106.275,
2010-05,63110.255,
2010-06,67089.806,
2010-07,64819.607,
2010-08,62304.285,
2010-09,66202.329,
2010-10,68082.589,
2010-11,70254.351,
2010-12,65327.268,
2011-01,66904.639,
2011-02,68987.388,
2011-03,76508.040,
2011-04,70986.139,
2011-05,73920.497,
2011-06,72762.252,
2011-07,71912.009,
2011-08,70810.708,
2011-09,74258.256,
2011-10,75319.308,
2011-11,73931.876,
2011-12,70444.351,
2012-01,70375.350,
2012-02,73305.332,
2012-03,79032.188,
2012-04,70432.726,
2012-05,74194.820,
2012-06,73764.162,
2012-07,73423.335,
2012-08,71533.944,
2012-09,71927.547,
2012-10,80144.321,
2012-11,73515.171,
2012-12,65178.858,
2013-01,73020.822,
2013-02,70566.976,
2013-03,72837.824,
2013-04,73419.360,
2013-05,71197.982,
2013-06,72150.726,
2013-07,75804.414,
2013-08,71669.769,
2013-09,73447.460,
2013-10,78720.265,
2013-11,75017.423,
2013-12,67999.546,
2014-01,74060.906,
2014-02,73842.412,
2014-03,74704.564,
2014-04,73719.528,
2014-05,73292.825,
2014-06,73818.633,
2014-07,75960.201,
2014-08,68574.952,
2014-09,77838.999,
2014-10,80324.737,
2014-11,76222.215,
2014-12,70870.920,Provisional value
