"",BBFN1.M.DE.N.1.L.DK.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.DK.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1990-07,0.292,
1990-08,0.290,
1990-09,0.285,
1990-10,0.296,
1990-11,0.296,
1990-12,0.262,
1991-01,0.250,
1991-02,0.258,
1991-03,0.295,
1991-04,0.400,
1991-05,0.363,
1991-06,0.340,
1991-07,0.296,
1991-08,0.364,
1991-09,0.396,
1991-10,0.293,
1991-11,0.299,
1991-12,0.314,
1992-01,0.296,
1992-02,0.302,
1992-03,0.353,
1992-04,0.317,
1992-05,0.335,
1992-06,0.311,
1992-07,0.339,
1992-08,0.356,
1992-09,0.392,
1992-10,0.397,
1992-11,0.378,
1992-12,0.390,
1993-01,0.411,
1993-02,0.425,
1993-03,0.457,
1993-04,0.393,
1993-05,0.360,
1993-06,0.386,
1993-07,0.478,
1993-08,0.425,
1993-09,0.448,
1993-10,0.462,
1993-11,0.477,
1993-12,0.568,
1994-01,0.586,
1994-02,0.582,
1994-03,0.529,
1994-04,0.553,
1994-05,0.532,
1994-06,0.556,
1994-07,0.579,
1994-08,0.573,
1994-09,0.503,
1994-10,0.485,
1994-11,0.410,
1994-12,0.414,
1995-01,0.402,
1995-02,0.401,
1995-03,0.408,
1995-04,0.432,
1995-05,0.420,
1995-06,0.413,
1995-07,0.436,
1995-08,0.434,
1995-09,0.448,
1995-10,0.441,
1995-11,0.461,
1995-12,0.420,
1996-01,0.507,
1996-02,0.545,
1996-03,0.576,
1996-04,0.535,
1996-05,0.530,
1996-06,0.576,
1996-07,0.591,
1996-08,0.563,
1996-09,0.594,
1996-10,0.596,
1996-11,0.567,
1996-12,0.530,
1997-01,0.519,
1997-02,0.451,
1997-03,0.461,
1997-04,0.476,
1997-05,0.487,
1997-06,0.529,
1997-07,0.516,
1997-08,0.495,
1997-09,0.491,
1997-10,0.489,
1997-11,0.512,
1997-12,0.490,
1998-01,0.500,
1998-02,0.524,
1998-03,0.688,
1998-04,0.836,
1998-05,0.817,
1998-06,0.816,
1998-07,0.818,
1998-08,0.821,
1998-09,1.002,
1998-10,1.006,
1998-11,0.970,
1998-12,1.033,
1999-01,1.040,
1999-02,1.005,
1999-03,1.183,
1999-04,1.044,
1999-05,1.003,
1999-06,0.946,
1999-07,0.984,
1999-08,1.042,
1999-09,1.060,
1999-10,1.034,
1999-11,1.088,
1999-12,1.369,
2000-01,1.319,
2000-02,1.272,
2000-03,1.277,
2000-04,1.409,
2000-05,1.322,
2000-06,1.145,
2000-07,1.140,
2000-08,1.116,
2000-09,1.127,
2000-10,1.059,
2000-11,1.049,
2000-12,0.927,
2001-01,0.905,
2001-02,0.924,
2001-03,0.947,
2001-04,0.989,
2001-05,1.046,
2001-06,1.064,
2001-07,1.030,
2001-08,1.104,
2001-09,1.143,
2001-10,1.107,
2001-11,1.109,
2001-12,1.060,
2002-01,1.150,
2002-02,1.177,
2002-03,1.091,
2002-04,1.061,
2002-05,1.051,
2002-06,1.213,
2002-07,1.209,
2002-08,1.226,
2002-09,1.150,
2002-10,1.065,
2002-11,1.104,
2002-12,1.171,
2003-01,1.182,
2003-02,1.258,
2003-03,1.294,
2003-04,1.232,
2003-05,1.223,
2003-06,1.261,
2003-07,1.291,
2003-08,1.384,
2003-09,1.293,
2003-10,1.268,
2003-11,1.330,
2003-12,1.331,
2004-01,1.237,
2004-02,1.123,
2004-03,1.095,
2004-04,0.940,
2004-05,0.970,
2004-06,0.984,
2004-07,1.038,
2004-08,1.022,
2004-09,0.970,
2004-10,1.079,
2004-11,1.077,
2004-12,1.172,
2005-01,1.118,
2005-02,1.138,
2005-03,0.941,
2005-04,0.952,
2005-05,0.938,
2005-06,0.994,
2005-07,0.987,
2005-08,0.987,
2005-09,1.012,
2005-10,1.149,
2005-11,1.332,
2005-12,1.326,
2006-01,1.279,
2006-02,1.204,
2006-03,1.107,
2006-04,1.103,
2006-05,1.246,
2006-06,1.074,
2006-07,1.162,
2006-08,1.108,
2006-09,1.246,
2006-10,1.255,
2006-11,1.448,
2006-12,6.403,
2007-01,6.282,
2007-02,6.185,
2007-03,6.026,
2007-04,6.057,
2007-05,5.940,
2007-06,5.817,
2007-07,5.938,
2007-08,6.061,
2007-09,6.199,
2007-10,5.999,
2007-11,6.115,
2007-12,5.445,
2008-01,5.546,
2008-02,5.661,
2008-03,5.636,
2008-04,5.703,
2008-05,5.679,
2008-06,5.513,
2008-07,5.753,
2008-08,5.662,
2008-09,5.651,
2008-10,5.837,
2008-11,5.750,
2008-12,5.760,
2009-01,5.900,
2009-02,6.185,
2009-03,6.047,
2009-04,6.249,
2009-05,6.120,
2009-06,6.007,
2009-07,5.854,
2009-08,6.122,
2009-09,6.191,
2009-10,6.165,
2009-11,6.246,
2009-12,6.644,
2010-01,6.977,
2010-02,6.929,
2010-03,6.306,
2010-04,6.792,
2010-05,6.921,
2010-06,7.339,
2010-07,7.007,
2010-08,7.261,
2010-09,7.580,
2010-10,7.752,
2010-11,7.921,
2010-12,7.900,
2011-01,7.041,
2011-02,6.857,
2011-03,6.570,
2011-04,6.445,
2011-05,6.737,
2011-06,6.673,
2011-07,6.757,
2011-08,6.863,
2011-09,8.937,
2011-10,7.221,
2011-11,7.068,
2011-12,6.681,
2012-01,7.982,
2012-02,4.249,
2012-03,4.116,
2012-04,4.226,
2012-05,4.176,
2012-06,4.339,
2012-07,4.737,
2012-08,5.058,
2012-09,4.613,
2012-10,4.624,
2012-11,4.012,
2012-12,4.010,
2013-01,4.889,
2013-02,5.078,
2013-03,4.624,
2013-04,5.206,
2013-05,5.114,
2013-06,4.750,
2013-07,4.834,
2013-08,4.934,
2013-09,4.865,
2013-10,4.738,
2013-11,4.830,
2013-12,4.929,
2014-01,5.263,
2014-02,5.062,
2014-03,4.730,
2014-04,5.224,
2014-05,5.182,
2014-06,5.088,
2014-07,4.771,
2014-08,5.203,
2014-09,3.863,
2014-10,4.281,
2014-11,3.871,
2014-12,3.901,
