"",BBFB1.M.N.DE.W1.S1.S1.T.B.D4O._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.D4O._Z._Z._Z._T._X.N_FLAGS
2000-12,3031.767,
2001-01,186.102,
2001-02,59.051,
2001-03,6.326,
2001-04,-130.853,
2001-05,-43.010,
2001-06,-264.315,
2001-07,-143.755,
2001-08,62.517,
2001-09,-106.207,
2001-10,-142.112,
2001-11,-206.294,
2001-12,3517.820,
2002-01,248.843,
2002-02,201.636,
2002-03,24.275,
2002-04,-135.535,
2002-05,-26.932,
2002-06,-250.512,
2002-07,-69.008,
2002-08,99.532,
2002-09,-130.890,
2002-10,-185.104,
2002-11,413.483,
2002-12,2819.674,
2003-01,-90.042,
2003-02,180.904,
2003-03,76.789,
2003-04,-15.301,
2003-05,-22.928,
2003-06,-226.613,
2003-07,-123.722,
2003-08,200.777,
2003-09,-139.213,
2003-10,-155.811,
2003-11,16.396,
2003-12,3743.864,
2004-01,-84.030,
2004-02,330.615,
2004-03,-116.396,
2004-04,-88.354,
2004-05,-56.669,
2004-06,-282.957,
2004-07,-146.478,
2004-08,219.406,
2004-09,-193.707,
2004-10,-180.978,
2004-11,-212.335,
2004-12,3899.292,
2005-01,-98.773,
2005-02,-100.190,
2005-03,-53.527,
2005-04,12.840,
2005-05,-136.907,
2005-06,-215.143,
2005-07,-55.672,
2005-08,289.268,
2005-09,-204.568,
2005-10,-250.632,
2005-11,-342.787,
2005-12,3908.038,
2006-01,-135.444,
2006-02,-146.604,
2006-03,-166.086,
2006-04,-211.906,
2006-05,-222.134,
2006-06,13.017,
2006-07,130.903,
2006-08,129.248,
2006-09,-249.454,
2006-10,-249.803,
2006-11,-199.861,
2006-12,5266.606,
2007-01,-288.325,
2007-02,-35.731,
2007-03,-223.004,
2007-04,-298.049,
2007-05,-343.255,
2007-06,-357.543,
2007-07,-275.743,
2007-08,-317.957,
2007-09,-364.606,
2007-10,-372.647,
2007-11,-375.207,
2007-12,4432.682,
2008-01,-384.063,
2008-02,-92.539,
2008-03,-376.552,
2008-04,-490.032,
2008-05,-323.440,
2008-06,-288.638,
2008-07,-318.148,
2008-08,-300.546,
2008-09,-357.901,
2008-10,-359.408,
2008-11,-373.291,
2008-12,5006.490,
2009-01,-356.229,
2009-02,-310.619,
2009-03,-356.438,
2009-04,-314.582,
2009-05,-299.294,
2009-06,-256.020,
2009-07,-293.406,
2009-08,80.836,
2009-09,-308.266,
2009-10,-290.197,
2009-11,-237.402,
2009-12,5060.630,
2010-01,-286.670,
2010-02,-275.204,
2010-03,-292.831,
2010-04,-286.731,
2010-05,-259.306,
2010-06,-279.629,
2010-07,-306.414,
2010-08,-225.069,
2010-09,-339.612,
2010-10,-359.001,
2010-11,-354.863,
2010-12,4861.296,
2011-01,-342.668,
2011-02,-334.408,
2011-03,-328.934,
2011-04,-384.511,
2011-05,-269.661,
2011-06,-352.694,
2011-07,-324.496,
2011-08,-319.577,
2011-09,-336.828,
2011-10,-247.290,
2011-11,-367.934,
2011-12,4689.823,
2012-01,-362.255,
2012-02,-343.387,
2012-03,-359.733,
2012-04,-351.060,
2012-05,-298.723,
2012-06,-331.568,
2012-07,-321.838,
2012-08,-283.090,
2012-09,-358.909,
2012-10,-400.599,
2012-11,-377.158,
2012-12,4741.368,
2013-01,-332.386,
2013-02,-266.309,
2013-03,-347.665,
2013-04,-315.421,
2013-05,-270.345,
2013-06,-288.785,
2013-07,-277.092,
2013-08,-306.828,
2013-09,-338.181,
2013-10,-383.484,
2013-11,-382.817,
2013-12,4703.414,
2014-01,-337.045,
2014-02,-304.291,
2014-03,-357.872,
2014-04,-256.254,
2014-05,-255.548,
2014-06,-336.861,
2014-07,-246.529,
2014-08,-352.067,
2014-09,-397.378,
2014-10,-411.797,
2014-11,-412.462,
2014-12,4509.236,Provisional value
