"",BBFB1.M.N.DE.W1.S1ZL.S1.T.LI.FA.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1ZL.S1.T.LI.FA.P.F3.S._T._X.N_FLAGS
2003-01,43588.957,
2003-02,43718.238,
2003-03,31533.716,
2003-04,35483.360,
2003-05,39702.524,
2003-06,29003.715,
2003-07,30926.518,
2003-08,29320.305,
2003-09,28464.410,
2003-10,31107.530,
2003-11,32255.503,
2003-12,22425.702,
2004-01,30176.162,
2004-02,26048.541,
2004-03,28484.615,
2004-04,26919.100,
2004-05,28453.939,
2004-06,31183.086,
2004-07,33777.473,
2004-08,31641.131,
2004-09,25808.831,
2004-10,29493.728,
2004-11,35838.441,
2004-12,23021.886,
2005-01,37617.820,
2005-02,26234.773,
2005-03,28974.721,
2005-04,31347.670,
2005-05,32219.626,
2005-06,43274.733,
2005-07,42852.812,
2005-08,35919.146,
2005-09,28544.403,
2005-10,27465.568,
2005-11,27209.729,
2005-12,22721.641,
2006-01,32325.077,
2006-02,27407.350,
2006-03,29461.615,
2006-04,30479.508,
2006-05,31195.868,
2006-06,51690.439,
2006-07,29596.224,
2006-08,44643.521,
2006-09,34541.869,
2006-10,29956.866,
2006-11,27869.209,
2006-12,36297.323,
2007-01,29183.133,
2007-02,30337.819,
2007-03,33576.791,
2007-04,33469.884,
2007-05,34943.743,
2007-06,39726.673,
2007-07,41618.812,
2007-08,41326.246,
2007-09,43783.172,
2007-10,47809.016,
2007-11,44930.755,
2007-12,34176.001,
2008-01,52139.830,
2008-02,46828.602,
2008-03,52107.468,
2008-04,51474.714,
2008-05,57781.136,
2008-06,60548.285,
2008-07,62811.052,
2008-08,47463.145,
2008-09,54013.208,
2008-10,76536.500,
2008-11,49979.708,
2008-12,52187.042,
2009-01,55832.159,
2009-02,42038.069,
2009-03,44802.771,
2009-04,41158.017,
2009-05,40528.071,
2009-06,34048.472,
2009-07,36890.832,
2009-08,95475.477,
2009-09,62291.398,
2009-10,34311.547,
2009-11,79094.651,
2009-12,61376.721,
2010-01,34462.276,
2010-02,38893.699,
2010-03,49123.368,
2010-04,43233.716,
2010-05,37945.092,
2010-06,95363.647,
2010-07,42934.434,
2010-08,50802.621,
2010-09,59682.049,
2010-10,31504.645,
2010-11,43960.619,
2010-12,41913.990,
2011-01,32976.894,
2011-02,36481.033,
2011-03,34558.115,
2011-04,29541.930,
2011-05,50540.831,
2011-06,42987.364,
2011-07,38447.893,
2011-08,59657.498,
2011-09,45499.187,
2011-10,40517.064,
2011-11,59680.668,
2011-12,43651.104,
2012-01,40252.036,
2012-02,40797.216,
2012-03,39557.101,
2012-04,33955.554,
2012-05,48127.099,
2012-06,47123.424,
2012-07,58712.595,
2012-08,44326.502,
2012-09,41486.354,
2012-10,52459.617,
2012-11,55749.543,
2012-12,44194.957,
2013-01,59445.818,
2013-02,63023.695,
2013-03,56584.283,
2013-04,76604.341,
2013-05,64872.650,
2013-06,66869.640,
2013-07,85793.207,
2013-08,65113.613,
2013-09,52406.232,
2013-10,69731.003,
2013-11,73682.472,
2013-12,63509.847,
2014-01,70027.847,
2014-02,62017.849,Provisional value
2014-03,58724.390,Provisional value
2014-04,57376.775,Provisional value
2014-05,62737.062,Provisional value
2014-06,54781.877,Provisional value
2014-07,57687.326,Provisional value
2014-08,71335.727,Provisional value
2014-09,51875.908,
2014-10,26944.273,
2014-11,54710.293,
2014-12,60063.955,Provisional value
