"",BBFN1.M.DE.N.1.A.ES.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ES.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1992-09,0.896,
1992-10,0.972,
1992-11,0.941,
1992-12,0.975,
1993-01,0.972,
1993-02,1.099,
1993-03,1.066,
1993-04,1.271,
1993-05,1.253,
1993-06,1.246,
1993-07,1.037,
1993-08,1.035,
1993-09,0.905,
1993-10,0.933,
1993-11,0.957,
1993-12,0.966,
1994-01,0.985,
1994-02,0.959,
1994-03,0.895,
1994-04,0.881,
1994-05,0.912,
1994-06,0.942,
1994-07,0.920,
1994-08,0.896,
1994-09,0.907,
1994-10,0.871,
1994-11,0.869,
1994-12,0.840,
1995-01,0.804,
1995-02,0.750,
1995-03,0.740,
1995-04,0.730,
1995-05,0.763,
1995-06,0.812,
1995-07,0.782,
1995-08,0.769,
1995-09,0.798,
1995-10,0.768,
1995-11,0.798,
1995-12,0.715,
1996-01,0.669,
1996-02,0.673,
1996-03,0.688,
1996-04,0.686,
1996-05,0.701,
1996-06,0.851,
1996-07,0.709,
1996-08,0.712,
1996-09,0.690,
1996-10,0.716,
1996-11,0.600,
1996-12,0.614,
1997-01,0.639,
1997-02,0.754,
1997-03,0.864,
1997-04,0.708,
1997-05,0.787,
1997-06,0.812,
1997-07,1.036,
1997-08,0.962,
1997-09,0.890,
1997-10,0.821,
1997-11,0.802,
1997-12,0.868,
1998-01,0.955,
1998-02,0.905,
1998-03,1.009,
1998-04,1.068,
1998-05,1.111,
1998-06,1.127,
1998-07,1.065,
1998-08,1.220,
1998-09,1.275,
1998-10,1.221,
1998-11,1.435,
1998-12,1.489,
1999-01,1.656,
1999-02,1.705,
1999-03,1.869,
1999-04,1.725,
1999-05,1.754,
1999-06,1.660,
1999-07,1.640,
1999-08,1.600,
1999-09,1.702,
1999-10,1.753,
1999-11,1.856,
1999-12,1.903,
2000-01,1.824,
2000-02,1.974,
2000-03,1.849,
2000-04,2.144,
2000-05,2.188,
2000-06,2.145,
2000-07,2.271,
2000-08,2.306,
2000-09,2.266,
2000-10,2.514,
2000-11,2.509,
2000-12,2.651,
2001-01,3.312,
2001-02,3.463,
2001-03,3.399,
2001-04,5.486,
2001-05,5.516,
2001-06,5.636,
2001-07,5.878,
2001-08,5.942,
2001-09,5.754,
2001-10,4.809,
2001-11,4.809,
2001-12,5.027,
2002-01,4.721,
2002-02,4.879,
2002-03,5.271,
2002-04,5.411,
2002-05,5.584,
2002-06,5.366,
2002-07,3.597,
2002-08,3.657,
2002-09,3.488,
2002-10,3.636,
2002-11,3.499,
2002-12,3.807,
2003-01,3.996,
2003-02,4.107,
2003-03,4.224,
2003-04,4.277,
2003-05,4.770,
2003-06,5.017,
2003-07,4.613,
2003-08,4.837,
2003-09,4.705,
2003-10,4.682,
2003-11,4.161,
2003-12,4.473,
2004-01,4.869,
2004-02,5.019,
2004-03,5.302,
2004-04,5.151,
2004-05,5.535,
2004-06,5.103,
2004-07,5.215,
2004-08,4.739,
2004-09,4.762,
2004-10,4.811,
2004-11,5.181,
2004-12,3.976,
2005-01,3.604,
2005-02,4.371,
2005-03,3.987,
2005-04,4.570,
2005-05,4.165,
2005-06,4.471,
2005-07,4.609,
2005-08,4.420,
2005-09,3.855,
2005-10,4.070,
2005-11,3.896,
2005-12,4.219,
2006-01,4.403,
2006-02,4.631,
2006-03,4.831,
2006-04,5.536,
2006-05,5.035,
2006-06,5.477,
2006-07,5.561,
2006-08,5.336,
2006-09,5.777,
2006-10,5.840,
2006-11,5.507,
2006-12,5.759,
2007-01,5.569,
2007-02,5.483,
2007-03,6.321,
2007-04,6.748,
2007-05,6.238,
2007-06,6.430,
2007-07,6.610,
2007-08,6.572,
2007-09,6.779,
2007-10,7.350,
2007-11,7.162,
2007-12,7.961,
2008-01,8.022,
2008-02,8.478,
2008-03,9.159,
2008-04,9.280,
2008-05,9.678,
2008-06,12.104,
2008-07,12.654,
2008-08,12.520,
2008-09,14.011,
2008-10,13.875,
2008-11,14.167,
2008-12,14.049,
2009-01,13.828,
2009-02,13.677,
2009-03,15.019,
2009-04,14.916,
2009-05,16.579,
2009-06,16.400,
2009-07,16.388,
2009-08,16.505,
2009-09,16.807,
2009-10,16.692,
2009-11,16.358,
2009-12,19.837,
2010-01,15.560,
2010-02,16.018,
2010-03,16.535,
2010-04,16.154,
2010-05,16.109,
2010-06,17.082,
2010-07,22.456,
2010-08,26.907,
2010-09,25.000,
2010-10,25.613,
2010-11,25.435,
2010-12,26.157,
2011-01,30.138,
2011-02,30.038,
2011-03,32.833,
2011-04,27.119,
2011-05,28.468,
2011-06,29.326,
2011-07,32.341,
2011-08,33.677,
2011-09,32.951,
2011-10,35.688,
2011-11,39.665,
2011-12,32.938,
2012-01,38.284,
2012-02,35.230,
2012-03,28.133,
2012-04,29.050,
2012-05,30.559,
2012-06,25.294,
2012-07,19.441,
2012-08,18.961,
2012-09,18.300,
2012-10,17.718,
2012-11,18.777,
2012-12,17.211,
2013-01,23.482,
2013-02,25.489,
2013-03,24.593,
2013-04,24.244,
2013-05,23.701,
2013-06,29.439,
2013-07,23.650,
2013-08,23.387,
2013-09,24.663,
2013-10,23.966,
2013-11,20.526,
2013-12,21.998,
2014-01,22.180,
2014-02,22.297,
2014-03,21.164,
2014-04,24.040,
2014-05,22.544,
2014-06,25.853,
2014-07,23.019,
2014-08,20.327,
2014-09,25.396,
2014-10,25.718,
2014-11,26.722,
2014-12,23.726,
