"",BBFB1.M.N.DE.W1.S1.S1.T.B.NP._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.NP._Z._Z._Z._T._X.N_FLAGS
1997-05,-28.982,
1997-06,25.243,
1997-07,-17.236,
1997-08,-29.873,
1997-09,-30.407,
1997-10,-48.195,
1997-11,-26.878,
1997-12,-45.216,
1998-01,-45.047,
1998-02,-41.656,
1998-03,-36.814,
1998-04,-41.280,
1998-05,-37.407,
1998-06,-21.922,
1998-07,-37.234,
1998-08,-24.627,
1998-09,-33.092,
1998-10,-24.899,
1998-11,1.995,
1998-12,-100.421,
1999-01,-40.685,
1999-02,-10.579,
1999-03,-34.259,
1999-04,-30.678,
1999-05,-2.327,
1999-06,-17.387,
1999-07,-28.072,
1999-08,-23.544,
1999-09,-63.697,
1999-10,-22.803,
1999-11,-8.699,
1999-12,-21.993,
2000-01,-29.802,
2000-02,-34.290,
2000-03,-51.161,
2000-04,-42.280,
2000-05,-34.133,
2000-06,-75.769,
2000-07,-110.504,
2000-08,8384.105,
2000-09,-82.109,
2000-10,-85.434,
2000-11,-261.544,
2000-12,-136.563,
2001-01,-43.565,
2001-02,-37.597,
2001-03,-50.086,
2001-04,-139.333,
2001-05,-0.963,
2001-06,-60.783,
2001-07,-84.456,
2001-08,-44.763,
2001-09,-64.776,
2001-10,-91.275,
2001-11,-26.809,
2001-12,-34.412,
2002-01,-54.993,
2002-02,-24.825,
2002-03,-31.714,
2002-04,-83.557,
2002-05,6.998,
2002-06,-371.915,
2002-07,-425.909,
2002-08,-6.395,
2002-09,-31.719,
2002-10,-69.446,
2002-11,-9.645,
2002-12,-168.711,
2003-01,-14.469,
2003-02,40.096,
2003-03,-142.960,
2003-04,-9.806,
2003-05,15.357,
2003-06,-23.432,
2003-07,-10.948,
2003-08,-11.609,
2003-09,-57.836,
2003-10,-7.206,
2003-11,37.212,
2003-12,-73.301,
2004-01,0.902,
2004-02,-10.561,
2004-03,-21.654,
2004-04,10.675,
2004-05,46.087,
2004-06,-218.084,
2004-07,50.463,
2004-08,-11.517,
2004-09,13.541,
2004-10,40.984,
2004-11,19.431,
2004-12,-139.978,
2005-01,74.570,
2005-02,-17.220,
2005-03,0.539,
2005-04,-31.507,
2005-05,-6.508,
2005-06,14.834,
2005-07,47.083,
2005-08,32.942,
2005-09,-28.474,
2005-10,-17.633,
2005-11,4.938,
2005-12,5.959,
2006-01,-52.070,
2006-02,41.927,
2006-03,17.168,
2006-04,2.520,
2006-05,-54.070,
2006-06,-13.183,
2006-07,-130.857,
2006-08,-1.645,
2006-09,-42.110,
2006-10,-38.748,
2006-11,-2.311,
2006-12,-77.431,
2007-01,-331.646,
2007-02,-20.555,
2007-03,-55.672,
2007-04,-49.112,
2007-05,-3.987,
2007-06,-80.108,
2007-07,-90.773,
2007-08,24.822,
2007-09,-35.661,
2007-10,-225.852,
2007-11,-1.731,
2007-12,-247.107,
2008-01,108.027,
2008-02,-28.383,
2008-03,-278.824,
2008-04,-87.792,
2008-05,-55.828,
2008-06,-7.032,
2008-07,-201.690,
2008-08,-38.983,
2008-09,-86.280,
2008-10,-3.747,
2008-11,-21.361,
2008-12,276.990,
2009-01,-1039.717,
2009-02,-49.196,
2009-03,91.370,
2009-04,-11.255,
2009-05,-34.823,
2009-06,-116.484,
2009-07,-35.073,
2009-08,88.253,
2009-09,176.388,
2009-10,63.678,
2009-11,190.265,
2009-12,710.260,
2010-01,-281.627,
2010-02,238.184,
2010-03,293.394,
2010-04,552.996,
2010-05,127.610,
2010-06,170.934,
2010-07,-58.821,
2010-08,160.710,
2010-09,115.906,
2010-10,45.140,
2010-11,369.433,
2010-12,569.898,
2011-01,156.785,
2011-02,183.149,
2011-03,123.977,
2011-04,-4.937,
2011-05,213.560,
2011-06,29.709,
2011-07,28.577,
2011-08,144.995,
2011-09,-22.209,
2011-10,141.077,
2011-11,288.656,
2011-12,-146.542,
2012-01,-527.466,
2012-02,82.760,
2012-03,112.828,
2012-04,-26.951,
2012-05,130.210,
2012-06,142.008,
2012-07,193.246,
2012-08,443.635,
2012-09,149.501,
2012-10,387.146,
2012-11,261.152,
2012-12,17.881,
2013-01,108.009,
2013-02,117.577,
2013-03,319.557,
2013-04,176.620,
2013-05,190.345,
2013-06,294.471,
2013-07,166.792,
2013-08,263.998,
2013-09,235.622,
2013-10,225.252,
2013-11,217.733,
2013-12,23.354,
2014-01,26.141,
2014-02,184.855,Provisional value
2014-03,155.994,Provisional value
2014-04,125.205,Provisional value
2014-05,451.032,Provisional value
2014-06,312.676,Provisional value
2014-07,251.373,Provisional value
2014-08,263.373,Provisional value
2014-09,250.327,
2014-10,128.267,
2014-11,396.664,
2014-12,-244.712,Provisional value
