"",BBFN1.M.DE.N.1.A.IT.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IT.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
2007-01,0.444,
2007-02,0.568,
2007-03,0.474,
2007-04,0.370,
2007-05,0.367,
2007-06,0.409,
2007-07,0.369,
2007-08,0.314,
2007-09,0.394,
2007-10,0.268,
2007-11,0.255,
2007-12,0.191,
2008-01,0.169,
2008-02,0.183,
2008-03,0.242,
2008-04,0.312,
2008-05,0.200,
2008-06,0.312,
2008-07,0.222,
2008-08,0.195,
2008-09,0.287,
2008-10,0.184,
2008-11,0.279,
2008-12,0.251,
2009-01,0.300,
2009-02,0.240,
2009-03,0.313,
2009-04,0.213,
2009-05,0.200,
2009-06,0.219,
2009-07,0.197,
2009-08,0.207,
2009-09,0.192,
2009-10,0.200,
2009-11,0.150,
2009-12,0.247,
2010-01,0.235,
2010-02,0.210,
2010-03,0.272,
2010-04,0.248,
2010-05,0.224,
2010-06,0.206,
2010-07,0.226,
2010-08,0.243,
2010-09,0.262,
2010-10,0.262,
2010-11,0.184,
2010-12,0.304,
2011-01,0.228,
2011-02,0.292,
2011-03,0.362,
2011-04,0.232,
2011-05,0.230,
2011-06,0.293,
2011-07,0.273,
2011-08,0.293,
2011-09,0.340,
2011-10,0.291,
2011-11,0.304,
2011-12,0.345,
2012-01,0.390,
2012-02,0.357,
2012-03,0.378,
2012-04,0.358,
2012-05,0.220,
2012-06,0.218,
2012-07,0.246,
2012-08,0.203,
2012-09,0.248,
2012-10,0.261,
2012-11,0.169,
2012-12,0.201,
2013-01,0.219,
2013-02,0.188,
2013-03,0.164,
2013-04,0.183,
2013-05,0.196,
2013-06,0.256,
2013-07,0.193,
2013-08,0.201,
2013-09,0.302,
2013-10,0.234,
2013-11,0.200,
2013-12,0.230,
2014-01,0.208,
2014-02,0.239,
2014-03,0.223,
2014-04,0.287,
2014-05,0.271,
2014-06,0.243,
2014-07,0.254,
2014-08,0.245,
2014-09,0.308,
2014-10,0.291,
2014-11,0.252,
2014-12,0.295,
