"",BBSF2.M.1.S.00000.TOT01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
2005-05,9136015,
2005-06,9181525,
2005-07,9227931,
2005-08,9246667,
2005-09,9245791,
2005-10,9280667,
2005-11,9305727,
2005-12,9472633,
2006-01,9531413,
2006-02,9578386,
2006-03,9622697,
2006-04,9667081,
2006-05,9725661,
2006-06,9749406,
2006-07,9719214,
2006-08,9673183,
2006-09,9730742,
2006-10,9727023,
2006-11,9701174,
2006-12,9863464,
2007-01,9912026,
2007-02,9957948,
2007-03,9977710,
2007-04,10017772,
2007-05,9977973,
2007-06,10083533,
2007-07,10106809,
2007-08,10104323,
2007-09,10112314,
2007-10,10098606,
2007-11,10017438,
2007-12,10128932,
2008-01,10169026,
2008-02,10212737,
2008-03,10229836,
2008-04,10230447,
2008-05,10289825,
2008-06,10259929,
2008-07,10267870,
2008-08,10289487,
2008-09,10356117,
2008-10,10296575,
2008-11,10355327,
2008-12,10362519,
2009-01,10404143,
2009-02,10372949,
2009-03,10382728,
2009-04,10440725,
2009-05,10440579,
2009-06,10342117,
2009-07,10367464,
2009-08,10356833,
2009-09,10420807,
2009-10,10415957,
2009-11,10448159,
2009-12,10641406,
2010-01,10724759,
2010-02,10766095,
2010-03,10786733,
2010-04,10879139,
2010-05,10899954,
2010-06,10944909,
2010-07,10997213,
2010-08,11161321,
2010-09,11258430,
2010-10,11349221,
2010-11,11438530,
2010-12,11609933,
2011-01,11680952,
2011-02,11828438,
2011-03,11868952,
2011-04,11852955,
2011-05,11835003,
2011-06,11873755,
2011-07,11915723,
2011-08,11950614,
2011-09,11955879,
2011-10,12095444,
2011-11,12189143,
2011-12,12370308,
2012-01,12395614,
2012-02,13105006,
2012-03,13170980,
2012-04,13217918,
2012-05,13267878,
2012-06,13384987,
2012-07,13623679,
2012-08,13656581,
2012-09,13686256,
2012-10,13764858,
2012-11,13893020,
2012-12,14097545,
2013-01,14545045,
2013-02,14621651,
2013-03,14754600,
2013-04,15730512,
2013-05,15778954,
2013-06,15832981,
2013-07,15965747,
2013-08,16035513,
2013-09,16208166,
2013-10,16251099,
2013-11,16395422,
2013-12,16806235,
2014-01,16870329,
2014-02,17005207,
2014-03,17124375,
2014-04,17153348,
2014-05,17218751,
2014-06,17273491,
2014-07,17336250,
2014-08,17429491,
2014-09,17482964,
2014-10,17623421,
2014-11,17540684,
