"",BBDA1.M.DE.N.IM.S.A.W100X2.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.W100X2.A.V.ABA.A_FLAGS
2013-08,22272306,
2013-09,22021498,
2013-10,23535251,
2013-11,21898411,
2013-12,19469994,
2014-01,22806005,
2014-02,20908529,
2014-03,22162694,
2014-04,20954475,
2014-05,20990084,
2014-06,21945185,
2014-07,22641237,
2014-08,22467083,
2014-09,24126473,
2014-10,24040328,
2014-11,21979545,
2014-12,21132310,
