"",BBFN1.M.DE.N.1.L.W1.S1P.H2.T.N000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.H2.T.N000.Z06.BGA.X001.D_FLAGS
2001-10,7.379,
2001-11,7.429,
2001-12,7.099,
2002-01,6.590,
2002-02,6.614,
2002-03,6.695,
2002-04,6.290,
2002-05,7.201,
2002-06,7.207,
2002-07,7.332,
2002-08,7.136,
2002-09,6.911,
2002-10,7.280,
2002-11,7.172,
2002-12,6.581,
2003-01,7.079,
2003-02,6.571,
2003-03,6.609,
2003-04,7.288,
2003-05,6.981,
2003-06,7.044,
2003-07,7.287,
2003-08,7.375,
2003-09,7.393,
2003-10,7.526,
2003-11,7.324,
2003-12,6.854,
2004-01,7.111,
2004-02,7.090,
2004-03,7.217,
2004-04,7.315,
2004-05,7.359,
2004-06,7.124,
2004-07,7.202,
2004-08,8.050,
2004-09,7.235,
2004-10,7.246,
2004-11,7.090,
2004-12,7.089,
2005-01,6.933,
2005-02,6.999,
2005-03,7.060,
2005-04,7.029,
2005-05,7.244,
2005-06,7.134,
2005-07,7.277,
2005-08,7.177,
2005-09,6.953,
2005-10,6.990,
2005-11,7.294,
2005-12,7.061,
2006-01,7.261,
2006-02,7.664,
2006-03,7.771,
2006-04,8.070,
2006-05,8.287,
2006-06,8.419,
2006-07,8.695,
2006-08,8.751,
2006-09,8.674,
2006-10,8.770,
2006-11,8.640,
2006-12,8.474,
2007-01,8.677,
2007-02,8.895,
2007-03,9.119,
2007-04,9.477,
2007-05,9.645,
2007-06,10.031,
2007-07,10.006,
2007-08,10.494,
2007-09,10.142,
2007-10,10.660,
2007-11,10.609,
2007-12,9.899,
2008-01,10.198,
2008-02,10.148,
2008-03,10.345,
2008-04,10.502,
2008-05,10.945,
2008-06,10.822,
2008-07,11.087,
2008-08,11.645,
2008-09,10.753,
2008-10,10.684,
2008-11,10.510,
2008-12,9.639,
2009-01,10.383,
2009-02,10.958,
2009-03,10.669,
2009-04,10.986,
2009-05,11.039,
2009-06,10.148,
2009-07,10.057,
2009-08,9.788,
2009-09,9.131,
2009-10,9.061,
2009-11,8.682,
2009-12,8.617,
2010-01,8.516,
2010-02,8.592,
2010-03,8.648,
2010-04,8.782,
2010-05,8.577,
2010-06,8.661,
2010-07,8.833,
2010-08,8.565,
2010-09,8.015,
2010-10,8.082,
2010-11,7.749,
2010-12,7.137,
2011-01,8.224,
2011-02,8.366,
2011-03,8.450,
2011-04,8.705,
2011-05,9.024,
2011-06,9.068,
2011-07,9.401,
2011-08,9.695,
2011-09,9.535,
2011-10,9.583,
2011-11,9.580,
2011-12,9.657,
2012-01,9.751,
2012-02,9.978,
2012-03,9.581,
2012-04,9.824,
2012-05,10.058,
2012-06,9.843,
2012-07,9.976,
2012-08,10.153,
2012-09,10.510,
2012-10,10.321,
2012-11,10.506,
2012-12,8.586,
2013-01,8.732,
2013-02,8.722,
2013-03,8.759,
2013-04,8.857,
2013-05,8.754,
2013-06,8.593,
2013-07,9.159,
2013-08,9.269,
2013-09,9.336,
2013-10,9.637,
2013-11,9.183,
2013-12,9.087,
2014-01,10.559,
2014-02,10.820,
2014-03,9.474,
2014-04,9.502,
2014-05,10.629,
2014-06,9.453,
2014-07,9.769,
2014-08,10.031,
2014-09,9.910,
2014-10,10.127,
2014-11,10.077,
2014-12,10.486,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
