"",BBEX3.M.JPY.USD.CA.AA.A01,BBEX3.M.JPY.USD.CA.AA.A01_FLAGS
2006-10,116.70,
2006-11,115.48,
2006-12,118.11,
2007-01,120.73,
2007-02,117.44,
2007-03,117.05,
2007-04,118.80,
2007-05,120.69,
2007-06,122.26,
2007-07,117.94,
2007-08,115.07,
2007-09,114.43,
2007-10,113.78,
2007-11,109.15,
2007-12,113.15,
2008-01,105.40,
2008-02,103.78,
2008-03,99.19,
2008-04,103.14,
2008-05,104.75,
2008-06,105.42,
2008-07,107.12,
2008-08,108.36,
2008-09,102.57,
2008-10,97.40,
2008-11,94.54,
2008-12,90.03,
2009-01,88.55,
2009-02,96.81,
2009-03,97.23,
2009-04,96.78,
2009-05,95.48,
2009-06,95.01,
2009-07,94.47,
2009-08,91.74,
2009-09,89.21,
2009-10,90.44,
2009-11,85.81,
2009-12,91.10,
2010-01,88.77,
2010-02,88.43,
2010-03,92.04,
2010-04,93.07,
2010-05,90.31,
2010-06,87.48,
2010-07,85.70,
2010-08,83.56,
2010-09,82.82,
2010-10,79.89,
2010-11,83.27,
2010-12,80.49,
2011-01,81.13,
2011-02,80.71,
2011-03,82.15,
2011-04,81.08,
2011-05,79.88,
2011-06,79.73,
2011-07,76.85,
2011-08,75.74,
2011-09,75.65,
2011-10,76.75,
2011-11,77.13,
2011-12,76.74,
2012-01,75.38,
2012-02,79.68,
2012-03,81.19,
2012-04,80.19,
2012-05,77.92,
2012-06,78.31,
2012-07,77.17,
2012-08,77.60,
2012-09,76.60,
2012-10,78.66,
2012-11,81.12,
2012-12,85.58,
2013-01,90.14,
2013-02,91.51,
2013-03,93.32,
2013-04,96.92,
2013-05,100.18,
2013-06,97.59,
2013-07,97.08,
2013-08,97.36,
2013-09,96.75,
2013-10,97.51,
2013-11,101.42,
2013-12,104.39,
2014-01,101.86,
2014-02,100.94,
2014-03,101.92,
2014-04,101.61,
2014-05,100.66,
2014-06,100.36,
2014-07,101.85,
2014-08,102.74,
2014-09,108.45,
2014-10,108.34,
2014-11,117.23,
2014-12,119.55,
2015-01,117.25,
"",Source: Since 2006: Bank of Tokyo-Mitsubishi UFJ April 1996 - 2005: Bank of Tokyo-Mitsubishi 1989 - March 1996: Bank of Tokyo,
