"",BBEX3.M.KHR.USD.CA.AC.A01,BBEX3.M.KHR.USD.CA.AC.A01_FLAGS
2005-08,4116.000,
2005-09,4175.000,
2005-10,4190.000,
2005-11,4170.000,
2005-12,4116.000,
2006-01,4081.000,
2006-02,4083.000,
2006-03,4099.000,
2006-04,4096.000,
2006-05,4106.000,
2006-06,4114.000,
2006-07,4118.000,
2006-08,4148.000,
2006-09,4158.000,
2006-10,4154.000,
2006-11,4103.000,
2006-12,4061.000,
2007-01,4068.000,
2007-02,4061.000,
2007-03,4059.000,
2007-04,4066.000,
2007-05,4081.000,
2007-06,4086.000,
2007-07,4081.000,
2007-08,4084.000,
2007-09,4079.000,
2007-10,4052.000,
2007-11,4006.000,
2007-12,4003.000,
2008-01,4000.000,
2008-02,3995.000,
2008-03,3999.000,
2008-04,4001.000,
2008-05,4026.000,
2008-06,4096.000,
2008-07,4111.000,
2008-08,4111.000,
2008-09,4116.000,
2008-10,4114.000,
2008-11,4070.000,
2008-12,4081.000,
2009-01,4116.000,
2009-02,4126.000,
2009-03,4093.000,
2009-04,4121.000,
2009-05,4141.000,
2009-06,4164.000,
2009-07,4191.000,
2009-08,4146.000,
2009-09,4176.000,
2009-10,4174.000,
2009-11,4163.000,
2009-12,4169.000,
2010-01,4171.000,
2010-02,4187.000,
2010-03,4186.000,
2010-04,4204.000,
2010-05,4219.000,
2010-06,4226.000,
2010-07,4241.000,
2010-08,4239.000,
2010-09,4231.000,
2010-10,4226.000,
2010-11,4079.000,
2010-12,4053.000,
2011-01,4052.000,
2011-02,4039.000,
2011-03,4010.000,
2011-04,4024.000,
2011-05,4084.000,
2011-06,4119.000,
2011-07,4104.000,
2011-08,4097.000,
2011-09,4084.000,
2011-10,4104.000,
2011-11,4035.000,
2011-12,4039.000,
2012-01,4064.000,
2012-02,4015.000,
2012-03,3995.000,
2012-04,4025.000,
2012-05,4065.000,
2012-06,4065.000,
2012-07,4070.000,
2012-08,4045.000,
2012-09,4043.000,
2012-10,4030.000,
2012-11,3992.000,
2012-12,3995.000,
2013-01,3995.000,
2013-02,3995.000,
2013-03,3995.000,
2013-04,4020.000,
2013-05,4065.000,
2013-06,4062.000,
2013-07,4062.000,
2013-08,4062.000,
2013-09,4062.000,
2013-10,4040.000,
2013-11,3995.000,
2013-12,3995.000,
2014-01,3995.000,
2014-02,3980.000,
2014-03,4015.000,
2014-04,4015.000,
2014-05,4032.000,
2014-06,4040.000,
2014-07,4050.000,
2014-08,4065.000,
2014-09,4085.000,
2014-10,4076.000,
2014-11,4063.000,
2014-12,4075.000,
2015-01,4060.000,
2015-02,4027.000,
"","Source: Since March 2002: National Bank of Cambodia, Phnom Penh January 1999 - February 2002: Standard Chartered Bank, Phnom Penh December 1985 - December 1998:  Foreign Trade Bank of Cambodia, Phnom Penh (until the end of 1989: Foreign Trade Bank of Kampuchea) (until the end of 2011 calculated on the basis of buying and selling rates)",
"","Comment on 1987-09: On 12 September 1987, the exchange rates were adjusted. Calculated devaluation: 70.0%.",
"","Comment on 1988-10: On 17 October 1988, the exchange rates were adjusted. Calculated devaluation: 30.0% (middle rate).",
"",Comment on 1990-08: Calculated devaluation: 25.5%.,
"",Comment on 1990-10: Calculated devaluation: 15.0%.,
"","Comment on 1991-07: On 6 July 1991, the exchange rates were adjusted. Calculated devaluation: 25.0%.",
"","Comment on 1991-09: On 9 September 1991, the exchange rates were adjusted. Calculated devaluation: 20.0%.",
