"",BBEX3.M.BOB.USD.CA.AA.A01,BBEX3.M.BOB.USD.CA.AA.A01_FLAGS
2000-10,6.310,
2000-11,6.350,
2000-12,6.390,
2001-01,6.420,
2001-02,6.440,
2001-03,6.480,
2001-04,6.510,
2001-05,6.560,
2001-06,6.590,
2001-07,6.650,
2001-08,6.690,
2001-09,6.730,
2001-10,6.790,
2001-11,6.820,
2001-12,6.820,
2002-01,6.900,
2002-02,6.970,
2002-03,7.020,
2002-04,7.050,
2002-05,7.080,
2002-06,7.160,
2002-07,7.230,
2002-08,7.290,
2002-09,7.340,
2002-10,7.390,
2002-11,7.440,
2002-12,7.490,
2003-01,7.540,
2003-02,7.560,
2003-03,7.580,
2003-04,7.590,
2003-05,7.610,
2003-06,7.640,
2003-07,7.670,
2003-08,7.710,
2003-09,7.730,
2003-10,7.750,
2003-11,7.770,
2003-12,7.820,
2004-01,7.840,
2004-02,7.850,
2004-03,7.880,
2004-04,7.890,
2004-05,7.900,
2004-06,7.920,
2004-07,7.930,
2004-08,7.960,
2004-09,7.980,
2004-10,8.010,
2004-11,8.020,
2004-12,8.040,
2005-01,8.050,
2005-02,8.060,
2005-03,8.080,
2005-04,8.080,
2005-05,8.080,
2005-06,8.080,
2005-07,8.050,
2005-08,8.030,
2005-09,8.020,
2005-10,8.000,
2005-11,8.000,
2005-12,8.000,
2006-01,8.000,
2006-02,7.990,
2006-03,7.970,
2006-04,7.960,
2006-05,7.960,
2006-06,7.960,
2006-07,7.960,
2006-08,7.950,
2006-09,7.950,
2006-10,7.950,
2006-11,7.950,
2006-12,7.930,
2007-01,7.910,
2007-02,7.890,
2007-03,7.890,
2007-04,7.890,
2007-05,7.870,
2007-06,7.850,
2007-07,7.770,
2007-08,7.710,
2007-09,7.710,
2007-10,7.670,
2007-11,7.630,
2007-12,7.570,
2008-01,7.530,
2008-02,7.490,
2008-03,7.400,
2008-04,7.300,
2008-05,7.210,
2008-06,7.120,
2008-07,7.040,
2008-08,7.010,
2008-09,6.990,
2008-10,6.970,
2008-11,6.970,
2008-12,6.970,
2009-01,6.970,
2009-02,6.970,
2009-03,6.970,
2009-04,6.970,
2009-05,6.970,
2009-06,6.970,
2009-07,6.970,
2009-08,6.970,
2009-09,6.970,
2009-10,6.970,
2009-11,6.970,
2009-12,6.970,
2010-01,6.970,
2010-02,6.970,
2010-03,6.970,
2010-04,6.970,
2010-05,6.970,
2010-06,6.970,
2010-07,6.970,
2010-08,6.970,
2010-09,6.970,
2010-10,6.970,
2010-11,6.960,
2010-12,6.940,
2011-01,6.940,
2011-02,6.920,
2011-03,6.900,
2011-04,6.890,
2011-05,6.890,
2011-06,6.880,
2011-07,6.870,
2011-08,6.870,
2011-09,6.870,
2011-10,6.870,
2011-11,6.860,
2011-12,6.860,
2012-01,6.860,
2012-02,6.860,
2012-03,6.860,
2012-04,6.860,
2012-05,6.860,
2012-06,6.860,
2012-07,6.860,
2012-08,6.860,
2012-09,6.860,
2012-10,6.860,
2012-11,6.860,
2012-12,6.860,
2013-01,6.860,
2013-02,6.860,
2013-03,6.860,
2013-04,6.860,
2013-05,6.860,
2013-06,6.860,
2013-07,6.860,
2013-08,6.860,
2013-09,6.860,
2013-10,6.860,
2013-11,6.860,
2013-12,6.860,
2014-01,6.860,
2014-02,6.860,
2014-03,6.860,
2014-04,6.860,
2014-05,6.860,
2014-06,6.860,
2014-07,6.860,
2014-08,6.860,
2014-09,6.860,
2014-10,6.860,
2014-11,6.860,
2014-12,6.860,
2015-01,6.860,
"","Source: Since March 2003: Banco Central de Bolivia, La Paz. 1990 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
