"",BBDE1.M.DE.N.BAA1.A2P200000.G.C.I10.L,BBDE1.M.DE.N.BAA1.A2P200000.G.C.I10.L_FLAGS
1986-05,66.2,
1986-06,71.2,
1986-07,70.0,
1986-08,60.9,
1986-09,74.0,
1986-10,78.4,
1986-11,72.2,
1986-12,69.1,
1987-01,62.8,
1987-02,67.5,
1987-03,73.5,
1987-04,71.1,
1987-05,68.9,
1987-06,69.1,
1987-07,68.1,
1987-08,62.0,
1987-09,74.5,
1987-10,77.3,
1987-11,75.4,
1987-12,72.0,
1988-01,64.0,
1988-02,70.7,
1988-03,78.9,
1988-04,70.2,
1988-05,71.8,
1988-06,74.6,
1988-07,65.9,
1988-08,68.9,
1988-09,78.1,
1988-10,77.8,
1988-11,78.9,
1988-12,76.0,
1989-01,71.3,
1989-02,71.4,
1989-03,78.5,
1989-04,77.8,
1989-05,71.4,
1989-06,82.5,
1989-07,70.9,
1989-08,71.2,
1989-09,79.6,
1989-10,84.4,
1989-11,82.7,
1989-12,75.8,
1990-01,75.7,
1990-02,75.2,
1990-03,85.7,
1990-04,75.9,
1990-05,82.1,
1990-06,79.3,
1990-07,76.8,
1990-08,75.7,
1990-09,82.0,
1990-10,89.9,
1990-11,87.5,
1990-12,77.3,
1991-01,81.3,
1991-02,79.2,
1991-03,84.0,
1991-04,86.0,
1991-05,79.1,
1991-06,86.5,
1991-07,82.1,
1991-08,73.5,
1991-09,84.9,
1991-10,90.0,
1991-11,86.1,
1991-12,78.4,
1992-01,79.1,
1992-02,81.6,
1992-03,88.2,
1992-04,83.3,
1992-05,78.8,
1992-06,83.6,
1992-07,79.4,
1992-08,70.5,
1992-09,86.2,
1992-10,86.6,
1992-11,82.5,
1992-12,76.1,
1993-01,66.5,
1993-02,70.4,
1993-03,83.2,
1993-04,74.4,
1993-05,71.1,
1993-06,78.6,
1993-07,69.9,
1993-08,68.4,
1993-09,81.2,
1993-10,79.1,
1993-11,79.2,
1993-12,76.4,
1994-01,67.5,
1994-02,71.4,
1994-03,84.0,
1994-04,73.9,
1994-05,75.5,
1994-06,81.6,
1994-07,71.7,
1994-08,71.3,
1994-09,84.0,
1994-10,80.3,
1994-11,84.3,
1994-12,80.5,
1995-01,72.2,
1995-02,74.0,
1995-03,86.7,
1995-04,73.2,
1995-05,80.7,
1995-06,80.4,
1995-07,73.5,
1995-08,72.0,
1995-09,82.3,
1995-10,80.1,
1995-11,84.4,
1995-12,74.0,
1996-01,72.4,
1996-02,74.4,
1996-03,79.8,
1996-04,76.5,
1996-05,76.6,
1996-06,77.2,
1996-07,77.9,
1996-08,70.6,
1996-09,82.3,
1996-10,83.8,
1996-11,83.2,
1996-12,73.3,
1997-01,72.0,
1997-02,73.8,
1997-03,77.1,
1997-04,84.6,
1997-05,73.4,
1997-06,85.2,
1997-07,83.5,
1997-08,69.7,
1997-09,86.7,
1997-10,87.7,
1997-11,85.2,
1997-12,78.9,
1998-01,74.8,
1998-02,78.1,
1998-03,90.3,
1998-04,83.2,
1998-05,80.4,
1998-06,85.7,
1998-07,87.0,
1998-08,73.6,
1998-09,89.3,
1998-10,89.8,
1998-11,88.4,
1998-12,80.6,
1999-01,72.7,
1999-02,77.1,
1999-03,91.8,
1999-04,82.9,
1999-05,80.0,
1999-06,89.0,
1999-07,83.9,
1999-08,78.1,
1999-09,91.7,
1999-10,89.3,
1999-11,93.2,
1999-12,86.1,
2000-01,76.6,
2000-02,85.9,
2000-03,95.6,
2000-04,82.3,
2000-05,95.6,
2000-06,87.6,
2000-07,86.9,
2000-08,85.7,
2000-09,94.7,
2000-10,94.2,
2000-11,99.0,
2000-12,87.0,
2001-01,86.4,
2001-02,87.0,
2001-03,98.0,
2001-04,86.3,
2001-05,92.5,
2001-06,90.3,
2001-07,88.5,
2001-08,85.6,
2001-09,90.0,
2001-10,94.4,
2001-11,94.2,
2001-12,78.5,
2002-01,83.0,
2002-02,82.8,
2002-03,88.8,
2002-04,91.2,
2002-05,84.6,
2002-06,91.2,
2002-07,91.6,
2002-08,82.5,
2002-09,92.9,
2002-10,94.8,
2002-11,94.2,
2002-12,81.2,
2003-01,83.3,
2003-02,85.0,
2003-03,91.2,
2003-04,88.5,
2003-05,87.0,
2003-06,86.7,
2003-07,92.9,
2003-08,77.4,
2003-09,94.0,
2003-10,96.2,
2003-11,93.8,
2003-12,85.5,
2004-01,81.9,
2004-02,85.9,
2004-03,100.2,
2004-04,91.4,
2004-05,88.4,
2004-06,97.3,
2004-07,93.2,
2004-08,84.8,
2004-09,98.9,
2004-10,96.7,
2004-11,98.7,
2004-12,90.3,
2005-01,84.9,
2005-02,87.1,
2005-03,97.0,
2005-04,97.1,
2005-05,90.0,
2005-06,103.4,
2005-07,93.4,
2005-08,89.0,
2005-09,104.0,
2005-10,98.3,
2005-11,104.8,
2005-12,95.2,
2006-01,91.2,
2006-02,92.4,
2006-03,107.9,
2006-04,92.3,
2006-05,103.2,
2006-06,102.7,
2006-07,98.7,
2006-08,97.2,
2006-09,106.8,
2006-10,105.9,
2006-11,112.4,
2006-12,98.1,
2007-01,100.1,
2007-02,100.1,
2007-03,114.5,
2007-04,101.5,
2007-05,106.3,
2007-06,109.8,
2007-07,108.5,
2007-08,102.9,
2007-09,110.1,
2007-10,117.5,
2007-11,117.9,
2007-12,98.2,
2008-01,106.1,
2008-02,109.2,
2008-03,107.6,
2008-04,118.7,
2008-05,105.4,
2008-06,115.3,
2008-07,112.5,
2008-08,98.0,
2008-09,116.3,
2008-10,113.3,
2008-11,104.5,
2008-12,90.7,
2009-01,81.0,
2009-02,82.0,
2009-03,93.9,
2009-04,84.3,
2009-05,84.7,
2009-06,91.0,
2009-07,91.5,
2009-08,80.4,
2009-09,100.5,
2009-10,98.5,
2009-11,98.7,
2009-12,87.6,
2010-01,81.5,
2010-02,87.5,
2010-03,106.8,
2010-04,96.5,
2010-05,95.7,
2010-06,105.5,
2010-07,99.7,
2010-08,93.9,
2010-09,110.0,
2010-10,108.0,
2010-11,112.1,
2010-12,102.8,
2011-01,94.9,
2011-02,102.3,
2011-03,118.7,
2011-04,103.5,
2011-05,115.8,
2011-06,105.9,
2011-07,107.3,
2011-08,105.1,
2011-09,116.2,
2011-10,108.7,
2011-11,117.1,
2011-12,104.2,
2012-01,100.2,
2012-02,105.7,
2012-03,118.3,
2012-04,102.4,
2012-05,107.8,
2012-06,109.8,
2012-07,109.3,
2012-08,103.9,
2012-09,107.4,
2012-10,112.7,
2012-11,113.4,
2012-12,94.3,
2013-01,98.8,
2013-02,100.0,
2013-03,108.3,
2013-04,110.3,
2013-05,102.9,
2013-06,109.6,
2013-07,111.0,
2013-08,100.8,
2013-09,112.0,
2013-10,114.4,
2013-11,114.4,
2013-12,99.9,
2014-01,102.2,
2014-02,105.8,
2014-03,113.8,
2014-04,109.3,
2014-05,107.8,
2014-06,107.5,
2014-07,115.7,
2014-08,96.0,
2014-09,116.9,
2014-10,116.1,Provisional value
2014-11,113.0,Provisional value
2014-12,102.4,Provisional value
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany (chain-linked over the annual average of 1991; Bundesbank calculation). - 3 Methodology: Up to 1990 according to the national classification in the production sector (Sypro) and as of 1991 according to the Statistical Classification of Economic Activities Rev. 2 (NACE Rev. 2).",
