"",BBEX3.M.BIF.USD.CA.AA.A01,BBEX3.M.BIF.USD.CA.AA.A01_FLAGS
2012-01,1369.9588,
2012-02,1389.5113,
2012-03,1381.6804,
2012-04,1383.3690,
2012-05,1394.2118,
2012-06,1421.8420,
2012-07,1447.8824,
2012-08,1454.7554,
2012-09,1458.1030,
2012-10,1468.1459,
2012-11,1493.5246,
2012-12,1526.7441,
2013-01,1565.6023,
2013-02,1696.0806,
2013-03,1555.9632,
2013-04,1538.0739,
2013-05,1524.4416,
2013-06,1521.4122,
2013-07,1522.1250,
2013-08,1523.7090,
2013-09,1523.8971,
2013-10,1524.0753,
2013-11,1525.2138,
2013-12,1526.5701,
2014-01,1527.7680,
2014-02,1528.6392,
2014-03,1529.1144,
2014-04,1529.6292,
2014-05,1530.1737,
2014-06,1531.1439,
2014-07,1531.8864,
2014-08,1532.4210,
2014-09,1533.2031,
2014-10,1533.9258,
2014-11,1534.5198,
2014-12,1537.5195,
2015-01,1538.3115,
"","Source: Since September 2010: Banque de Credit de Bujumbura, Bujumbura. 1990 - August 2010: Banque de la Republique du Burundi, Bujumbura.",
"","Comment on 1991-08: On 9 August 1991, the Burundi franc was devalued. We recorded the following exchange rates (buying/selling rate).  8 August 1991: USD 1 = BIF 171.6329 / 173.3578  9 August 1991: USD 1 = BIF 201.3891 / 203.4131.  Calculated devaluation of the Burundi franc: 14.8%.",
"",Comment on 2008-12: Exchange rate as of 23 December 2008.,
"",Comment on 2010-08: Exchange rate as of 26 August 2010.,
