"",BBDE1.M.DE.W.AEA1.P2XF02000.B2.V.I10.A,BBDE1.M.DE.W.AEA1.P2XF02000.B2.V.I10.A_FLAGS
2002-11,95.6,
2002-12,115.7,
2003-01,78.2,
2003-02,88.1,
2003-03,114.0,
2003-04,105.5,
2003-05,102.3,
2003-06,115.2,
2003-07,109.9,
2003-08,101.9,
2003-09,114.2,
2003-10,100.0,
2003-11,91.3,
2003-12,94.1,
2004-01,76.1,
2004-02,101.0,
2004-03,101.2,
2004-04,95.7,
2004-05,92.9,
2004-06,111.0,
2004-07,99.9,
2004-08,96.4,
2004-09,104.9,
2004-10,94.2,
2004-11,77.2,
2004-12,95.7,
2005-01,62.0,
2005-02,72.8,
2005-03,109.0,
2005-04,87.5,
2005-05,95.7,
2005-06,110.5,
2005-07,95.8,
2005-08,88.3,
2005-09,112.8,
2005-10,92.8,
2005-11,87.9,
2005-12,105.3,
2006-01,67.4,
2006-02,83.6,
2006-03,108.2,
2006-04,104.3,
2006-05,106.8,
2006-06,113.1,
2006-07,108.5,
2006-08,104.0,
2006-09,112.9,
2006-10,100.0,
2006-11,89.9,
2006-12,97.9,
2007-01,78.3,
2007-02,84.7,
2007-03,123.1,
2007-04,110.6,
2007-05,113.9,
2007-06,119.8,
2007-07,121.9,
2007-08,100.6,
2007-09,110.4,
2007-10,115.1,
2007-11,85.9,
2007-12,99.7,
2008-01,92.3,
2008-02,87.7,
2008-03,122.3,
2008-04,119.8,
2008-05,106.1,
2008-06,128.4,
2008-07,111.9,
2008-08,106.3,
2008-09,127.0,
2008-10,102.5,
2008-11,89.8,
2008-12,93.4,
2009-01,68.2,
2009-02,70.2,
2009-03,102.0,
2009-04,95.0,
2009-05,99.9,
2009-06,103.4,
2009-07,102.5,
2009-08,103.6,
2009-09,108.2,
2009-10,97.2,
2009-11,87.1,
2009-12,92.5,
2010-01,65.5,
2010-02,81.8,
2010-03,113.4,
2010-04,104.1,
2010-05,101.5,
2010-06,116.6,
2010-07,110.3,
2010-08,112.2,
2010-09,110.8,
2010-10,103.8,
2010-11,87.5,
2010-12,88.8,
2011-01,79.1,
2011-02,95.7,
2011-03,124.6,
2011-04,111.3,
2011-05,125.7,
2011-06,129.4,
2011-07,116.7,
2011-08,116.9,
2011-09,119.2,
2011-10,114.8,
2011-11,107.1,
2011-12,105.8,
2012-01,90.6,
2012-02,102.0,
2012-03,147.4,
2012-04,126.7,
2012-05,118.7,
2012-06,136.7,
2012-07,123.8,
2012-08,140.7,
2012-09,129.5,
2012-10,131.7,
2012-11,101.0,
2012-12,108.1,
2013-01,90.4,
2013-02,100.8,
2013-03,133.3,
2013-04,130.0,
2013-05,135.3,
2013-06,157.6,
2013-07,141.9,
2013-08,124.1,
2013-09,135.8,
2013-10,128.6,
2013-11,119.6,
2013-12,120.0,
2014-01,106.5,
2014-02,112.9,
2014-03,146.5,
2014-04,133.3,
2014-05,130.9,
2014-06,140.0,
2014-07,139.8,
2014-08,122.5,
2014-09,130.0,
2014-10,129.3,
2014-11,113.0,
2014-12,122.1,
