"",BBFB1.M.N.DE.W1.S12K.S1.T.C.D4P.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12K.S1.T.C.D4P.O.F._Z._T._X.N_FLAGS
2004-11,2445.333,
2004-12,2503.968,
2005-01,2605.534,
2005-02,2643.794,
2005-03,2725.333,
2005-04,2773.940,
2005-05,2832.215,
2005-06,2828.455,
2005-07,2939.129,
2005-08,2995.015,
2005-09,3078.224,
2005-10,3189.621,
2005-11,3308.865,
2005-12,3402.307,
2006-01,3408.810,
2006-02,3595.796,
2006-03,3707.769,
2006-04,3870.253,
2006-05,4050.171,
2006-06,4213.747,
2006-07,4384.864,
2006-08,4590.878,
2006-09,4722.049,
2006-10,4875.943,
2006-11,5051.517,
2006-12,5257.471,
2007-01,5637.162,
2007-02,5798.229,
2007-03,5886.406,
2007-04,5863.324,
2007-05,5914.926,
2007-06,5943.399,
2007-07,5941.198,
2007-08,5914.751,
2007-09,5871.540,
2007-10,5832.376,
2007-11,5864.720,
2007-12,5764.336,
2008-01,5690.202,
2008-02,5570.166,
2008-03,5425.383,
2008-04,5289.070,
2008-05,5115.949,
2008-06,4896.419,
2008-07,4611.579,
2008-08,4385.303,
2008-09,4154.306,
2008-10,3628.696,
2008-11,3273.597,
2008-12,2993.104,
2009-01,2739.246,
2009-02,2369.744,
2009-03,2181.443,
2009-04,2177.924,
2009-05,2005.717,
2009-06,1920.182,
2009-07,1863.801,
2009-08,1773.318,
2009-09,1743.645,
2009-10,1757.261,
2009-11,1709.849,
2009-12,1690.232,
2010-01,1720.451,
2010-02,1709.553,
2010-03,1703.671,
2010-04,1737.486,
2010-05,1747.028,
2010-06,1760.348,
2010-07,1710.166,
2010-08,1711.436,
2010-09,1743.746,
2010-10,1747.569,
2010-11,1777.102,
2010-12,1800.899,
2011-01,1845.981,
2011-02,1925.379,
2011-03,1942.131,
2011-04,1955.283,
2011-05,1959.150,
2011-06,1941.971,
2011-07,1823.348,
2011-08,1803.524,
2011-09,1761.679,
2011-10,1719.637,
2011-11,1675.089,
2011-12,1639.505,
2012-01,1593.199,
2012-02,1469.930,
2012-03,1424.404,
2012-04,1447.994,
2012-05,1455.334,
2012-06,1432.666,
2012-07,1438.972,
2012-08,1420.065,
2012-09,1386.741,
2012-10,1405.584,
2012-11,1377.906,
2012-12,1356.937,
2013-01,1302.099,
2013-02,1258.054,
2013-03,1236.597,
2013-04,1218.017,
2013-05,1183.330,
2013-06,1134.367,
2013-07,1079.396,
2013-08,1055.635,
2013-09,1018.664,
2013-10,995.875,
2013-11,1004.999,
2013-12,964.774,
2014-01,1021.378,
2014-02,1059.932,Provisional value
2014-03,1024.120,Provisional value
2014-04,1024.557,Provisional value
2014-05,1090.000,Provisional value
2014-06,1086.593,Provisional value
2014-07,740.174,Provisional value
2014-08,779.979,Provisional value
2014-09,719.234,
2014-10,887.558,
2014-11,868.564,
2014-12,849.897,Provisional value
