"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.B000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.B000.Z06.BGA.X001.D_FLAGS
1991-06,0.192,
1991-07,0.202,
1991-08,0.206,
1991-09,0.206,
1991-10,0.200,
1991-11,0.199,
1991-12,0.197,
1992-01,0.196,
1992-02,0.202,
1992-03,0.194,
1992-04,0.195,
1992-05,0.197,
1992-06,0.193,
1992-07,0.191,
1992-08,0.187,
1992-09,0.185,
1992-10,0.184,
1992-11,0.296,
1992-12,0.318,
1993-01,0.220,
1993-02,0.220,
1993-03,0.201,
1993-04,0.202,
1993-05,0.193,
1993-06,0.192,
1993-07,0.203,
1993-08,0.203,
1993-09,0.205,
1993-10,0.206,
1993-11,0.250,
1993-12,0.254,
1994-01,0.251,
1994-02,0.252,
1994-03,0.248,
1994-04,0.242,
1994-05,0.216,
1994-06,0.216,
1994-07,0.385,
1994-08,0.387,
1994-09,0.395,
1994-10,0.391,
1994-11,0.407,
1994-12,0.374,
1995-01,0.355,
1995-02,0.388,
1995-03,0.358,
1995-04,0.360,
1995-05,0.359,
1995-06,0.389,
1995-07,0.510,
1995-08,0.755,
1995-09,1.122,
1995-10,1.140,
1995-11,1.133,
1995-12,1.113,
1996-01,1.122,
1996-02,1.092,
1996-03,1.111,
1996-04,1.134,
1996-05,1.114,
1996-06,1.053,
1996-07,1.025,
1996-08,1.025,
1996-09,1.009,
1996-10,0.997,
1996-11,0.961,
1996-12,0.921,
1997-01,0.911,
1997-02,0.929,
1997-03,0.925,
1997-04,0.929,
1997-05,0.912,
1997-06,0.857,
1997-07,0.857,
1997-08,0.841,
1997-09,0.829,
1997-10,0.837,
1997-11,0.867,
1997-12,0.821,
1998-01,0.885,
1998-02,0.887,
1998-03,0.960,
1998-04,0.967,
1998-05,1.021,
1998-06,1.026,
1998-07,1.126,
1998-08,1.082,
1998-09,1.105,
1998-10,1.080,
1998-11,0.960,
1998-12,1.347,
1999-01,0.888,
1999-02,0.997,
1999-03,1.012,
1999-04,1.002,
1999-05,1.072,
1999-06,1.007,
1999-07,1.000,
1999-08,0.992,
1999-09,0.964,
1999-10,0.979,
1999-11,0.975,
1999-12,0.924,
2000-01,0.925,
2000-02,0.925,
2000-03,0.937,
2000-04,0.938,
2000-05,0.938,
2000-06,0.344,
2000-07,0.372,
2000-08,0.358,
2000-09,0.379,
2000-10,0.361,
2000-11,0.371,
2000-12,0.481,
2001-01,0.532,
2001-02,0.532,
2001-03,0.526,
2001-04,0.529,
2001-05,0.521,
2001-06,0.532,
2001-07,0.475,
2001-08,0.475,
2001-09,0.474,
2001-10,0.492,
2001-11,0.495,
2001-12,0.490,
2002-01,0.491,
2002-02,0.459,
2002-03,0.455,
2002-04,0.479,
2002-05,0.508,
2002-06,0.486,
2002-07,0.488,
2002-08,0.490,
2002-09,0.462,
2002-10,0.469,
2002-11,0.467,
2002-12,0.446,
2003-01,0.462,
2003-02,0.480,
2003-03,0.370,
2003-04,0.361,
2003-05,0.345,
2003-06,0.335,
2003-07,0.345,
2003-08,0.348,
2003-09,0.345,
2003-10,0.576,
2003-11,0.491,
2003-12,0.481,
2004-01,0.524,
2004-02,0.447,
2004-03,0.492,
2004-04,0.473,
2004-05,0.472,
2004-06,0.478,
2004-07,0.479,
2004-08,0.475,
2004-09,0.454,
2004-10,0.499,
2004-11,0.506,
2004-12,0.516,
2005-01,0.512,
2005-02,0.522,
2005-03,0.452,
2005-04,0.463,
2005-05,0.468,
2005-06,0.462,
2005-07,0.464,
2005-08,0.487,
2005-09,0.761,
2005-10,0.767,
2005-11,0.766,
2005-12,0.766,
2006-01,0.787,
2006-02,0.791,
2006-03,0.890,
2006-04,0.897,
2006-05,0.903,
2006-06,0.876,
2006-07,0.880,
2006-08,0.882,
2006-09,0.863,
2006-10,0.879,
2006-11,0.876,
2006-12,1.006,
2007-01,1.013,
2007-02,1.005,
2007-03,0.989,
2007-04,0.985,
2007-05,1.720,
2007-06,1.740,
2007-07,1.771,
2007-08,1.253,
2007-09,0.986,
2007-10,1.000,
2007-11,0.983,
2007-12,1.064,
2008-01,1.094,
2008-02,0.957,
2008-03,0.900,
2008-04,0.914,
2008-05,0.949,
2008-06,0.959,
2008-07,0.979,
2008-08,0.981,
2008-09,1.011,
2008-10,1.038,
2008-11,1.024,
2008-12,1.015,
2009-01,1.032,
2009-02,1.025,
2009-03,1.011,
2009-04,0.990,
2009-05,1.009,
2009-06,0.977,
2009-07,0.975,
2009-08,1.033,
2009-09,0.975,
2009-10,0.968,
2009-11,0.978,
2009-12,1.006,
2010-01,0.988,
2010-02,0.977,
2010-03,1.056,
2010-04,0.996,
2010-05,1.116,
2010-06,1.362,
2010-07,1.076,
2010-08,1.056,
2010-09,0.961,
2010-10,0.956,
2010-11,0.972,
2010-12,0.761,
2011-01,0.795,
2011-02,0.728,
2011-03,0.700,
2011-04,0.697,
2011-05,0.739,
2011-06,0.717,
2011-07,0.753,
2011-08,0.821,
2011-09,0.824,
2011-10,0.831,
2011-11,0.850,
2011-12,0.871,
2012-01,0.873,
2012-02,0.869,
2012-03,0.883,
2012-04,0.878,
2012-05,0.866,
2012-06,0.865,
2012-07,0.891,
2012-08,0.860,
2012-09,0.811,
2012-10,0.826,
2012-11,0.819,
2012-12,0.802,
2013-01,0.788,
2013-02,0.810,
2013-03,0.821,
2013-04,0.792,
2013-05,0.798,
2013-06,0.802,
2013-07,2.678,
2013-08,2.711,
2013-09,3.565,
2013-10,3.576,
2013-11,3.568,
2013-12,3.605,
2014-01,3.639,
2014-02,3.571,
2014-03,3.635,
2014-04,3.572,
2014-05,3.691,
2014-06,3.744,
2014-07,3.228,
2014-08,3.220,
2014-09,2.719,
2014-10,2.646,
2014-11,2.667,
2014-12,2.791,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
