"",BBEX3.M.THB.USD.CA.AA.A01,BBEX3.M.THB.USD.CA.AA.A01_FLAGS
1998-10,36.5974,
1998-11,35.9512,
1998-12,36.5948,
1999-01,36.7385,
1999-02,37.3044,
1999-03,37.5541,
1999-04,37.1255,
1999-05,36.9959,
1999-06,36.7674,
1999-07,37.0252,
1999-08,38.2373,
1999-09,40.9203,
1999-10,38.6278,
1999-11,38.9595,
1999-12,37.3285,
2000-01,37.4209,
2000-02,37.8812,
2000-03,37.7491,
2000-04,37.9616,
2000-05,39.0516,
2000-06,39.0656,
2000-07,41.3934,
2000-08,40.8271,
2000-09,42.1630,
2000-10,43.8955,
2000-11,43.8200,
2000-12,43.1934,
2001-01,42.4888,
2001-02,42.8069,
2001-03,44.7172,
2001-04,45.4850,
2001-05,45.2375,
2001-06,45.1462,
2001-07,45.6321,
2001-08,44.0401,
2001-09,44.3276,
2001-10,44.5692,
2001-11,43.9436,
2001-12,44.1796,
2002-01,43.8721,
2002-02,43.6337,
2002-03,43.2341,
2002-04,43.1457,
2002-05,42.3211,
2002-06,41.4789,
2002-07,41.8930,
2002-08,42.1138,
2002-09,43.2960,
2002-10,43.2248,
2002-11,43.2957,
2002-12,43.0947,
2003-01,42.6684,
2003-02,42.5624,
2003-03,42.7946,
2003-04,42.7485,
2003-05,41.6100,
2003-06,41.9328,
2003-07,41.9121,
2003-08,41.0887,
2003-09,39.8976,
2003-10,39.8186,
2003-11,39.8155,
2003-12,39.5385,
2004-01,39.1876,
2004-02,39.2312,
2004-03,39.3629,
2004-04,39.9040,
2004-05,40.4250,
2004-06,40.8363,
2004-07,41.2739,
2004-08,41.5533,
2004-09,41.3930,
2004-10,40.9464,
2004-11,39.4650,
2004-12,39.0147,
2005-01,38.4564,
2005-02,38.2277,
2005-03,39.0655,
2005-04,39.5237,
2005-05,40.4272,
2005-06,41.2225,
2005-07,41.6561,
2005-08,41.2603,
2005-09,40.9147,
2005-10,40.6907,
2005-11,41.1183,
2005-12,40.9826,
2006-01,39.0070,
2006-02,39.2225,
2006-03,38.7469,
2006-04,37.4245,
2006-05,38.0488,
2006-06,38.1407,
2006-07,37.7603,
2006-08,37.4915,
2006-09,37.4459,
2006-10,36.6905,
2006-11,35.9439,
2006-12,35.9555,
2007-01,35.6943,
2007-02,35.3290,
2007-03,34.8965,
2007-04,34.6754,
2007-05,34.5280,
2007-06,34.4227,
2007-07,33.6897,
2007-08,34.2180,
2007-09,34.1418,
2007-10,33.8846,
2007-11,33.7332,
2007-12,33.6496,
2008-01,32.9069,
2008-02,31.7851,
2008-03,31.3929,
2008-04,31.6223,
2008-05,32.3284,
2008-06,33.4752,
2008-07,33.4074,
2008-08,34.0420,
2008-09,33.9252,
2008-10,34.8414,
2008-11,35.2948,
2008-12,34.8051,
2009-01,34.7943,
2009-02,35.9086,
2009-03,35.3910,
2009-04,35.1765,
2009-05,34.2412,
2009-06,33.8893,
2009-07,33.9001,
2009-08,33.8762,
2009-09,33.4217,
2009-10,33.2874,
2009-11,33.0667,
2009-12,33.2207,
2010-01,33.0076,
2010-02,32.9398,
2010-03,32.2197,
2010-04,32.1609,
2010-05,32.3951,
2010-06,32.3016,
2010-07,32.1317,
2010-08,31.1581,
2010-09,30.2741,
2010-10,29.8284,
2010-11,30.0772,
2010-12,30.0063,
2011-01,31.0040,
2011-02,30.4721,
2011-03,30.1585,
2011-04,29.7961,
2011-05,30.1617,
2011-06,30.6061,
2011-07,29.6119,
2011-08,29.8814,
2011-09,31.0275,
2011-10,30.5276,
2011-11,31.0783,
2011-12,31.5505,
2012-01,30.9059,
2012-02,30.1073,
2012-03,30.6977,
2012-04,30.5895,
2012-05,31.7556,
2012-06,31.6871,
2012-07,31.4356,
2012-08,31.2304,
2012-09,30.6911,
2012-10,30.5548,
2012-11,30.5538,
2012-12,30.4857,
2013-01,29.6340,
2013-02,29.6636,
2013-03,29.1028,
2013-04,29.1796,
2013-05,30.0123,
2013-06,30.9867,
2013-07,31.2106,
2013-08,31.9388,
2013-09,31.2483,
2013-10,30.9492,
2013-11,31.9583,
2013-12,32.6778,
2014-01,32.8536,
2014-02,32.4831,
2014-03,32.3050,
2014-04,32.1649,
2014-05,32.6513,
2014-06,32.3114,
2014-07,31.8487,
2014-08,31.8081,
2014-09,32.2304,
2014-10,32.3688,
2014-11,32.6628,
2014-12,32.8128,
2015-01,32.5713,
"","Source: Bank of Thailand, Bangkok.",
"","Comment on 1997-07: On 2 July 1997, the currency ceased to be pegged to a currency basket and a controlled floating exchange rate was adopted.",
