"",BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
2010-02,-895.152,
2010-03,-1193.878,
2010-04,-1390.150,
2010-05,-1326.858,
2010-06,-1529.259,
2010-07,-1273.993,
2010-08,-1048.602,
2010-09,-1262.512,
2010-10,-966.882,
2010-11,-1090.445,
2010-12,-1687.651,
2011-01,-1017.714,
2011-02,-1076.805,
2011-03,-1172.922,
2011-04,-1046.751,
2011-05,-1851.795,
2011-06,-1177.633,
2011-07,-1005.582,
2011-08,-1011.188,
2011-09,-997.695,
2011-10,-1034.109,
2011-11,-1045.888,
2011-12,-1112.975,
2012-01,-1133.301,
2012-02,-1046.220,
2012-03,-1006.271,
2012-04,-1023.673,
2012-05,-1170.992,
2012-06,-1095.314,
2012-07,-1135.726,
2012-08,-1165.574,
2012-09,-1063.450,
2012-10,-1172.841,
2012-11,-1178.851,
2012-12,-1707.878,
2013-01,-1110.440,
2013-02,-1055.773,
2013-03,-1152.166,
2013-04,-1134.073,
2013-05,-1255.285,
2013-06,-1114.828,
2013-07,-1100.104,
2013-08,-1060.432,
2013-09,-1186.185,
2013-10,-1021.004,
2013-11,-820.351,
2013-12,-2354.150,
2014-01,-976.538,
2014-02,-882.931,Provisional value
2014-03,-1003.691,Provisional value
2014-04,-1618.662,Provisional value
2014-05,-1225.993,Provisional value
2014-06,-1221.680,Provisional value
2014-07,-1006.385,Provisional value
2014-08,-865.337,Provisional value
2014-09,-1447.123,
2014-10,-673.820,
2014-11,-755.657,
2014-12,-1076.413,Provisional value
