"",BBEX3.D.HRK.USD.CA.AB.000,BBEX3.D.HRK.USD.CA.AB.000_FLAGS
2001-12-18,8.185426,
2001-12-19,8.257543,
2001-12-20,8.298964,
2001-12-21,8.298964,
2001-12-22,8.304518,
2001-12-23,.,No value available
2001-12-24,.,No value available
2001-12-25,8.402840,
2001-12-26,.,No value available
2001-12-27,.,No value available
2001-12-28,8.457441,
2001-12-29,8.472067,
2001-12-30,.,No value available
2001-12-31,.,No value available
2002-01-01,.,No value available
2002-01-02,8.422777,
2002-01-03,8.283820,
2002-01-04,8.264097,
2002-01-05,8.333333,
2002-01-06,.,No value available
2002-01-07,.,No value available
2002-01-08,8.377139,
2002-01-09,8.442070,
2002-01-10,8.450073,
2002-01-11,8.453701,
2002-01-12,8.479991,
2002-01-13,.,No value available
2002-01-14,.,No value available
2002-01-15,8.482743,
2002-01-16,8.491307,
2002-01-17,8.603859,
2002-01-18,8.619318,
2002-01-19,8.619907,
2002-01-20,.,No value available
2002-01-21,.,No value available
2002-01-22,8.587743,
2002-01-23,8.605861,
2002-01-24,8.589165,
2002-01-25,8.677309,
2002-01-26,8.764963,
2002-01-27,.,No value available
2002-01-28,.,No value available
2002-01-29,8.826253,
2002-01-30,8.872749,
2002-01-31,8.869109,
2002-02-01,8.864426,
2002-02-02,8.875842,
2002-02-03,.,No value available
2002-02-04,.,No value available
2002-02-05,8.842946,
2002-02-06,8.745116,
2002-02-07,8.750288,
2002-02-08,8.746827,
2002-02-09,8.664074,
2002-02-10,.,No value available
2002-02-11,.,No value available
2002-02-12,8.621083,
2002-02-13,8.612823,
2002-02-14,8.605528,
2002-02-15,8.648990,
2002-02-16,8.627225,
2002-02-17,.,No value available
2002-02-18,.,No value available
2002-02-19,8.585511,
2002-02-20,8.618110,
2002-02-21,8.556088,
2002-02-22,8.602274,
2002-02-23,8.641692,
2002-02-24,.,No value available
2002-02-25,.,No value available
2002-02-26,8.604917,
2002-02-27,8.672648,
2002-02-28,8.722100,
2002-03-01,8.679071,
2002-03-02,8.632016,
2002-03-03,.,No value available
2002-03-04,.,No value available
2002-03-05,8.665973,
2002-03-06,8.605802,
2002-03-07,8.574380,
2002-03-08,8.505302,
2002-03-09,8.490781,
2002-03-10,.,No value available
2002-03-11,.,No value available
2002-03-12,8.505773,
2002-03-13,8.517712,
2002-03-14,8.465488,
2002-03-15,8.396601,
2002-03-16,8.368154,
2002-03-17,.,No value available
2002-03-18,.,No value available
2002-03-19,8.451664,
2002-03-20,8.430595,
2002-03-21,8.456467,
2002-03-22,8.417242,
2002-03-23,8.475347,
2002-03-24,.,No value available
2002-03-25,.,No value available
2002-03-26,8.521432,
2002-03-27,8.549697,
2002-03-28,8.537978,
2002-03-29,8.592584,
2002-03-30,8.588640,
2002-03-31,.,No value available
2002-04-01,.,No value available
2002-04-02,.,No value available
2002-04-03,8.508822,
2002-04-04,8.506885,
2002-04-05,8.476018,
2002-04-06,8.478435,
2002-04-07,.,No value available
2002-04-08,.,No value available
2002-04-09,8.483466,
2002-04-10,8.498001,
2002-04-11,8.454545,
2002-04-12,8.455506,
2002-04-13,8.449744,
2002-04-14,.,No value available
2002-04-15,.,No value available
2002-04-16,8.443107,
2002-04-17,8.447904,
2002-04-18,8.365255,
2002-04-19,8.352081,
2002-04-20,8.331463,
2002-04-21,.,No value available
2002-04-22,.,No value available
2002-04-23,8.350203,
2002-04-24,8.369026,
2002-04-25,8.346448,
2002-04-26,8.289694,
2002-04-27,8.320508,
2002-04-28,.,No value available
2002-04-29,.,No value available
2002-04-30,8.265633,
2002-05-01,.,No value available
2002-05-02,8.286728,
2002-05-03,8.239453,
2002-05-04,8.228547,
2002-05-05,.,No value available
2002-05-06,.,No value available
2002-05-07,8.140550,
2002-05-08,8.142967,
2002-05-09,8.187713,
2002-05-10,8.222958,
2002-05-11,8.165279,
2002-05-12,.,No value available
2002-05-13,.,No value available
2002-05-14,8.136741,
2002-05-15,8.194551,
2002-05-16,8.184327,
2002-05-17,8.142983,
2002-05-18,8.110917,
2002-05-19,.,No value available
2002-05-20,.,No value available
2002-05-21,8.061712,
2002-05-22,8.063464,
2002-05-23,8.000000,
2002-05-24,8.035038,
2002-05-25,8.100741,
2002-05-26,.,No value available
2002-05-27,.,No value available
2002-05-28,8.078636,
2002-05-29,8.035001,
2002-05-30,.,No value available
2002-05-31,8.003437,
2002-06-01,7.935594,
2002-06-02,.,No value available
2002-06-03,.,No value available
2002-06-04,7.972538,
2002-06-05,7.874801,
2002-06-06,7.918489,
2002-06-07,7.882115,
2002-06-08,7.837638,
2002-06-09,.,No value available
2002-06-10,.,No value available
2002-06-11,7.826547,
2002-06-12,7.822410,
2002-06-13,7.804261,
2002-06-14,7.862003,
2002-06-15,7.798649,
2002-06-16,.,No value available
2002-06-17,.,No value available
2002-06-18,7.839185,
2002-06-19,7.800782,
2002-06-20,7.719244,
2002-06-21,7.708377,
2002-06-22,7.656396,
2002-06-23,.,No value available
2002-06-24,.,No value available
2002-06-25,7.561475,
2002-06-26,.,No value available
2002-06-27,7.466155,
2002-06-28,7.506855,
2002-06-29,7.441416,
2002-06-30,.,No value available
2002-07-01,.,No value available
2002-07-02,7.445586,
2002-07-03,7.522187,
2002-07-04,7.529099,
2002-07-05,7.565351,
2002-07-06,7.586349,
2002-07-07,.,No value available
2002-07-08,.,No value available
2002-07-09,7.498223,
2002-07-10,7.467663,
2002-07-11,7.450131,
2002-07-12,7.503805,
2002-07-13,7.476730,
2002-07-14,.,No value available
2002-07-15,.,No value available
2002-07-16,7.424699,
2002-07-17,7.337467,
2002-07-18,7.346818,
2002-07-19,7.372401,
2002-07-20,7.309019,
2002-07-21,.,No value available
2002-07-22,.,No value available
2002-07-23,7.336232,
2002-07-24,7.477342,
2002-07-25,7.519216,
2002-07-26,7.454528,
2002-07-27,7.466760,
2002-07-28,.,No value available
2002-07-29,.,No value available
2002-07-30,7.544445,
2002-07-31,7.612077,
2002-08-01,7.633299,
2002-08-02,7.676425,
2002-08-03,7.583757,
2002-08-04,.,No value available
2002-08-05,.,No value available
2002-08-06,.,No value available
2002-08-07,7.701043,
2002-08-08,7.702242,
2002-08-09,7.679695,
2002-08-10,7.643974,
2002-08-11,.,No value available
2002-08-12,.,No value available
2002-08-13,7.611772,
2002-08-14,7.582227,
2002-08-15,7.507839,
2002-08-16,.,No value available
2002-08-17,7.563685,
2002-08-18,.,No value available
2002-08-19,.,No value available
2002-08-20,7.541484,
2002-08-21,7.572319,
2002-08-22,7.552248,
2002-08-23,7.591853,
2002-08-24,7.669561,
2002-08-25,.,No value available
2002-08-26,.,No value available
2002-08-27,7.638760,
2002-08-28,7.616118,
2002-08-29,7.584413,
2002-08-30,7.556571,
2002-08-31,7.583756,
2002-09-01,.,No value available
2002-09-02,.,No value available
2002-09-03,7.595195,
2002-09-04,7.506810,
2002-09-05,7.478611,
2002-09-06,7.452357,
2002-09-07,7.495964,
2002-09-08,.,No value available
2002-09-09,.,No value available
2002-09-10,7.566025,
2002-09-11,7.593408,
2002-09-12,7.604904,
2002-09-13,7.593219,
2002-09-14,7.545834,
2002-09-15,.,No value available
2002-09-16,.,No value available
2002-09-17,7.642356,
2002-09-18,7.682762,
2002-09-19,7.609277,
2002-09-20,7.547949,
2002-09-21,7.538720,
2002-09-22,.,No value available
2002-09-23,.,No value available
2002-09-24,7.518037,
2002-09-25,7.573447,
2002-09-26,7.547949,
2002-09-27,7.575092,
2002-09-28,7.601370,
2002-09-29,.,No value available
2002-09-30,.,No value available
2002-10-01,7.541684,
2002-10-02,7.506577,
2002-10-03,7.547054,
2002-10-04,7.517465,
2002-10-05,7.544874,
2002-10-06,.,No value available
2002-10-07,.,No value available
2002-10-08,7.597263,
2002-10-09,.,No value available
2002-10-10,7.600490,
2002-10-11,7.535353,
2002-10-12,7.573455,
2002-10-13,.,No value available
2002-10-14,.,No value available
2002-10-15,7.563493,
2002-10-16,7.611682,
2002-10-17,7.632732,
2002-10-18,7.675371,
2002-10-19,7.709319,
2002-10-20,.,No value available
2002-10-21,.,No value available
2002-10-22,7.700984,
2002-10-23,7.704144,
2002-10-24,7.714724,
2002-10-25,7.752774,
2002-10-26,7.726714,
2002-10-27,.,No value available
2002-10-28,.,No value available
2002-10-29,7.748922,
2002-10-30,7.693637,
2002-10-31,7.706151,
2002-11-01,7.665991,
2002-11-02,.,No value available
2002-11-03,.,No value available
2002-11-04,.,No value available
2002-11-05,7.612744,
2002-11-06,7.545899,
2002-11-07,7.569751,
2002-11-08,7.512708,
2002-11-09,7.459917,
2002-11-10,.,No value available
2002-11-11,.,No value available
2002-11-12,7.418989,
2002-11-13,7.446861,
2002-11-14,7.484598,
2002-11-15,7.479631,
2002-11-16,7.494769,
2002-11-17,.,No value available
2002-11-18,.,No value available
2002-11-19,7.451689,
2002-11-20,7.431804,
2002-11-21,7.508745,
2002-11-22,7.496256,
2002-11-23,7.489525,
2002-11-24,.,No value available
2002-11-25,.,No value available
2002-11-26,7.568044,
2002-11-27,7.577210,
2002-11-28,7.566519,
2002-11-29,7.571558,
2002-11-30,7.566220,
2002-12-01,.,No value available
2002-12-02,.,No value available
2002-12-03,7.560779,
2002-12-04,7.513291,
2002-12-05,7.486256,
2002-12-06,7.494496,
2002-12-07,7.426726,
2002-12-08,.,No value available
2002-12-09,.,No value available
2002-12-10,7.397504,
2002-12-11,7.373408,
2002-12-12,7.408509,
2002-12-13,7.358305,
2002-12-14,7.296452,
2002-12-15,.,No value available
2002-12-16,.,No value available
2002-12-17,7.310743,
2002-12-18,7.234228,
2002-12-19,7.272993,
2002-12-20,7.277155,
2002-12-21,7.302439,
2002-12-22,.,No value available
2002-12-23,.,No value available
2002-12-24,7.264874,
2002-12-25,7.289438,
2002-12-26,.,No value available
2002-12-27,.,No value available
2002-12-28,7.228973,
2002-12-29,.,No value available
2002-12-30,.,No value available
2002-12-31,7.218384,
2003-01-01,.,No value available
2003-01-02,7.169542,
2003-01-03,7.184605,
2003-01-04,7.265286,
2003-01-05,.,No value available
2003-01-06,.,No value available
2003-01-07,.,No value available
2003-01-08,7.248535,
2003-01-09,7.252018,
2003-01-10,7.182294,
2003-01-11,7.185657,
2003-01-12,.,No value available
2003-01-13,.,No value available
2003-01-14,7.173377,
2003-01-15,7.136111,
2003-01-16,7.170008,
2003-01-17,7.136776,
2003-01-18,7.079853,
2003-01-19,.,No value available
2003-01-20,.,No value available
2003-01-21,7.081182,
2003-01-22,7.090499,
2003-01-23,7.054756,
2003-01-24,7.027254,
2003-01-25,7.022185,
2003-01-26,.,No value available
2003-01-27,.,No value available
2003-01-28,6.966896,
2003-01-29,7.029450,
2003-01-30,6.994783,
2003-01-31,7.069185,
2003-02-01,7.027097,
2003-02-02,.,No value available
2003-02-03,.,No value available
2003-02-04,7.092630,
2003-02-05,7.025548,
2003-02-06,6.974414,
2003-02-07,7.056974,
2003-02-08,7.083837,
2003-02-09,.,No value available
2003-02-10,.,No value available
2003-02-11,7.053060,
2003-02-12,7.136177,
2003-02-13,7.081126,
2003-02-14,7.071362,
2003-02-15,7.064815,
2003-02-16,.,No value available
2003-02-17,.,No value available
2003-02-18,7.126179,
2003-02-19,7.113556,
2003-02-20,7.123518,
2003-02-21,7.097074,
2003-02-22,7.053176,
2003-02-23,.,No value available
2003-02-24,.,No value available
2003-02-25,7.114955,
2003-02-26,7.082022,
2003-02-27,7.126255,
2003-02-28,7.130032,
2003-03-01,7.127620,
2003-03-02,.,No value available
2003-03-03,.,No value available
2003-03-04,7.123009,
2003-03-05,7.063027,
2003-03-06,7.023087,
2003-03-07,7.042329,
2003-03-08,6.992563,
2003-03-09,.,No value available
2003-03-10,.,No value available
2003-03-11,6.985594,
2003-03-12,6.975482,
2003-03-13,6.986761,
2003-03-14,7.059039,
2003-03-15,7.129630,
2003-03-16,.,No value available
2003-03-17,.,No value available
2003-03-18,7.123820,
2003-03-19,7.233899,
2003-03-20,7.246541,
2003-03-21,7.260661,
2003-03-22,7.296073,
2003-03-23,.,No value available
2003-03-24,.,No value available
2003-03-25,7.256338,
2003-03-26,7.240703,
2003-03-27,7.282292,
2003-03-28,7.239605,
2003-03-29,7.238672,
2003-03-30,.,No value available
2003-03-31,.,No value available
2003-04-01,7.172866,
2003-04-02,7.087771,
2003-04-03,7.087450,
2003-04-04,7.151532,
2003-04-05,7.102882,
2003-04-06,.,No value available
2003-04-07,.,No value available
2003-04-08,7.180021,
2003-04-09,7.072737,
2003-04-10,7.049851,
2003-04-11,7.030236,
2003-04-12,7.053903,
2003-04-13,.,No value available
2003-04-14,.,No value available
2003-04-15,7.064408,
2003-04-16,7.059862,
2003-04-17,7.016166,
2003-04-18,6.955765,
2003-04-19,6.979416,
2003-04-20,.,No value available
2003-04-21,.,No value available
2003-04-22,.,No value available
2003-04-23,6.910828,
2003-04-24,6.932482,
2003-04-25,6.898493,
2003-04-26,6.926084,
2003-04-27,.,No value available
2003-04-28,.,No value available
2003-04-29,6.926564,
2003-04-30,6.974606,
2003-05-01,.,No value available
2003-05-02,6.871740,
2003-05-03,6.795339,
2003-05-04,.,No value available
2003-05-05,.,No value available
2003-05-06,6.797362,
2003-05-07,6.731974,
2003-05-08,6.690054,
2003-05-09,6.690054,
2003-05-10,6.612721,
2003-05-11,.,No value available
2003-05-12,.,No value available
2003-05-13,6.549162,
2003-05-14,6.588440,
2003-05-15,6.573341,
2003-05-16,6.588235,
2003-05-17,6.614752,
2003-05-18,.,No value available
2003-05-19,.,No value available
2003-05-20,6.518369,
2003-05-21,6.519869,
2003-05-22,6.457123,
2003-05-23,6.486162,
2003-05-24,6.418518,
2003-05-25,.,No value available
2003-05-26,.,No value available
2003-05-27,6.422950,
2003-05-28,6.382978,
2003-05-29,6.460650,
2003-05-30,6.510417,
2003-05-31,6.457085,
2003-06-01,.,No value available
2003-06-02,.,No value available
2003-06-03,6.536188,
2003-06-04,6.481008,
2003-06-05,6.491842,
2003-06-06,6.507406,
2003-06-07,6.434856,
2003-06-08,.,No value available
2003-06-09,.,No value available
2003-06-10,6.486994,
2003-06-11,6.483995,
2003-06-12,6.483441,
2003-06-13,6.462324,
2003-06-14,6.439844,
2003-06-15,.,No value available
2003-06-16,.,No value available
2003-06-17,6.381369,
2003-06-18,6.415350,
2003-06-19,6.472997,
2003-06-20,.,No value available
2003-06-21,6.489607,
2003-06-22,.,No value available
2003-06-23,.,No value available
2003-06-24,6.570191,
2003-06-25,6.544276,
2003-06-26,.,No value available
2003-06-27,6.615532,
2003-06-28,6.672807,
2003-06-29,.,No value available
2003-06-30,.,No value available
2003-07-01,6.675147,
2003-07-02,6.581774,
2003-07-03,6.560361,
2003-07-04,6.589283,
2003-07-05,6.581241,
2003-07-06,.,No value available
2003-07-07,.,No value available
