"",BBFN1.M.DE.N.1.L.BE.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BE.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2000-05,6.586,
2000-06,7.595,
2000-07,7.428,
2000-08,7.409,
2000-09,7.496,
2000-10,8.313,
2000-11,7.070,
2000-12,8.336,
2001-01,9.388,
2001-02,10.712,
2001-03,10.459,
2001-04,11.675,
2001-05,11.053,
2001-06,10.651,
2001-07,10.908,
2001-08,11.348,
2001-09,11.716,
2001-10,11.545,
2001-11,11.651,
2001-12,11.248,
2002-01,11.833,
2002-02,12.447,
2002-03,12.030,
2002-04,12.131,
2002-05,12.388,
2002-06,13.403,
2002-07,13.511,
2002-08,13.725,
2002-09,14.789,
2002-10,14.640,
2002-11,13.667,
2002-12,12.816,
2003-01,12.780,
2003-02,13.146,
2003-03,11.703,
2003-04,11.080,
2003-05,12.073,
2003-06,12.555,
2003-07,13.043,
2003-08,12.668,
2003-09,10.372,
2003-10,10.397,
2003-11,10.138,
2003-12,13.151,
2004-01,13.040,
2004-02,12.688,
2004-03,13.402,
2004-04,12.662,
2004-05,9.995,
2004-06,10.772,
2004-07,11.476,
2004-08,11.822,
2004-09,11.405,
2004-10,10.832,
2004-11,10.266,
2004-12,11.673,
2005-01,11.778,
2005-02,11.345,
2005-03,11.186,
2005-04,10.377,
2005-05,9.935,
2005-06,11.202,
2005-07,11.403,
2005-08,12.160,
2005-09,11.751,
2005-10,12.757,
2005-11,13.958,
2005-12,14.655,
2006-01,15.747,
2006-02,14.643,
2006-03,14.355,
2006-04,9.041,
2006-05,13.289,
2006-06,13.368,
2006-07,14.288,
2006-08,14.072,
2006-09,14.270,
2006-10,12.711,
2006-11,12.649,
2006-12,15.633,
2007-01,15.481,
2007-02,15.195,
2007-03,15.336,
2007-04,16.793,
2007-05,15.805,
2007-06,17.658,
2007-07,18.066,
2007-08,18.228,
2007-09,22.579,
2007-10,18.115,
2007-11,19.905,
2007-12,10.720,
2008-01,16.151,
2008-02,17.467,
2008-03,14.893,
2008-04,14.715,
2008-05,15.496,
2008-06,15.075,
2008-07,14.925,
2008-08,15.516,
2008-09,14.965,
2008-10,15.160,
2008-11,16.229,
2008-12,19.019,
2009-01,18.467,
2009-02,17.973,
2009-03,19.180,
2009-04,20.454,
2009-05,19.075,
2009-06,18.963,
2009-07,18.032,
2009-08,18.200,
2009-09,18.855,
2009-10,17.685,
2009-11,18.432,
2009-12,22.960,
2010-01,20.987,
2010-02,20.354,
2010-03,19.976,
2010-04,20.028,
2010-05,21.041,
2010-06,25.405,
2010-07,25.268,
2010-08,26.038,
2010-09,26.347,
2010-10,25.270,
2010-11,27.224,
2010-12,24.660,
2011-01,20.479,
2011-02,23.148,
2011-03,17.668,
2011-04,21.077,
2011-05,20.086,
2011-06,17.508,
2011-07,22.727,
2011-08,23.649,
2011-09,19.761,
2011-10,18.303,
2011-11,22.770,
2011-12,21.456,
2012-01,23.231,
2012-02,27.235,
2012-03,29.129,
2012-04,30.139,
2012-05,34.625,
2012-06,25.261,
2012-07,27.756,
2012-08,21.941,
2012-09,25.396,
2012-10,26.670,
2012-11,26.254,
2012-12,23.238,
2013-01,26.518,
2013-02,30.238,
2013-03,33.023,
2013-04,32.571,
2013-05,33.335,
2013-06,30.166,
2013-07,33.345,
2013-08,27.250,
2013-09,25.601,
2013-10,27.286,
2013-11,27.010,
2013-12,19.953,
2014-01,23.828,
2014-02,27.828,
2014-03,25.798,
2014-04,24.913,
2014-05,26.303,
2014-06,30.981,
2014-07,36.092,
2014-08,32.862,
2014-09,30.195,
2014-10,21.805,
2014-11,23.308,
2014-12,17.410,
