"",BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
2007-08,7551.056,
2007-09,8771.796,
2007-10,14661.783,
2007-11,-978.531,
2007-12,2759.857,
2008-01,9641.030,
2008-02,12620.438,
2008-03,8573.335,
2008-04,13769.389,
2008-05,2481.805,
2008-06,10672.411,
2008-07,3991.692,
2008-08,-3713.123,
2008-09,13017.014,
2008-10,7880.902,
2008-11,12083.327,
2008-12,-23186.560,
2009-01,4901.725,
2009-02,1733.620,
2009-03,11324.759,
2009-04,-257.841,
2009-05,6553.197,
2009-06,4271.053,
2009-07,2564.621,
2009-08,34.184,
2009-09,9384.733,
2009-10,10035.972,
2009-11,3459.200,
2009-12,6785.846,
2010-01,6506.458,
2010-02,8923.588,
2010-03,17196.578,
2010-04,-1299.063,
2010-05,11429.391,
2010-06,14385.452,
2010-07,2143.772,
2010-08,2144.469,
2010-09,8478.026,
2010-10,6650.378,
2010-11,10903.681,
2010-12,10437.573,
2011-01,9216.502,
2011-02,7737.852,
2011-03,12710.659,
2011-04,7222.057,
2011-05,4773.298,
2011-06,6321.432,
2011-07,2327.950,
2011-08,3495.731,
2011-09,12932.472,
2011-10,-1787.690,
2011-11,1480.393,
2011-12,10627.692,
2012-01,3619.804,
2012-02,12569.146,
2012-03,13690.191,
2012-04,2703.165,
2012-05,5042.625,
2012-06,7988.832,
2012-07,6728.701,
2012-08,4371.189,
2012-09,6648.128,
2012-10,3061.969,
2012-11,13814.968,
2012-12,6056.209,
2013-01,1245.594,
2013-02,2247.507,
2013-03,14545.674,
2013-04,17679.932,
2013-05,769.596,
2013-06,11516.632,
2013-07,-7258.003,
2013-08,8088.650,
2013-09,8830.077,
2013-10,-8150.149,
2013-11,5388.634,
2013-12,9482.856,
2014-01,-390.427,
2014-02,14253.258,Provisional value
2014-03,12841.367,Provisional value
2014-04,12741.170,Provisional value
2014-05,4527.964,Provisional value
2014-06,4592.560,Provisional value
2014-07,4241.890,Provisional value
2014-08,4778.887,Provisional value
2014-09,10191.269,
2014-10,-2266.484,
2014-11,5328.641,
2014-12,10683.631,Provisional value
