"",BBFN1.M.DE.N.1.A.CA.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CA.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1998-03,0.024,
1998-04,0.030,
1998-05,0.026,
1998-06,0.032,
1998-07,0.023,
1998-08,0.024,
1998-09,0.049,
1998-10,0.024,
1998-11,0.029,
1998-12,0.019,
1999-01,0.027,
1999-02,0.031,
1999-03,0.039,
1999-04,0.034,
1999-05,0.026,
1999-06,0.027,
1999-07,0.109,
1999-08,0.117,
1999-09,0.032,
1999-10,0.031,
1999-11,0.031,
1999-12,0.029,
2000-01,0.033,
2000-02,0.039,
2000-03,0.045,
2000-04,0.050,
2000-05,0.052,
2000-06,0.059,
2000-07,0.046,
2000-08,0.052,
2000-09,0.045,
2000-10,0.039,
2000-11,0.039,
2000-12,0.089,
2001-01,0.054,
2001-02,0.059,
2001-03,0.066,
2001-04,0.059,
2001-05,0.185,
2001-06,0.151,
2001-07,0.217,
2001-08,0.192,
2001-09,0.155,
2001-10,0.219,
2001-11,0.285,
2001-12,0.279,
2002-01,0.350,
2002-02,0.373,
2002-03,0.426,
2002-04,0.344,
2002-05,0.346,
2002-06,0.255,
2002-07,0.351,
2002-08,0.359,
2002-09,0.240,
2002-10,0.448,
2002-11,0.527,
2002-12,0.313,
2003-01,0.447,
2003-02,0.393,
2003-03,0.458,
2003-04,0.556,
2003-05,0.464,
2003-06,0.460,
2003-07,0.422,
2003-08,0.419,
2003-09,0.423,
2003-10,0.553,
2003-11,0.548,
2003-12,0.547,
2004-01,0.519,
2004-02,0.502,
2004-03,0.578,
2004-04,0.711,
2004-05,0.505,
2004-06,0.557,
2004-07,0.525,
2004-08,0.527,
2004-09,0.531,
2004-10,0.451,
2004-11,0.512,
2004-12,0.597,
2005-01,0.582,
2005-02,0.282,
2005-03,0.389,
2005-04,0.599,
2005-05,0.753,
2005-06,0.614,
2005-07,0.568,
2005-08,0.494,
2005-09,0.348,
2005-10,0.695,
2005-11,0.527,
2005-12,0.568,
2006-01,0.541,
2006-02,0.468,
2006-03,0.525,
2006-04,0.649,
2006-05,0.707,
2006-06,0.674,
2006-07,0.589,
2006-08,0.620,
2006-09,0.351,
2006-10,0.855,
2006-11,0.691,
2006-12,0.582,
2007-01,0.562,
2007-02,0.495,
2007-03,0.520,
2007-04,0.587,
2007-05,0.686,
2007-06,0.543,
2007-07,0.682,
2007-08,0.625,
2007-09,0.327,
2007-10,0.417,
2007-11,0.459,
2007-12,0.436,
2008-01,0.712,
2008-02,0.806,
2008-03,0.643,
2008-04,0.971,
2008-05,1.010,
2008-06,0.571,
2008-07,0.533,
2008-08,0.500,
2008-09,0.362,
2008-10,0.336,
2008-11,0.375,
2008-12,0.253,
2009-01,0.599,
2009-02,0.790,
2009-03,0.652,
2009-04,0.615,
2009-05,0.616,
2009-06,0.588,
2009-07,0.475,
2009-08,0.644,
2009-09,0.200,
2009-10,0.277,
2009-11,0.228,
2009-12,0.091,
2010-01,0.564,
2010-02,0.366,
2010-03,0.469,
2010-04,0.736,
2010-05,0.592,
2010-06,0.595,
2010-07,0.644,
2010-08,0.654,
2010-09,0.161,
2010-10,0.420,
2010-11,0.385,
2010-12,0.375,
2011-01,0.608,
2011-02,0.573,
2011-03,0.544,
2011-04,0.658,
2011-05,0.526,
2011-06,0.471,
2011-07,0.412,
2011-08,0.354,
2011-09,0.253,
2011-10,0.286,
2011-11,0.318,
2011-12,0.342,
2012-01,0.548,
2012-02,0.434,
2012-03,0.353,
2012-04,0.642,
2012-05,0.420,
2012-06,0.320,
2012-07,0.421,
2012-08,0.299,
2012-09,0.135,
2012-10,0.276,
2012-11,0.274,
2012-12,0.264,
2013-01,0.443,
2013-02,0.313,
2013-03,0.391,
2013-04,0.584,
2013-05,0.536,
2013-06,0.456,
2013-07,0.623,
2013-08,0.570,
2013-09,0.493,
2013-10,0.473,
2013-11,0.427,
2013-12,0.411,
2014-01,0.584,
2014-02,0.546,
2014-03,0.590,
2014-04,0.576,
2014-05,0.598,
2014-06,0.580,
2014-07,0.462,
2014-08,0.359,
2014-09,0.380,
2014-10,0.674,
2014-11,0.536,
2014-12,0.327,
