"",BBFN1.M.DE.N.1.A.KR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1987-05,0.026,
1987-06,0.024,
1987-07,0.024,
1987-08,0.024,
1987-09,0.024,
1987-10,0.036,
1987-11,0.034,
1987-12,0.031,
1988-01,0.031,
1988-02,0.027,
1988-03,0.020,
1988-04,0.023,
1988-05,0.024,
1988-06,0.024,
1988-07,0.029,
1988-08,0.029,
1988-09,0.034,
1988-10,0.030,
1988-11,0.031,
1988-12,0.031,
1989-01,0.032,
1989-02,0.035,
1989-03,0.036,
1989-04,0.028,
1989-05,0.028,
1989-06,0.029,
1989-07,0.028,
1989-08,0.027,
1989-09,0.029,
1989-10,0.029,
1989-11,0.029,
1989-12,0.022,
1990-01,0.022,
1990-02,0.022,
1990-03,0.021,
1990-04,0.022,
1990-05,0.024,
1990-06,0.027,
1990-07,0.026,
1990-08,0.024,
1990-09,0.024,
1990-10,0.022,
1990-11,0.024,
1990-12,0.022,
1991-01,0.023,
1991-02,0.022,
1991-03,0.021,
1991-04,0.024,
1991-05,0.023,
1991-06,0.024,
1991-07,0.024,
1991-08,0.030,
1991-09,0.031,
1991-10,0.031,
1991-11,0.031,
1991-12,0.030,
1992-01,0.029,
1992-02,0.024,
1992-03,0.025,
1992-04,0.025,
1992-05,0.044,
1992-06,0.044,
1992-07,0.027,
1992-08,0.033,
1992-09,0.033,
1992-10,0.059,
1992-11,0.211,
1992-12,0.295,
1993-01,0.294,
1993-02,0.446,
1993-03,0.493,
1993-04,0.504,
1993-05,0.524,
1993-06,0.479,
1993-07,0.448,
1993-08,0.413,
1993-09,0.429,
1993-10,0.492,
1993-11,0.539,
1993-12,0.578,
1994-01,0.617,
1994-02,0.618,
1994-03,0.529,
1994-04,0.494,
1994-05,0.462,
1994-06,0.467,
1994-07,0.387,
1994-08,0.381,
1994-09,0.411,
1994-10,0.436,
1994-11,0.371,
1994-12,0.350,
1995-01,0.598,
1995-02,0.763,
1995-03,0.933,
1995-04,1.219,
1995-05,1.183,
1995-06,1.138,
1995-07,1.302,
1995-08,1.355,
1995-09,1.380,
1995-10,1.539,
1995-11,1.501,
1995-12,1.256,
1996-01,1.130,
1996-02,1.056,
1996-03,1.027,
1996-04,0.958,
1996-05,0.907,
1996-06,0.895,
1996-07,1.205,
1996-08,1.376,
1996-09,1.467,
1996-10,1.364,
1996-11,1.366,
1996-12,0.696,
1997-01,1.185,
1997-02,1.369,
1997-03,1.560,
1997-04,1.681,
1997-05,1.535,
1997-06,1.504,
1997-07,1.598,
1997-08,1.488,
1997-09,1.507,
1997-10,1.255,
1997-11,1.032,
1997-12,0.545,
1998-01,0.269,
1998-02,0.143,
1998-03,0.146,
1998-04,0.052,
1998-05,0.053,
1998-06,0.052,
1998-07,0.193,
1998-08,0.051,
1998-09,0.067,
1998-10,0.069,
1998-11,0.065,
1998-12,0.059,
1999-01,0.068,
1999-02,0.107,
1999-03,0.050,
1999-04,0.098,
1999-05,0.090,
1999-06,0.044,
1999-07,0.090,
1999-08,0.117,
1999-09,0.107,
1999-10,0.142,
1999-11,0.218,
1999-12,0.075,
2000-01,0.143,
2000-02,0.074,
2000-03,0.066,
2000-04,0.054,
2000-05,0.062,
2000-06,0.056,
2000-07,0.059,
2000-08,0.209,
2000-09,0.213,
2000-10,0.243,
2000-11,0.230,
2000-12,0.337,
2001-01,0.386,
2001-02,0.614,
2001-03,0.653,
2001-04,0.622,
2001-05,0.639,
2001-06,0.652,
2001-07,0.650,
2001-08,0.518,
2001-09,0.539,
2001-10,0.555,
2001-11,0.523,
2001-12,0.234,
2002-01,0.509,
2002-02,0.656,
2002-03,0.687,
2002-04,0.691,
2002-05,0.676,
2002-06,0.669,
2002-07,0.735,
2002-08,0.725,
2002-09,0.979,
2002-10,0.797,
2002-11,0.795,
2002-12,0.252,
2003-01,0.239,
2003-02,0.249,
2003-03,0.275,
2003-04,0.275,
2003-05,0.291,
2003-06,0.290,
2003-07,0.271,
2003-08,0.262,
2003-09,0.267,
2003-10,0.270,
2003-11,0.292,
2003-12,0.285,
2004-01,0.264,
2004-02,0.264,
2004-03,0.316,
2004-04,0.314,
2004-05,0.300,
2004-06,0.335,
2004-07,0.342,
2004-08,0.331,
2004-09,0.364,
2004-10,0.358,
2004-11,0.313,
2004-12,0.315,
2005-01,0.310,
2005-02,0.324,
2005-03,0.352,
2005-04,0.356,
2005-05,0.356,
2005-06,0.416,
2005-07,0.401,
2005-08,0.417,
2005-09,0.382,
2005-10,0.376,
2005-11,0.457,
2005-12,0.462,
2006-01,0.452,
2006-02,0.485,
2006-03,0.507,
2006-04,0.548,
2006-05,0.540,
2006-06,0.525,
2006-07,0.544,
2006-08,0.517,
2006-09,0.513,
2006-10,0.485,
2006-11,0.509,
2006-12,0.504,
2007-01,0.431,
2007-02,0.447,
2007-03,0.493,
2007-04,0.500,
2007-05,0.527,
2007-06,0.465,
2007-07,0.444,
2007-08,0.430,
2007-09,0.399,
2007-10,0.426,
2007-11,0.436,
2007-12,0.393,
2008-01,0.385,
2008-02,0.432,
2008-03,0.457,
2008-04,0.446,
2008-05,0.524,
2008-06,0.535,
2008-07,0.608,
2008-08,0.584,
2008-09,0.487,
2008-10,0.535,
2008-11,0.570,
2008-12,0.501,
2009-01,0.447,
2009-02,0.443,
2009-03,0.433,
2009-04,0.418,
2009-05,0.433,
2009-06,0.457,
2009-07,0.488,
2009-08,0.479,
2009-09,0.524,
2009-10,0.521,
2009-11,0.434,
2009-12,0.490,
2010-01,0.483,
2010-02,0.451,
2010-03,0.458,
2010-04,0.434,
2010-05,0.456,
2010-06,0.465,
2010-07,0.493,
2010-08,0.516,
2010-09,0.426,
2010-10,0.437,
2010-11,0.442,
2010-12,0.540,
2011-01,0.515,
2011-02,0.518,
2011-03,0.495,
2011-04,0.484,
2011-05,0.504,
2011-06,0.469,
2011-07,0.479,
2011-08,0.473,
2011-09,0.411,
2011-10,0.425,
2011-11,0.467,
2011-12,0.470,
2012-01,0.480,
2012-02,0.493,
2012-03,0.517,
2012-04,0.527,
2012-05,0.530,
2012-06,0.531,
2012-07,0.525,
2012-08,0.552,
2012-09,0.532,
2012-10,0.492,
2012-11,0.486,
2012-12,0.488,
2013-01,0.553,
2013-02,0.471,
2013-03,0.320,
2013-04,0.287,
2013-05,0.319,
2013-06,0.357,
2013-07,0.270,
2013-08,0.311,
2013-09,0.363,
2013-10,0.350,
2013-11,0.333,
2013-12,0.377,
2014-01,0.373,
2014-02,0.398,
2014-03,0.414,
2014-04,0.453,
2014-05,0.434,
2014-06,0.362,
2014-07,0.316,
2014-08,0.316,
2014-09,0.331,
2014-10,0.352,
2014-11,0.327,
2014-12,0.437,
