"",BBEX3.D.ARS.EUR.CA.AA.000,BBEX3.D.ARS.EUR.CA.AA.000_FLAGS
2003-06-13,3.2278,
2003-06-14,.,No value available
2003-06-15,.,No value available
2003-06-16,.,No value available
2003-06-17,3.1898,
2003-06-18,3.1467,
2003-06-19,3.1663,
2003-06-20,3.1340,
2003-06-21,.,No value available
2003-06-22,.,No value available
2003-06-23,3.1118,
2003-06-24,3.0676,
2003-06-25,3.0951,
2003-06-26,3.0768,
2003-06-27,.,No value available
2003-06-28,.,No value available
2003-06-29,.,No value available
2003-06-30,3.0993,
2003-07-01,3.1255,
2003-07-02,3.1093,
2003-07-03,3.0936,
2003-07-04,3.0955,
2003-07-05,.,No value available
2003-07-06,.,No value available
2003-07-07,3.0418,
2003-07-08,3.0217,
2003-07-09,.,No value available
2003-07-10,3.0308,
2003-07-11,3.0071,
2003-07-12,.,No value available
2003-07-13,.,No value available
2003-07-14,3.0123,
2003-07-15,2.9904,
2003-07-16,3.0040,
2003-07-17,3.0187,
2003-07-18,3.0488,
2003-07-19,.,No value available
2003-07-20,.,No value available
2003-07-21,3.0578,
2003-07-22,3.0324,
2003-07-23,3.0740,
2003-07-24,3.1032,
2003-07-25,3.1315,
2003-07-26,.,No value available
2003-07-27,.,No value available
2003-07-28,3.1450,
2003-07-29,3.1480,
2003-07-30,3.1876,
2003-07-31,3.1666,
2003-08-01,3.1930,
2003-08-02,.,No value available
2003-08-03,.,No value available
2003-08-04,3.2436,
2003-08-05,3.2166,
2003-08-06,3.2030,
2003-08-07,3.2197,
2003-08-08,3.1985,
2003-08-09,.,No value available
2003-08-10,.,No value available
2003-08-11,3.1984,
2003-08-12,3.1660,
2003-08-13,3.1512,
2003-08-14,3.1421,
2003-08-15,3.1449,
2003-08-16,.,No value available
2003-08-17,.,No value available
2003-08-18,.,No value available
2003-08-19,3.1094,
2003-08-20,3.1263,
2003-08-21,3.1105,
2003-08-22,3.1005,
2003-08-23,.,No value available
2003-08-24,.,No value available
2003-08-25,3.0736,
2003-08-26,3.0953,
2003-08-27,3.1105,
2003-08-28,3.0991,
2003-08-29,3.1325,
2003-08-30,.,No value available
2003-08-31,.,No value available
2003-09-01,3.1366,
2003-09-02,3.1193,
2003-09-03,3.1283,
2003-09-04,3.1170,
2003-09-05,3.1405,
2003-09-06,.,No value available
2003-09-07,.,No value available
2003-09-08,3.1510,
2003-09-09,3.1907,
2003-09-10,3.1744,
2003-09-11,3.1312,
2003-09-12,3.1676,
2003-09-13,.,No value available
2003-09-14,.,No value available
2003-09-15,3.1507,
2003-09-16,3.1212,
2003-09-17,3.1680,
2003-09-18,3.1598,
2003-09-19,3.1944,
2003-09-20,.,No value available
2003-09-21,.,No value available
2003-09-22,3.2187,
2003-09-23,3.2124,
2003-09-24,3.2024,
2003-09-25,3.2115,
2003-09-26,3.2179,
2003-09-27,.,No value available
2003-09-28,.,No value available
2003-09-29,3.2568,
2003-09-30,3.2783,
2003-10-01,3.2765,
2003-10-02,3.2776,
2003-10-03,3.2225,
2003-10-04,.,No value available
2003-10-05,.,No value available
2003-10-06,3.2377,
2003-10-07,3.2671,
2003-10-08,3.2541,
2003-10-09,3.2166,
2003-10-10,3.2308,
2003-10-11,.,No value available
2003-10-12,.,No value available
2003-10-13,.,No value available
2003-10-14,3.2124,
2003-10-15,3.1850,
2003-10-16,3.1889,
2003-10-17,3.1919,
2003-10-18,.,No value available
2003-10-19,.,No value available
2003-10-20,3.2118,
2003-10-21,3.2051,
2003-10-22,3.2494,
2003-10-23,3.2315,
2003-10-24,3.2392,
2003-10-25,.,No value available
2003-10-26,.,No value available
2003-10-27,3.2222,
2003-10-28,3.2087,
2003-10-29,3.2156,
2003-10-30,3.2223,
2003-10-31,3.2052,
2003-11-01,.,No value available
2003-11-02,.,No value available
2003-11-03,3.1545,
2003-11-04,3.1694,
2003-11-05,3.1572,
2003-11-06,.,No value available
2003-11-07,3.1643,
2003-11-08,.,No value available
2003-11-09,.,No value available
2003-11-10,3.1664,
2003-11-11,3.1776,
2003-11-12,3.2140,
2003-11-13,3.2353,
2003-11-14,3.2556,
2003-11-15,.,No value available
2003-11-16,.,No value available
2003-11-17,3.2442,
2003-11-18,3.2881,
2003-11-19,3.3017,
2003-11-20,3.3054,
2003-11-21,3.3240,
2003-11-22,.,No value available
2003-11-23,.,No value available
2003-11-24,3.2918,
2003-11-25,3.3253,
2003-11-26,3.4379,
2003-11-27,3.4091,
2003-11-28,3.4651,
2003-11-29,.,No value available
2003-11-30,.,No value available
2003-12-01,3.4433,
2003-12-02,3.4739,
2003-12-03,3.4681,
2003-12-04,3.4724,
2003-12-05,3.5296,
2003-12-06,.,No value available
2003-12-07,.,No value available
2003-12-08,.,No value available
2003-12-09,3.5179,
2003-12-10,3.5176,
2003-12-11,3.5154,
2003-12-12,3.5590,
2003-12-13,.,No value available
2003-12-14,.,No value available
2003-12-15,3.5711,
2003-12-16,3.5840,
2003-12-17,3.6008,
2003-12-18,3.6083,
2003-12-19,3.5991,
2003-12-20,.,No value available
2003-12-21,.,No value available
2003-12-22,3.5980,
2003-12-23,3.5952,
2003-12-24,3.6131,
2003-12-25,.,No value available
2003-12-26,3.6056,
2003-12-27,.,No value available
2003-12-28,.,No value available
2003-12-29,3.6118,
2003-12-30,3.6152,
2003-12-31,3.6204,
2004-01-01,.,No value available
2004-01-02,3.6202,
2004-01-03,.,No value available
2004-01-04,.,No value available
2004-01-05,3.5907,
2004-01-06,3.6237,
2004-01-07,3.6192,
2004-01-08,3.6434,
2004-01-09,3.6611,
2004-01-10,.,No value available
2004-01-11,.,No value available
2004-01-12,3.5912,
2004-01-13,3.5971,
2004-01-14,3.6061,
2004-01-15,3.5575,
2004-01-16,3.5166,
2004-01-17,.,No value available
2004-01-18,.,No value available
2004-01-19,3.5187,
2004-01-20,3.5896,
2004-01-21,3.6283,
2004-01-22,3.6233,
2004-01-23,3.6171,
2004-01-24,.,No value available
2004-01-25,.,No value available
2004-01-26,3.5973,
2004-01-27,3.6259,
2004-01-28,3.6386,
2004-01-29,3.6051,
2004-01-30,3.5987,
2004-01-31,.,No value available
2004-02-01,.,No value available
2004-02-02,3.5765,
2004-02-03,3.6328,
2004-02-04,3.6404,
2004-02-05,3.6741,
2004-02-06,3.7038,
2004-02-07,.,No value available
2004-02-08,.,No value available
2004-02-09,3.6822,
2004-02-10,3.6749,
2004-02-11,3.7161,
2004-02-12,3.7028,
2004-02-13,3.6691,
2004-02-14,.,No value available
2004-02-15,.,No value available
2004-02-16,3.6752,
2004-02-17,3.7089,
2004-02-18,3.7025,
2004-02-19,3.6781,
2004-02-20,3.6200,
2004-02-21,.,No value available
2004-02-22,.,No value available
2004-02-23,3.6251,
2004-02-24,3.6483,
2004-02-25,3.6044,
2004-02-26,3.5912,
2004-02-27,3.5951,
2004-02-28,.,No value available
2004-02-29,.,No value available
2004-03-01,3.5824,
2004-03-02,3.5130,
2004-03-03,3.4779,
2004-03-04,3.5142,
2004-03-05,3.5760,
2004-03-06,.,No value available
2004-03-07,.,No value available
2004-03-08,3.5757,
2004-03-09,3.5712,
2004-03-10,3.5263,
2004-03-11,3.5306,
2004-03-12,3.5095,
2004-03-13,.,No value available
2004-03-14,.,No value available
2004-03-15,3.5057,
2004-03-16,3.5025,
2004-03-17,3.4772,
2004-03-18,3.5283,
2004-03-19,3.4794,
2004-03-20,.,No value available
2004-03-21,.,No value available
2004-03-22,3.4949,
2004-03-23,3.4934,
2004-03-24,3.4546,
2004-03-25,3.4520,
2004-03-26,3.4424,
2004-03-27,.,No value available
2004-03-28,.,No value available
2004-03-29,3.4368,
2004-03-30,3.4367,
2004-03-31,3.4666,
2004-04-01,3.4638,
2004-04-02,3.4015,
2004-04-03,.,No value available
2004-04-04,.,No value available
2004-04-05,.,No value available
2004-04-06,3.3679,
2004-04-07,3.3662,
2004-04-08,.,No value available
2004-04-09,.,No value available
2004-04-10,.,No value available
2004-04-11,.,No value available
2004-04-12,3.3426,
2004-04-13,3.3103,
2004-04-14,3.3081,
2004-04-15,3.3278,
2004-04-16,3.3357,
2004-04-17,.,No value available
2004-04-18,.,No value available
2004-04-19,3.3475,
2004-04-20,3.3349,
2004-04-21,3.3337,
2004-04-22,3.3514,
2004-04-23,3.3285,
2004-04-24,.,No value available
2004-04-25,.,No value available
2004-04-26,3.3105,
2004-04-27,3.3321,
2004-04-28,3.3260,
2004-04-29,3.3624,
2004-04-30,3.3544,
2004-05-01,.,No value available
2004-05-02,.,No value available
2004-05-03,3.3518,
2004-05-04,3.4043,
2004-05-05,3.4364,
2004-05-06,3.4523,
2004-05-07,3.4237,
2004-05-08,.,No value available
2004-05-09,.,No value available
2004-05-10,3.4124,
2004-05-11,3.4028,
2004-05-12,3.4357,
2004-05-13,3.4022,
2004-05-14,3.4045,
2004-05-15,.,No value available
2004-05-16,.,No value available
2004-05-17,3.4472,
2004-05-18,3.4281,
2004-05-19,3.4430,
2004-05-20,3.4638,
2004-05-21,3.4997,
2004-05-22,.,No value available
2004-05-23,.,No value available
2004-05-24,3.5129,
2004-05-25,.,No value available
2004-05-26,3.5377,
2004-05-27,3.5936,
2004-05-28,3.5736,
2004-05-29,.,No value available
2004-05-30,.,No value available
2004-05-31,3.5589,
2004-06-01,3.5715,
2004-06-02,3.5450,
2004-06-03,3.5768,
2004-06-04,3.5944,
2004-06-05,.,No value available
2004-06-06,.,No value available
2004-06-07,3.6113,
2004-06-08,3.5821,
2004-06-09,3.5282,
2004-06-10,3.5405,
2004-06-11,3.5192,
2004-06-12,.,No value available
2004-06-13,.,No value available
2004-06-14,3.5248,
2004-06-15,3.5378,
2004-06-16,3.4992,
2004-06-17,3.5204,
2004-06-18,3.5502,
2004-06-19,.,No value available
2004-06-20,.,No value available
2004-06-21,.,No value available
2004-06-22,3.5291,
2004-06-23,3.5080,
2004-06-24,3.5381,
2004-06-25,3.5385,
2004-06-26,.,No value available
2004-06-27,.,No value available
2004-06-28,3.5586,
2004-06-29,3.5466,
2004-06-30,3.5492,
2004-07-01,3.5439,
2004-07-02,3.5848,
2004-07-03,.,No value available
2004-07-04,.,No value available
2004-07-05,3.5610,
2004-07-06,3.5664,
2004-07-07,3.5962,
2004-07-08,3.6166,
2004-07-09,.,No value available
2004-07-10,.,No value available
2004-07-11,.,No value available
2004-07-12,3.6148,
2004-07-13,3.5800,
2004-07-14,3.5989,
2004-07-15,3.5835,
2004-07-16,3.6108,
2004-07-17,.,No value available
2004-07-18,.,No value available
2004-07-19,3.6167,
2004-07-20,3.5993,
2004-07-21,3.5626,
2004-07-22,3.5775,
2004-07-23,3.5464,
2004-07-24,.,No value available
2004-07-25,.,No value available
2004-07-26,3.5646,
2004-07-27,3.5346,
2004-07-28,3.5384,
2004-07-29,3.5352,
2004-07-30,3.5318,
2004-07-31,.,No value available
2004-08-01,.,No value available
2004-08-02,3.5441,
2004-08-03,3.5647,
2004-08-04,3.5942,
2004-08-05,3.6433,
2004-08-06,3.7067,
2004-08-07,.,No value available
2004-08-08,.,No value available
2004-08-09,3.6663,
2004-08-10,3.6608,
2004-08-11,3.6465,
2004-08-12,3.6377,
2004-08-13,3.6762,
2004-08-14,.,No value available
2004-08-15,.,No value available
2004-08-16,.,No value available
2004-08-17,3.6669,
2004-08-18,3.6603,
2004-08-19,3.6705,
2004-08-20,3.6548,
2004-08-21,.,No value available
2004-08-22,.,No value available
2004-08-23,3.6174,
2004-08-24,3.5681,
2004-08-25,3.5669,
2004-08-26,3.5931,
2004-08-27,3.5672,
2004-08-28,.,No value available
2004-08-29,.,No value available
2004-08-30,3.5770,
2004-08-31,3.6013,
2004-09-01,3.6122,
2004-09-02,3.6003,
2004-09-03,3.5650,
2004-09-04,.,No value available
2004-09-05,.,No value available
2004-09-06,3.5639,
2004-09-07,3.5684,
2004-09-08,3.6026,
2004-09-09,3.6086,
2004-09-10,3.6196,
2004-09-11,.,No value available
2004-09-12,.,No value available
2004-09-13,3.6253,
2004-09-14,3.6145,
2004-09-15,3.5694,
2004-09-16,3.5940,
2004-09-17,3.5916,
2004-09-18,.,No value available
2004-09-19,.,No value available
2004-09-20,3.5977,
2004-09-21,3.6350,
2004-09-22,3.6181,
2004-09-23,3.6399,
2004-09-24,3.6258,
2004-09-25,.,No value available
2004-09-26,.,No value available
2004-09-27,3.6314,
2004-09-28,3.6305,
2004-09-29,3.6276,
2004-09-30,3.6551,
2004-10-01,3.6441,
2004-10-02,.,No value available
2004-10-03,.,No value available
2004-10-04,3.5941,
2004-10-05,3.6132,
2004-10-06,3.6025,
2004-10-07,3.6065,
2004-10-08,3.6354,
2004-10-09,.,No value available
2004-10-10,.,No value available
2004-10-11,.,No value available
2004-10-12,3.6033,
2004-10-13,3.6128,
2004-10-14,3.6347,
2004-10-15,3.6448,
2004-10-16,.,No value available
2004-10-17,.,No value available
2004-10-18,3.6423,
2004-10-19,3.6572,
2004-10-20,3.6748,
2004-10-21,3.6834,
2004-10-22,3.6922,
2004-10-23,.,No value available
2004-10-24,.,No value available
2004-10-25,3.7478,
2004-10-26,3.7396,
2004-10-27,3.7295,
2004-10-28,3.7461,
2004-10-29,3.7475,
2004-10-30,.,No value available
2004-10-31,.,No value available
2004-11-01,3.7321,
2004-11-02,3.7025,
2004-11-03,3.7305,
2004-11-04,3.7596,
2004-11-05,3.7770,
2004-11-06,.,No value available
2004-11-07,.,No value available
2004-11-08,3.7922,
2004-11-09,3.7772,
2004-11-10,3.7730,
2004-11-11,3.7770,
2004-11-12,3.7864,
2004-11-13,.,No value available
2004-11-14,.,No value available
2004-11-15,3.7668,
2004-11-16,3.7783,
2004-11-17,3.7683,
2004-11-18,3.7526,
2004-11-19,3.7870,
2004-11-20,.,No value available
2004-11-21,.,No value available
2004-11-22,3.7946,
2004-11-23,3.7976,
2004-11-24,3.8216,
2004-11-25,3.8442,
2004-11-26,3.8557,
2004-11-27,.,No value available
2004-11-28,.,No value available
2004-11-29,3.8702,
2004-11-30,3.8567,
2004-12-01,3.8658,
2004-12-02,3.8745,
2004-12-03,3.9344,
2004-12-04,.,No value available
2004-12-05,.,No value available
2004-12-06,3.9555,
2004-12-07,3.9443,
2004-12-08,.,No value available
2004-12-09,3.8978,
2004-12-10,3.8884,
2004-12-11,.,No value available
2004-12-12,.,No value available
2004-12-13,3.9031,
2004-12-14,3.9043,
2004-12-15,3.9369,
2004-12-16,3.9098,
2004-12-17,3.9033,
2004-12-18,.,No value available
2004-12-19,.,No value available
2004-12-20,3.9132,
2004-12-21,3.9140,
2004-12-22,3.9103,
2004-12-23,.,No value available
2004-12-24,3.9425,
2004-12-25,.,No value available
2004-12-26,.,No value available
2004-12-27,3.9819,
2004-12-28,3.9957,
2004-12-29,3.9882,
2004-12-30,4.0004,
2004-12-31,4.0044,
2005-01-01,.,No value available
2005-01-02,.,No value available
2005-01-03,3.9469,
2005-01-04,3.8866,
2005-01-05,3.8902,
2005-01-06,3.8559,
2005-01-07,3.8169,
