"",BBFN1.M.DE.N.1.L.JP.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.JP.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1998-08,1.710,
1998-09,1.700,
1998-10,1.687,
1998-11,1.712,
1998-12,1.545,
1999-01,1.480,
1999-02,1.488,
1999-03,1.335,
1999-04,1.364,
1999-05,1.354,
1999-06,1.271,
1999-07,1.297,
1999-08,1.371,
1999-09,1.332,
1999-10,1.393,
1999-11,1.506,
1999-12,1.412,
2000-01,1.411,
2000-02,1.395,
2000-03,1.412,
2000-04,1.413,
2000-05,1.419,
2000-06,1.496,
2000-07,1.350,
2000-08,1.332,
2000-09,1.361,
2000-10,1.352,
2000-11,1.334,
2000-12,1.368,
2001-01,1.372,
2001-02,1.370,
2001-03,1.355,
2001-04,1.345,
2001-05,1.328,
2001-06,1.332,
2001-07,1.277,
2001-08,1.256,
2001-09,1.342,
2001-10,1.408,
2001-11,1.711,
2001-12,1.914,
2002-01,1.826,
2002-02,1.950,
2002-03,1.537,
2002-04,1.488,
2002-05,1.602,
2002-06,1.523,
2002-07,1.550,
2002-08,1.557,
2002-09,1.578,
2002-10,2.097,
2002-11,1.825,
2002-12,1.810,
2003-01,1.733,
2003-02,1.950,
2003-03,1.848,
2003-04,2.115,
2003-05,2.055,
2003-06,1.852,
2003-07,1.806,
2003-08,1.795,
2003-09,1.774,
2003-10,1.689,
2003-11,1.623,
2003-12,1.519,
2004-01,1.412,
2004-02,1.382,
2004-03,1.551,
2004-04,1.477,
2004-05,1.416,
2004-06,1.485,
2004-07,1.408,
2004-08,1.444,
2004-09,1.438,
2004-10,1.509,
2004-11,1.492,
2004-12,1.537,
2005-01,1.438,
2005-02,1.432,
2005-03,1.536,
2005-04,1.502,
2005-05,1.436,
2005-06,1.520,
2005-07,1.423,
2005-08,1.460,
2005-09,1.460,
2005-10,1.402,
2005-11,1.403,
2005-12,1.409,
2006-01,1.412,
2006-02,1.311,
2006-03,1.345,
2006-04,1.156,
2006-05,1.218,
2006-06,1.185,
2006-07,1.250,
2006-08,1.287,
2006-09,1.263,
2006-10,1.349,
2006-11,1.225,
2006-12,1.258,
2007-01,1.442,
2007-02,1.516,
2007-03,2.147,
2007-04,2.130,
2007-05,2.175,
2007-06,2.238,
2007-07,2.330,
2007-08,2.257,
2007-09,2.311,
2007-10,2.283,
2007-11,2.133,
2007-12,2.238,
2008-01,2.155,
2008-02,3.053,
2008-03,3.025,
2008-04,3.005,
2008-05,3.006,
2008-06,3.073,
2008-07,3.091,
2008-08,2.998,
2008-09,3.084,
2008-10,3.328,
2008-11,3.426,
2008-12,3.103,
2009-01,3.147,
2009-02,3.135,
2009-03,2.317,
2009-04,2.412,
2009-05,3.177,
2009-06,3.163,
2009-07,3.222,
2009-08,3.353,
2009-09,3.356,
2009-10,3.350,
2009-11,3.489,
2009-12,4.725,
2010-01,4.836,
2010-02,4.961,
2010-03,4.648,
2010-04,5.193,
2010-05,5.616,
2010-06,5.760,
2010-07,5.552,
2010-08,5.644,
2010-09,5.581,
2010-10,5.188,
2010-11,5.347,
2010-12,5.275,
2011-01,5.232,
2011-02,5.149,
2011-03,4.916,
2011-04,4.583,
2011-05,4.813,
2011-06,4.569,
2011-07,4.566,
2011-08,4.639,
2011-09,4.658,
2011-10,4.750,
2011-11,4.848,
2011-12,5.090,
2012-01,5.165,
2012-02,5.063,
2012-03,5.026,
2012-04,4.897,
2012-05,5.125,
2012-06,5.215,
2012-07,5.492,
2012-08,5.443,
2012-09,5.338,
2012-10,5.384,
2012-11,5.382,
2012-12,5.332,
2013-01,5.288,
2013-02,5.369,
2013-03,5.308,
2013-04,5.557,
2013-05,5.770,
2013-06,5.674,
2013-07,5.630,
2013-08,5.618,
2013-09,5.686,
2013-10,5.762,
2013-11,6.215,
2013-12,6.149,
2014-01,6.182,
2014-02,7.423,
2014-03,5.736,
2014-04,5.931,
2014-05,6.191,
2014-06,6.484,
2014-07,6.486,
2014-08,6.512,
2014-09,6.640,
2014-10,6.850,
2014-11,6.624,
2014-12,7.238,
