"",BBFN1.M.DE.N.1.A.TR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1997-05,0.060,
1997-06,0.066,
1997-07,0.060,
1997-08,0.092,
1997-09,0.090,
1997-10,0.096,
1997-11,0.100,
1997-12,0.090,
1998-01,0.082,
1998-02,0.093,
1998-03,0.125,
1998-04,0.064,
1998-05,0.097,
1998-06,0.114,
1998-07,0.112,
1998-08,0.123,
1998-09,0.118,
1998-10,0.122,
1998-11,0.147,
1998-12,0.133,
1999-01,0.134,
1999-02,0.182,
1999-03,0.171,
1999-04,0.181,
1999-05,0.143,
1999-06,0.156,
1999-07,0.169,
1999-08,0.172,
1999-09,0.132,
1999-10,0.131,
1999-11,0.132,
1999-12,0.136,
2000-01,0.138,
2000-02,0.138,
2000-03,0.112,
2000-04,0.110,
2000-05,0.124,
2000-06,0.130,
2000-07,0.125,
2000-08,0.126,
2000-09,0.123,
2000-10,0.132,
2000-11,0.143,
2000-12,0.144,
2001-01,0.157,
2001-02,0.161,
2001-03,0.158,
2001-04,0.174,
2001-05,0.182,
2001-06,0.159,
2001-07,0.153,
2001-08,0.201,
2001-09,0.151,
2001-10,0.155,
2001-11,0.164,
2001-12,0.321,
2002-01,0.328,
2002-02,0.329,
2002-03,0.319,
2002-04,0.335,
2002-05,0.329,
2002-06,0.325,
2002-07,0.350,
2002-08,0.343,
2002-09,0.331,
2002-10,0.319,
2002-11,0.304,
2002-12,0.230,
2003-01,0.213,
2003-02,0.254,
2003-03,0.132,
2003-04,0.139,
2003-05,0.237,
2003-06,0.241,
2003-07,0.241,
2003-08,0.236,
2003-09,0.229,
2003-10,0.212,
2003-11,0.240,
2003-12,0.233,
2004-01,0.234,
2004-02,0.246,
2004-03,0.206,
2004-04,0.221,
2004-05,0.224,
2004-06,0.217,
2004-07,0.221,
2004-08,0.234,
2004-09,0.194,
2004-10,0.194,
2004-11,0.177,
2004-12,0.185,
2005-01,0.188,
2005-02,0.206,
2005-03,0.223,
2005-04,0.260,
2005-05,0.266,
2005-06,0.256,
2005-07,0.251,
2005-08,0.239,
2005-09,0.198,
2005-10,0.176,
2005-11,0.191,
2005-12,0.157,
2006-01,0.150,
2006-02,0.179,
2006-03,0.196,
2006-04,0.195,
2006-05,0.192,
2006-06,0.204,
2006-07,0.230,
2006-08,0.221,
2006-09,0.208,
2006-10,0.207,
2006-11,0.206,
2006-12,0.207,
2007-01,0.188,
2007-02,0.204,
2007-03,0.242,
2007-04,0.240,
2007-05,0.251,
2007-06,0.278,
2007-07,0.270,
2007-08,0.246,
2007-09,0.254,
2007-10,0.220,
2007-11,0.233,
2007-12,0.231,
2008-01,0.203,
2008-02,0.230,
2008-03,0.258,
2008-04,0.276,
2008-05,0.285,
2008-06,0.310,
2008-07,0.295,
2008-08,0.289,
2008-09,0.315,
2008-10,0.309,
2008-11,0.314,
2008-12,0.308,
2009-01,0.303,
2009-02,0.277,
2009-03,0.326,
2009-04,0.343,
2009-05,0.365,
2009-06,0.386,
2009-07,0.348,
2009-08,0.336,
2009-09,0.344,
2009-10,0.311,
2009-11,0.323,
2009-12,0.338,
2010-01,0.338,
2010-02,0.340,
2010-03,0.362,
2010-04,0.364,
2010-05,0.417,
2010-06,0.451,
2010-07,0.443,
2010-08,0.413,
2010-09,0.380,
2010-10,0.378,
2010-11,0.394,
2010-12,0.379,
2011-01,0.402,
2011-02,0.455,
2011-03,0.484,
2011-04,0.467,
2011-05,0.454,
2011-06,0.442,
2011-07,0.417,
2011-08,0.438,
2011-09,0.294,
2011-10,0.306,
2011-11,0.312,
2011-12,0.317,
2012-01,0.344,
2012-02,0.334,
2012-03,0.395,
2012-04,0.418,
2012-05,0.419,
2012-06,0.414,
2012-07,0.397,
2012-08,0.387,
2012-09,0.375,
2012-10,0.389,
2012-11,0.401,
2012-12,0.385,
2013-01,0.430,
2013-02,0.419,
2013-03,0.448,
2013-04,0.428,
2013-05,0.437,
2013-06,0.407,
2013-07,0.364,
2013-08,0.353,
2013-09,0.346,
2013-10,0.355,
2013-11,0.293,
2013-12,0.273,
2014-01,0.289,
2014-02,0.288,
2014-03,0.326,
2014-04,0.353,
2014-05,0.373,
2014-06,0.406,
2014-07,0.389,
2014-08,0.348,
2014-09,0.375,
2014-10,0.369,
2014-11,0.300,
2014-12,0.295,
