"",BBDE1.M.DE.Y.AEB1.A2P300000.F.V.I10.A,BBDE1.M.DE.Y.AEB1.A2P300000.F.V.I10.A_FLAGS
2007-08,111.8,
2007-09,111.1,
2007-10,114.4,
2007-11,118.7,
2007-12,118.9,
2008-01,114.5,
2008-02,115.5,
2008-03,114.5,
2008-04,115.7,
2008-05,112.3,
2008-06,112.1,
2008-07,109.7,
2008-08,112.9,
2008-09,107.9,
2008-10,99.9,
2008-11,89.9,
2008-12,86.1,
2009-01,82.5,
2009-02,77.5,
2009-03,79.0,
2009-04,77.9,
2009-05,81.2,
2009-06,82.2,
2009-07,88.3,
2009-08,87.5,
2009-09,87.4,
2009-10,87.0,
2009-11,88.1,
2009-12,88.4,
2010-01,91.6,
2010-02,90.9,
2010-03,95.8,
2010-04,99.4,
2010-05,99.0,
2010-06,101.1,
2010-07,100.4,
2010-08,100.7,
2010-09,102.6,
2010-10,103.8,
2010-11,105.1,
2010-12,104.4,
2011-01,109.1,
2011-02,111.3,
2011-03,108.2,
2011-04,109.5,
2011-05,121.7,
2011-06,108.7,
2011-07,112.2,
2011-08,110.0,
2011-09,107.4,
2011-10,106.9,
2011-11,106.3,
2011-12,106.1,
2012-01,106.0,
2012-02,105.2,
2012-03,106.8,
2012-04,106.3,
2012-05,105.8,
2012-06,103.5,
2012-07,103.5,
2012-08,102.1,
2012-09,101.9,
2012-10,102.2,
2012-11,101.5,
2012-12,102.5,
2013-01,102.9,
2013-02,104.2,
2013-03,105.9,
2013-04,102.5,
2013-05,100.9,
2013-06,104.7,
2013-07,104.3,
2013-08,106.1,
2013-09,105.6,
2013-10,104.6,
2013-11,107.0,
2013-12,104.3,
2014-01,106.4,
2014-02,107.5,
2014-03,107.0,
2014-04,107.5,
2014-05,105.5,
2014-06,104.0,
2014-07,105.5,
2014-08,104.5,
2014-09,102.0,
2014-10,108.2,
2014-11,103.3,
2014-12,106.7,Provisional value
