"",BBEX3.M.MUR.USD.CA.AA.A01,BBEX3.M.MUR.USD.CA.AA.A01_FLAGS
1998-05,23.7430,
1998-06,24.1210,
1998-07,24.2210,
1998-08,24.2050,
1998-09,24.3240,
1998-10,24.6670,
1998-11,24.6860,
1998-12,24.6270,
1999-01,24.7479,
1999-02,24.8458,
1999-03,24.9797,
1999-04,24.9576,
1999-05,25.0439,
1999-06,25.0755,
1999-07,25.1038,
1999-08,25.1238,
1999-09,25.1168,
1999-10,25.1759,
1999-11,25.2525,
1999-12,25.3094,
2000-01,25.4110,
2000-02,25.4629,
2000-03,25.4808,
2000-04,25.5207,
2000-05,25.7731,
2000-06,25.9354,
2000-07,26.0328,
2000-08,26.1590,
2000-09,26.2526,
2000-10,27.0356,
2000-11,27.5873,
2000-12,27.6257,
2001-01,27.6960,
2001-02,27.8814,
2001-03,27.9956,
2001-04,28.2378,
2001-05,28.5687,
2001-06,28.9421,
2001-07,29.1123,
2001-08,29.2872,
2001-09,29.5188,
2001-10,29.9602,
2001-11,30.0146,
2001-12,30.0187,
2002-01,30.0912,
2002-02,30.1012,
2002-03,30.0945,
2002-04,30.0288,
2002-05,29.9381,
2002-06,29.7206,
2002-07,29.5519,
2002-08,29.4379,
2002-09,29.4039,
2002-10,29.3819,
2002-11,29.2150,
2002-12,28.9466,
2003-01,27.7848,
2003-02,27.2322,
2003-03,26.7944,
2003-04,26.6992,
2003-05,26.8530,
2003-06,28.6037,
2003-07,28.8888,
2003-08,28.5610,
2003-09,28.1167,
2003-10,27.9721,
2003-11,27.5232,
2003-12,25.8928,
2004-01,25.3001,
2004-02,25.1674,
2004-03,25.9372,
2004-04,26.9894,
2004-05,27.4756,
2004-06,27.4535,
2004-07,27.5554,
2004-08,27.7205,
2004-09,27.8055,
2004-10,27.7638,
2004-11,27.6848,
2004-12,27.4781,
2005-01,27.7976,
2005-02,28.0447,
2005-03,28.2609,
2005-04,28.2772,
2005-05,28.4190,
2005-06,28.5652,
2005-07,28.8065,
2005-08,28.9321,
2005-09,29.3879,
2005-10,29.4703,
2005-11,29.6634,
2005-12,29.7218,
2006-01,29.7458,
2006-02,29.8449,
2006-03,29.9164,
2006-04,29.9407,
2006-05,29.9399,
2006-06,29.9708,
2006-07,30.4482,
2006-08,31.3770,
2006-09,31.5502,
2006-10,31.7919,
2006-11,32.0662,
2006-12,32.3078,
2007-01,32.4973,
2007-02,32.0916,
2007-03,31.7755,
2007-04,31.1722,
2007-05,30.8003,
2007-06,30.9000,
2007-07,30.6501,
2007-08,30.5031,
2007-09,29.8661,
2007-10,29.6861,
2007-11,29.3010,
2007-12,27.8486,
2008-01,28.0075,
2008-02,26.8894,
2008-03,25.6290,
2008-04,25.5010,
2008-05,27.0045,
2008-06,26.5682,
2008-07,26.0349,
2008-08,27.5755,
2008-09,27.6173,
2008-10,31.0888,
2008-11,30.9846,
2008-12,31.0362,
2009-01,31.8804,
2009-02,33.2061,
2009-03,32.5533,
2009-04,32.8111,
2009-05,31.6906,
2009-06,31.5667,
2009-07,31.2731,
2009-08,31.1034,
2009-09,30.0815,
2009-10,29.6744,
2009-11,29.0784,
2009-12,29.4067,
2010-01,29.4025,
2010-02,29.9913,
2010-03,30.0370,
2010-04,30.2600,
2010-05,32.6586,
2010-06,31.4745,
2010-07,29.7119,
2010-08,30.2682,
2010-09,29.5157,
2010-10,29.1065,
2010-11,29.8699,
2010-12,29.7489,
2011-01,29.0967,
2011-02,28.8303,
2011-03,28.0761,
2011-04,27.0034,
2011-05,27.3145,
2011-06,27.5695,
2011-07,27.3733,
2011-08,27.2594,
2011-09,28.2632,
2011-10,28.0898,
2011-11,28.4711,
2011-12,28.6819,
2012-01,28.3828,
2012-02,28.1413,
2012-03,28.2221,
2012-04,28.2826,
2012-05,29.1125,
2012-06,30.1230,
2012-07,30.1991,
2012-08,29.7656,
2012-09,29.6066,
2012-10,30.1188,
2012-11,30.0397,
2012-12,30.1113,
2013-01,29.8579,
2013-02,30.2302,
2013-03,30.5930,
2013-04,30.4472,
2013-05,30.5751,
2013-06,30.5201,
2013-07,30.4227,
2013-08,30.4127,
2013-09,30.1927,
2013-10,29.8200,
2013-11,29.9649,
2013-12,29.7188,
2014-01,29.8224,
2014-02,29.7607,
2014-03,29.7388,
2014-04,29.6598,
2014-05,29.8491,
2014-06,29.8352,
2014-07,30.0263,
2014-08,30.2798,
2014-09,30.8349,
2014-10,30.8518,
2014-11,31.0032,
2014-12,31.1943,
2015-01,32.1866,
"","Source: Bank of Mauritius, Port Louis",
