"",BBFB1.M.N.DE.W1.S1.S1.T.C.D41.P.F3.L._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D41.P.F3.L._T._X.N_FLAGS
2000-02,1854.052,
2000-03,1929.545,
2000-04,1957.699,
2000-05,2031.881,
2000-06,2015.320,
2000-07,2047.048,
2000-08,2074.737,
2000-09,2152.656,
2000-10,2195.331,
2000-11,2229.342,
2000-12,2308.340,
2001-01,2341.493,
2001-02,2395.655,
2001-03,2408.544,
2001-04,2391.229,
2001-05,2375.051,
2001-06,2401.706,
2001-07,2452.186,
2001-08,2555.754,
2001-09,2525.937,
2001-10,2587.439,
2001-11,2609.767,
2001-12,2607.778,
2002-01,2647.107,
2002-02,2686.423,
2002-03,2636.477,
2002-04,2637.417,
2002-05,2642.150,
2002-06,2652.614,
2002-07,2658.237,
2002-08,2644.669,
2002-09,2628.668,
2002-10,2601.306,
2002-11,2560.655,
2002-12,2563.025,
2003-01,2559.565,
2003-02,2579.656,
2003-03,2633.379,
2003-04,2681.098,
2003-05,2709.911,
2003-06,2679.187,
2003-07,2671.584,
2003-08,2666.045,
2003-09,2664.166,
2003-10,2664.642,
2003-11,2676.555,
2003-12,2655.468,
2004-01,2617.990,
2004-02,2605.554,
2004-03,2586.763,
2004-04,2566.842,
2004-05,2576.106,
2004-06,2642.647,
2004-07,2645.603,
2004-08,2715.313,
2004-09,2770.328,
2004-10,2797.136,
2004-11,2839.194,
2004-12,2829.555,
2005-01,2851.316,
2005-02,2888.727,
2005-03,2923.476,
2005-04,2932.783,
2005-05,2924.839,
2005-06,2924.056,
2005-07,2944.796,
2005-08,2949.842,
2005-09,2933.324,
2005-10,2954.495,
2005-11,2948.995,
2005-12,2932.589,
2006-01,3089.166,
2006-02,3106.727,
2006-03,3120.924,
2006-04,3160.305,
2006-05,3257.158,
2006-06,3270.451,
2006-07,3331.911,
2006-08,3371.320,
2006-09,3367.659,
2006-10,3440.197,
2006-11,3556.500,
2006-12,3707.182,
2007-01,3804.475,
2007-02,3866.152,
2007-03,3931.682,
2007-04,4009.408,
2007-05,4056.280,
2007-06,4087.140,
2007-07,4165.105,
2007-08,4165.252,
2007-09,4225.461,
2007-10,4298.585,
2007-11,4320.222,
2007-12,4284.166,
2008-01,4255.332,
2008-02,4320.477,
2008-03,4396.230,
2008-04,4431.423,
2008-05,4429.039,
2008-06,4463.412,
2008-07,4468.461,
2008-08,4497.212,
2008-09,4562.746,
2008-10,4574.246,
2008-11,4590.006,
2008-12,4634.687,
2009-01,5042.826,
2009-02,4978.157,
2009-03,4905.427,
2009-04,4917.060,
2009-05,4913.240,
2009-06,4918.466,
2009-07,4934.369,
2009-08,4908.521,
2009-09,4897.130,
2009-10,4871.019,
2009-11,4764.076,
2009-12,4765.836,
2010-01,4772.432,
2010-02,4805.968,
2010-03,4818.823,
2010-04,4853.207,
2010-05,4881.499,
2010-06,4906.166,
2010-07,4899.245,
2010-08,4896.492,
2010-09,4895.992,
2010-10,4944.772,
2010-11,5087.091,
2010-12,5075.055,
2011-01,5086.185,
2011-02,5140.566,
2011-03,5156.798,
2011-04,5171.351,
2011-05,5226.716,
2011-06,5213.116,
2011-07,5225.394,
2011-08,5246.223,
2011-09,5211.385,
2011-10,5173.760,
2011-11,5169.144,
2011-12,5161.148,
2012-01,5177.724,
2012-02,5196.996,
2012-03,5181.091,
2012-04,5150.969,
2012-05,5156.840,
2012-06,5097.106,
2012-07,5060.573,
2012-08,5065.826,
2012-09,5077.656,
2012-10,5100.752,
2012-11,5076.456,
2012-12,5088.374,
2013-01,5150.328,
2013-02,5158.613,
2013-03,5130.588,
2013-04,5192.333,
2013-05,5219.225,
2013-06,5152.512,
2013-07,5163.383,
2013-08,5166.599,
2013-09,5176.780,
2013-10,5195.535,
2013-11,5270.318,
2013-12,5214.404,
2014-01,4576.664,
2014-02,4559.589,Provisional value
2014-03,4589.622,Provisional value
2014-04,4619.869,Provisional value
2014-05,4657.837,Provisional value
2014-06,5112.481,Provisional value
2014-07,5077.452,Provisional value
2014-08,5128.411,Provisional value
2014-09,5177.876,
2014-10,5154.809,
2014-11,5123.337,
2014-12,5092.053,Provisional value
