"",BBDA1.M.DE.Y.EX.S.A.S1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.S1.A.V.ABA.A_FLAGS
2006-09,9.71,
2006-10,10.10,
2006-11,10.08,
2006-12,9.55,
2007-01,9.48,
2007-02,9.26,
2007-03,8.78,
2007-04,9.29,
2007-05,8.98,
2007-06,9.14,
2007-07,8.99,
2007-08,9.65,
2007-09,9.58,
2007-10,9.64,
2007-11,9.76,
2007-12,9.68,
2008-01,10.63,
2008-02,9.95,
2008-03,9.92,
2008-04,10.16,
2008-05,9.75,
2008-06,10.08,
2008-07,10.10,
2008-08,9.71,
2008-09,9.68,
2008-10,10.22,
2008-11,9.65,
2008-12,9.93,
2009-01,8.58,
2009-02,8.69,
2009-03,8.68,
2009-04,8.87,
2009-05,8.88,
2009-06,9.44,
2009-07,10.22,
2009-08,9.55,
2009-09,9.24,
2009-10,9.35,
2009-11,10.02,
2009-12,11.12,
2010-01,10.39,
2010-02,11.15,
2010-03,11.95,
2010-04,11.43,
2010-05,12.63,
2010-06,12.65,
2010-07,12.74,
2010-08,12.24,
2010-09,13.09,
2010-10,12.52,
2010-11,13.22,
2010-12,12.81,
2011-01,13.06,
2011-02,13.55,
2011-03,14.12,
2011-04,13.39,
2011-05,13.81,
2011-06,13.24,
2011-07,13.76,
2011-08,13.82,
2011-09,14.03,
2011-10,14.52,
2011-11,14.43,
2011-12,14.71,
2012-01,14.08,
2012-02,14.99,
2012-03,14.92,
2012-04,14.59,
2012-05,15.27,
2012-06,15.77,
2012-07,15.12,
2012-08,15.40,
2012-09,15.01,
2012-10,15.07,
2012-11,14.62,
2012-12,15.27,
2013-01,14.56,
2013-02,14.34,
2013-03,14.93,
2013-04,15.40,
2013-05,14.91,
2013-06,14.68,
2013-07,14.68,
2013-08,15.11,
2013-09,15.19,
2013-10,15.12,
2013-11,15.40,
2013-12,15.55,
2014-01,15.37,
2014-02,14.92,
2014-03,15.35,
2014-04,15.77,
2014-05,15.60,
2014-06,15.85,
2014-07,16.96,
2014-08,15.41,
2014-09,16.99,
2014-10,17.42,
2014-11,15.73,
2014-12,16.53,
