"",BBDA1.M.DE.N.IM.S.A.P0.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.P0.A.V.ABA.A_FLAGS
2005-06,41591226,
2005-07,39837724,
2005-08,39544297,
2005-09,42040681,
2005-10,44501323,
2005-11,46086313,
2005-12,44673375,
2006-01,42478920,
2006-02,43914581,
2006-03,48791303,
2006-04,45967162,
2006-05,46950969,
2006-06,47918097,
2006-07,46868396,
2006-08,44324251,
2006-09,48946526,
2006-10,51882514,
2006-11,51882607,
2006-12,48672592,
2007-01,46723571,
2007-02,48719410,
2007-03,51121840,
2007-04,49620745,
2007-05,48385770,
2007-06,50950121,
2007-07,48557666,
2007-08,47974607,
2007-09,48696505,
2007-10,53617413,
2007-11,52540784,
2007-12,46857047,
2008-01,49913567,
2008-02,51012023,
2008-03,51154581,
2008-04,53644613,
2008-05,50252958,
2008-06,52280893,
2008-07,54034362,
2008-08,47021844,
2008-09,52720891,
2008-10,53760522,
2008-11,49134706,
2008-12,44436324,
2009-01,41791380,
2009-02,42134587,
2009-03,46213372,
2009-04,41886545,
2009-05,38955534,
2009-06,40999725,
2009-07,41512367,
2009-08,38216900,
2009-09,43772886,
2009-10,45329317,
2009-11,41672024,
2009-12,40883424,
2010-01,41137467,
2010-02,42900835,
2010-03,51850949,
2010-04,46244971,
2010-05,48622039,
2010-06,52852932,
2010-07,50483617,
2010-08,46224155,
2010-09,50542206,
2010-10,52472374,
2010-11,53537793,
2010-12,50252838,
2011-01,50263249,
2011-02,53356272,
2011-03,59337112,
2011-04,54105313,
2011-05,57492989,
2011-06,56515772,
2011-07,53731146,
2011-08,52562250,
2011-09,57201633,
2011-10,56333882,
2011-11,57061380,
2011-12,53076589,
2012-01,52244073,
2012-02,56001441,
2012-03,60115587,
2012-04,53887296,
2012-05,57378696,
2012-06,56476511,
2012-07,56461106,
2012-08,52650613,
2012-09,54224295,
2012-10,60210710,
2012-11,56883918,
2012-12,47329019,
2013-01,53976956,
2013-02,52276614,
2013-03,56866134,
2013-04,56565091,
2013-05,56374238,
2013-06,56245043,
2013-07,56221789,
2013-08,51119207,
2013-09,54376270,
2013-10,60230289,
2013-11,57019286,
2013-12,50529431,
2014-01,54558751,
2014-02,56938724,
2014-03,59605179,
2014-04,57569230,
2014-05,55515142,
2014-06,57694163,
2014-07,57295617,
2014-08,50009167,
2014-09,58592602,
2014-10,60364292,
2014-11,57789910,
2014-12,52390397,
