"",BBFN1.M.DE.N.1.L.W1.S1P.F0.S.B000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.S.B000.Z06.BGA.X001.D_FLAGS
1982-02,5.569,
1982-03,5.789,
1982-04,6.137,
1982-05,6.181,
1982-06,6.396,
1982-07,6.668,
1982-08,6.500,
1982-09,6.445,
1982-10,6.793,
1982-11,6.568,
1982-12,6.337,
1983-01,6.576,
1983-02,6.580,
1983-03,6.590,
1983-04,6.410,
1983-05,6.372,
1983-06,6.776,
1983-07,6.872,
1983-08,6.852,
1983-09,6.860,
1983-10,7.238,
1983-11,7.401,
1983-12,7.294,
1984-01,7.628,
1984-02,7.768,
1984-03,7.464,
1984-04,7.379,
1984-05,7.368,
1984-06,7.127,
1984-07,7.335,
1984-08,6.990,
1984-09,6.518,
1984-10,6.863,
1984-11,7.153,
1984-12,6.505,
1985-01,6.703,
1985-02,6.558,
1985-03,6.254,
1985-04,6.090,
1985-05,6.125,
1985-06,6.062,
1985-07,5.956,
1985-08,5.837,
1985-09,5.483,
1985-10,5.429,
1985-11,5.044,
1985-12,4.499,
1986-01,4.401,
1986-02,4.445,
1986-03,4.688,
1986-04,4.608,
1986-05,4.483,
1986-06,4.420,
1986-07,4.358,
1986-08,4.232,
1986-09,4.026,
1986-10,4.216,
1986-11,3.966,
1986-12,3.188,
1987-01,3.144,
1987-02,3.119,
1987-03,3.050,
1987-04,3.154,
1987-05,2.984,
1987-06,3.092,
1987-07,3.026,
1987-08,3.130,
1987-09,3.196,
1987-10,3.182,
1987-11,3.166,
1987-12,2.988,
1988-01,3.169,
1988-02,3.361,
1988-03,3.337,
1988-04,3.274,
1988-05,3.267,
1988-06,3.338,
1988-07,3.363,
1988-08,3.488,
1988-09,3.239,
1988-10,3.162,
1988-11,3.200,
1988-12,2.793,
1989-01,2.724,
1989-02,2.759,
1989-03,2.652,
1989-04,2.700,
1989-05,2.656,
1989-06,2.476,
1989-07,2.368,
1989-08,2.568,
1989-09,2.439,
1989-10,2.987,
1989-11,2.603,
1989-12,2.010,
1990-01,2.090,
1990-02,2.144,
1990-03,2.161,
1990-04,2.159,
1990-05,2.105,
1990-06,2.108,
1990-07,2.153,
1990-08,2.164,
1990-09,1.995,
1990-10,2.197,
1990-11,2.294,
1990-12,2.606,
1991-01,2.647,
1991-02,2.774,
1991-03,3.128,
1991-04,3.332,
1991-05,3.304,
1991-06,3.498,
1991-07,2.986,
1991-08,3.338,
1991-09,3.281,
1991-10,3.488,
1991-11,3.465,
1991-12,3.357,
1992-01,3.692,
1992-02,3.978,
1992-03,4.061,
1992-04,4.177,
1992-05,4.023,
1992-06,4.232,
1992-07,3.638,
1992-08,3.562,
1992-09,3.979,
1992-10,4.150,
1992-11,4.116,
1992-12,4.092,
1993-01,4.096,
1993-02,4.349,
1993-03,4.661,
1993-04,4.535,
1993-05,4.757,
1993-06,4.984,
1993-07,5.199,
1993-08,5.335,
1993-09,5.220,
1993-10,5.463,
1993-11,5.256,
1993-12,5.137,
1994-01,5.137,
1994-02,5.259,
1994-03,5.344,
1994-04,5.246,
1994-05,5.187,
1994-06,5.054,
1994-07,5.044,
1994-08,4.762,
1994-09,4.741,
1994-10,4.757,
1994-11,4.655,
1994-12,4.339,
1995-01,5.157,
1995-02,5.667,
1995-03,5.984,
1995-04,5.414,
1995-05,5.597,
1995-06,5.722,
1995-07,5.260,
1995-08,5.132,
1995-09,5.315,
1995-10,5.749,
1995-11,5.601,
1995-12,5.054,
1996-01,5.537,
1996-02,5.913,
1996-03,5.563,
1996-04,6.426,
1996-05,8.075,
1996-06,6.831,
1996-07,6.108,
1996-08,5.741,
1996-09,5.924,
1996-10,6.180,
1996-11,5.485,
1996-12,6.338,
1997-01,5.626,
1997-02,7.060,
1997-03,5.907,
1997-04,8.507,
1997-05,7.891,
1997-06,9.241,
1997-07,8.891,
1997-08,6.177,
1997-09,6.816,
1997-10,7.317,
1997-11,6.788,
1997-12,5.695,
1998-01,6.392,
1998-02,6.035,
1998-03,8.067,
1998-04,7.025,
1998-05,6.036,
1998-06,5.000,
1998-07,5.763,
1998-08,5.250,
1998-09,6.522,
1998-10,5.289,
1998-11,5.778,
1998-12,5.405,
1999-01,5.200,
1999-02,4.790,
1999-03,5.031,
1999-04,4.752,
1999-05,5.036,
1999-06,5.226,
1999-07,6.278,
1999-08,6.198,
1999-09,5.962,
1999-10,6.085,
1999-11,5.841,
1999-12,6.129,
2000-01,6.274,
2000-02,6.799,
2000-03,6.666,
2000-04,6.993,
2000-05,10.884,
2000-06,9.531,
2000-07,7.376,
2000-08,7.220,
2000-09,7.133,
2000-10,7.204,
2000-11,7.348,
2000-12,7.013,
2001-01,7.064,
2001-02,6.707,
2001-03,6.337,
2001-04,6.388,
2001-05,8.198,
2001-06,8.996,
2001-07,8.719,
2001-08,7.183,
2001-09,7.038,
2001-10,6.476,
2001-11,6.173,
2001-12,6.216,
2002-01,6.505,
2002-02,7.034,
2002-03,6.508,
2002-04,6.255,
2002-05,6.052,
2002-06,5.398,
2002-07,5.467,
2002-08,5.546,
2002-09,5.441,
2002-10,5.474,
2002-11,5.143,
2002-12,4.953,
2003-01,5.168,
2003-02,5.661,
2003-03,5.492,
2003-04,6.454,
2003-05,5.154,
2003-06,4.689,
2003-07,4.721,
2003-08,5.104,
2003-09,5.041,
2003-10,5.030,
2003-11,5.580,
2003-12,4.542,
2004-01,4.647,
2004-02,4.759,
2004-03,4.825,
2004-04,4.341,
2004-05,4.207,
2004-06,4.054,
2004-07,4.111,
2004-08,4.045,
2004-09,3.960,
2004-10,3.843,
2004-11,3.895,
2004-12,3.696,
2005-01,3.747,
2005-02,3.518,
2005-03,3.494,
2005-04,3.234,
2005-05,3.275,
2005-06,3.561,
2005-07,3.302,
2005-08,3.447,
2005-09,3.426,
2005-10,3.406,
2005-11,3.560,
2005-12,3.184,
2006-01,3.501,
2006-02,3.609,
2006-03,3.399,
2006-04,3.498,
2006-05,3.445,
2006-06,3.607,
2006-07,3.535,
2006-08,3.543,
2006-09,6.559,
2006-10,6.640,
2006-11,6.517,
2006-12,3.870,
2007-01,4.452,
2007-02,5.005,
2007-03,4.839,
2007-04,4.224,
2007-05,4.355,
2007-06,4.163,
2007-07,3.543,
2007-08,3.517,
2007-09,3.435,
2007-10,4.210,
2007-11,3.855,
2007-12,4.524,
2008-01,4.222,
2008-02,4.250,
2008-03,4.335,
2008-04,3.894,
2008-05,4.641,
2008-06,5.134,
2008-07,4.334,
2008-08,3.942,
2008-09,3.976,
2008-10,5.298,
2008-11,4.799,
2008-12,3.934,
2009-01,4.923,
2009-02,4.383,
2009-03,3.937,
2009-04,4.333,
2009-05,3.718,
2009-06,3.609,
2009-07,2.925,
2009-08,2.894,
2009-09,3.023,
2009-10,2.719,
2009-11,2.919,
2009-12,2.905,
2010-01,2.728,
2010-02,2.787,
2010-03,3.165,
2010-04,3.243,
2010-05,3.326,
2010-06,4.911,
2010-07,4.026,
2010-08,4.105,
2010-09,4.354,
2010-10,4.913,
2010-11,5.271,
2010-12,4.306,
2011-01,3.898,
2011-02,3.315,
2011-03,4.377,
2011-04,4.030,
2011-05,3.984,
2011-06,4.146,
2011-07,4.122,
2011-08,8.553,
2011-09,11.211,
2011-10,10.239,
2011-11,11.031,
2011-12,6.683,
2012-01,8.226,
2012-02,8.734,
2012-03,11.089,
2012-04,13.287,
2012-05,14.979,
2012-06,13.128,
2012-07,13.524,
2012-08,13.032,
2012-09,12.938,
2012-10,14.705,
2012-11,13.163,
2012-12,11.966,
2013-01,11.886,
2013-02,12.514,
2013-03,12.476,
2013-04,13.032,
2013-05,13.491,
2013-06,11.145,
2013-07,9.723,
2013-08,4.491,
2013-09,4.842,
2013-10,3.814,
2013-11,4.564,
2013-12,3.607,
2014-01,4.161,
2014-02,3.528,
2014-03,4.125,
2014-04,4.401,
2014-05,6.745,
2014-06,4.230,
2014-07,4.111,
2014-08,4.041,
2014-09,4.509,
2014-10,5.060,
2014-11,5.784,
2014-12,5.794,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
