"",BBFB1.M.Y.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
1997-08,-3.84,
1997-09,-3.32,
1997-10,-3.90,
1997-11,-3.83,
1997-12,-3.00,
1998-01,-3.61,
1998-02,-3.72,
1998-03,-2.85,
1998-04,-4.09,
1998-05,-4.05,
1998-06,-3.35,
1998-07,-3.71,
1998-08,-4.19,
1998-09,-3.49,
1998-10,-4.44,
1998-11,-4.22,
1998-12,-3.21,
1999-01,-4.22,
1999-02,-4.45,
1999-03,-3.77,
1999-04,-4.46,
1999-05,-4.07,
1999-06,-4.76,
1999-07,-4.31,
1999-08,-4.19,
1999-09,-4.39,
1999-10,-4.46,
1999-11,-5.33,
1999-12,-4.82,
2000-01,-4.25,
2000-02,-4.64,
2000-03,-4.67,
2000-04,-4.63,
2000-05,-5.08,
2000-06,-4.67,
2000-07,-4.49,
2000-08,-5.39,
2000-09,-4.72,
2000-10,-5.59,
2000-11,-5.16,
2000-12,-4.89,
2001-01,-5.95,
2001-02,-5.20,
2001-03,-5.65,
2001-04,-5.83,
2001-05,-5.22,
2001-06,-5.22,
2001-07,-5.80,
2001-08,-5.66,
2001-09,-4.70,
2001-10,-4.14,
2001-11,-4.94,
2001-12,-4.05,
2002-01,-3.67,
2002-02,-4.20,
2002-03,-5.12,
2002-04,-3.67,
2002-05,-4.97,
2002-06,-3.53,
2002-07,-3.90,
2002-08,-3.80,
2002-09,-3.31,
2002-10,-3.14,
2002-11,-2.95,
2002-12,-3.42,
2003-01,-4.79,
2003-02,-4.84,
2003-03,-4.11,
2003-04,-3.97,
2003-05,-4.10,
2003-06,-3.71,
2003-07,-3.92,
2003-08,-4.09,
2003-09,-4.33,
2003-10,-3.97,
2003-11,-3.62,
2003-12,-4.02,
2004-01,-3.80,
2004-02,-4.25,
2004-03,-3.09,
2004-04,-3.48,
2004-05,-3.40,
2004-06,-3.45,
2004-07,-2.76,
2004-08,-3.00,
2004-09,-2.77,
2004-10,-2.76,
2004-11,-3.65,
2004-12,-2.88,
2005-01,-2.61,
2005-02,-3.57,
2005-03,-3.53,
2005-04,-3.38,
2005-05,-3.72,
2005-06,-3.45,
2005-07,-3.20,
2005-08,-3.34,
2005-09,-3.31,
2005-10,-3.66,
2005-11,-3.30,
2005-12,-3.83,
2006-01,-3.57,
2006-02,-3.23,
2006-03,-3.66,
2006-04,-2.93,
2006-05,-2.84,
2006-06,-1.68,
2006-07,-2.65,
2006-08,-2.38,
2006-09,-3.27,
2006-10,-2.42,
2006-11,-2.86,
2006-12,-3.78,
2007-01,-2.86,
2007-02,-3.61,
2007-03,-3.19,
2007-04,-3.04,
2007-05,-2.72,
2007-06,-2.62,
2007-07,-2.96,
2007-08,-3.08,
2007-09,-3.09,
2007-10,-3.07,
2007-11,-3.74,
2007-12,-3.32,
2008-01,-2.16,
2008-02,-2.50,
2008-03,-3.30,
2008-04,-3.15,
2008-05,-3.20,
2008-06,-2.77,
2008-07,-2.48,
2008-08,-2.51,
2008-09,-3.07,
2008-10,-2.15,
2008-11,-2.19,
2008-12,-2.16,
2009-01,-2.46,
2009-02,-1.42,
2009-03,-1.05,
2009-04,-1.36,
2009-05,-1.50,
2009-06,-2.52,
2009-07,-2.22,
2009-08,-1.21,
2009-09,-1.90,
2009-10,-2.14,
2009-11,-1.69,
2009-12,-1.47,
2010-01,-1.66,
2010-02,-2.23,
2010-03,-2.04,
2010-04,-2.04,
2010-05,-2.55,
2010-06,-3.47,
2010-07,-2.51,
2010-08,-2.15,
2010-09,-2.30,
2010-10,-2.18,
2010-11,-2.70,
2010-12,-3.37,
2011-01,-2.37,
2011-02,-2.95,
2011-03,-2.13,
2011-04,-3.02,
2011-05,-2.61,
2011-06,-3.40,
2011-07,-3.11,
2011-08,-3.19,
2011-09,-2.46,
2011-10,-2.35,
2011-11,-3.16,
2011-12,-2.55,
2012-01,-3.14,
2012-02,-2.63,
2012-03,-3.05,
2012-04,-2.50,
2012-05,-3.57,
2012-06,-2.68,
2012-07,-2.93,
2012-08,-3.06,
2012-09,-3.23,
2012-10,-3.11,
2012-11,-3.37,
2012-12,-3.00,
2013-01,-3.83,
2013-02,-4.60,
2013-03,-4.39,
2013-04,-3.74,
2013-05,-4.48,
2013-06,-3.94,
2013-07,-4.08,
2013-08,-3.66,
2013-09,-3.26,
2013-10,-4.74,
2013-11,-3.51,
2013-12,-3.79,
2014-01,-3.06,
2014-02,-2.63,Provisional value
2014-03,-2.73,Provisional value
2014-04,-3.25,Provisional value
2014-05,-2.78,Provisional value
2014-06,-3.31,Provisional value
2014-07,-3.22,Provisional value
2014-08,-3.89,Provisional value
2014-09,-3.86,
2014-10,-4.09,
2014-11,-4.28,
2014-12,-4.16,Provisional value
