"",BBEX3.M.CVE.USD.CA.AB.A01,BBEX3.M.CVE.USD.CA.AB.A01_FLAGS
2011-06,76.541,
2011-07,77.426,
2011-08,76.663,
2011-09,81.089,
2011-10,77.972,
2011-11,82.783,
2011-12,85.651,
2012-01,84.209,
2012-02,82.058,
2012-03,83.182,
2012-04,83.452,
2012-05,88.753,
2012-06,88.895,
2012-07,90.143,
2012-08,88.004,
2012-09,85.750,
2012-10,85.169,
2012-11,84.959,
2012-12,83.219,
2013-01,81.531,
2013-02,84.292,
2013-03,86.461,
2013-04,84.189,
2013-05,85.287,
2013-06,84.712,
2013-07,83.107,
2013-08,83.219,
2013-09,81.556,
2013-10,80.265,
2013-11,81.226,
2013-12,80.102,
2014-01,81.334,
2014-02,80.846,
2014-03,80.241,
2014-04,79.853,
2014-05,81.107,
2014-06,81.059,
2014-07,82.382,
2014-08,83.775,
2014-09,86.917,
2014-10,87.627,
2014-11,88.454,
2014-12,90.779,
2015-01,97.551,
2015-02,97.534,
"","Source: Banco de Cabo Verde, Praia.",
