"",BBEE1.M.DE.AAA.XY0AAA.R.AACPB.M00,BBEE1.M.DE.AAA.XY0AAA.R.AACPB.M00_FLAGS
2010-07,98.0,
2010-08,97.7,
2010-09,97.9,
2010-10,99.2,
2010-11,98.7,
2010-12,97.7,
2011-01,97.8,
2011-02,98.1,
2011-03,98.9,
2011-04,99.7,
2011-05,99.1,
2011-06,99.1,
2011-07,98.7,
2011-08,98.3,
2011-09,97.9,
2011-10,97.9,
2011-11,97.6,
2011-12,96.9,
2012-01,96.2,
2012-02,96.9,
2012-03,97.1,
2012-04,96.8,
2012-05,96.1,
2012-06,95.7,
2012-07,95.0,
2012-08,95.1,
2012-09,95.8,
2012-10,95.9,
2012-11,95.9,
2012-12,96.5,
2013-01,97.5,
2013-02,98.2,
2013-03,97.6,
2013-04,98.0,
2013-05,98.3,
2013-06,98.4,
2013-07,98.6,
2013-08,98.7,
2013-09,98.6,
2013-10,98.8,
2013-11,98.9,
2013-12,99.3,
2014-01,99.1,
2014-02,99.1,
2014-03,99.3,
2014-04,99.2,
2014-05,98.9,
2014-06,98.6,
2014-07,98.6,
2014-08,98.4,
2014-09,98.1,
2014-10,97.5,Provisional value
2014-11,97.7,Provisional value
2014-12,97.4,Provisional value
2015-01,95.7,Provisional value
"","Source: Bundesbank calculations on the basis of seasonally adjusted consumer price indices (from 1995, HICP where available).",
"","Methodology: Geometrically weighted indicator of price competitiveness, based on consumer price indices.                                           Weighting scheme drawn up on the basis of foreign trade in the field of manufacturing (SITC 5-8). Starting with the period between 1995 and 1997, the weighting is updated every three years. The final respected weighting period until the current date: years between 2007 and 2009. In order to capture third-market effects, export shares were derived on the basis of the principle of ""double weighting"".                 For details of the methodology see the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).   Group of countries: Austria, Belgium, Canada, Cyprus (from 2008), Denmark, Estonia (from 2011), Finland, France, Germany (up to 1994, West Germany as formerly defined), Greece (from 2001), Ireland, Italy, Japan, Latvia (from 2014), Lithuania (from 2015), Luxembourg, Malta (from 2008), Netherlands, Norway, Portugal, Slovakia (from 2009), Slovenia (from 2007), Spain, Sweden, Switzerland, the United Kingdom and the United States           (the reference country is included in the group of countries cited).",
