"",BBEX3.M.BWP.USD.CM.AC.A01,BBEX3.M.BWP.USD.CM.AC.A01_FLAGS
1984-01,0.84480,
1984-02,0.87800,
1984-03,0.86700,
1984-04,0.85520,
1984-05,0.84360,
1984-06,0.81910,
1984-07,0.71560,
1984-08,0.73460,
1984-09,0.70480,
1984-10,0.66340,
1984-11,0.66580,
1984-12,0.64100,
1985-01,0.55940,comment
1985-02,0.55460,
1985-03,0.58440,
1985-04,0.57500,
1985-05,0.55860,
1985-06,0.56680,
1985-07,0.52710,
1985-08,0.45950,comment
1985-09,0.49010,
1985-10,0.48210,
1985-11,0.46540,
1985-12,0.47600,
1986-01,0.53020,
1986-02,0.60680,
1986-03,0.58020,
1986-04,0.59660,
1986-05,0.53780,
1986-06,0.48910,
1986-07,0.48430,
1986-08,0.48280,
1986-09,0.54110,
1986-10,0.52660,
1986-11,0.53930,
1986-12,0.54420,
1987-01,0.58950,
1987-02,0.58380,
1987-03,0.59980,
1987-04,0.60540,
1987-05,0.59620,
1987-06,0.59150,
1987-07,0.58610,
1987-08,0.59430,
1987-09,0.58680,
1987-10,0.61280,
1987-11,0.62680,
1987-12,0.63700,
1988-01,0.61770,
1988-02,0.59790,
1988-03,0.59050,
1988-04,0.57910,
1988-05,0.55610,
1988-06,0.53640,
1988-07,0.51170,
1988-08,0.50710,
1988-09,0.50140,
1988-10,0.50630,
1988-11,0.53040,
1988-12,0.51660,
1989-01,0.51030,
1989-02,0.49990,
1989-03,0.48760,
1989-04,0.48790,
1989-05,0.45460,
1989-06,0.47940,
1989-07,0.50240,
1989-08,0.48680,
1989-09,0.50005,
1989-10,0.51135,
1989-11,0.51895,
1989-12,0.53415,
1990-01,0.53650,
1990-02,0.53765,
1990-03,0.52695,
1990-04,0.52865,
1990-05,0.53385,
1990-06,0.53740,
1990-07,0.55180,
1990-08,0.54480,
1990-09,0.52985,
1990-10,0.53855,
1990-11,0.54120,
1990-12,0.53440,
1991-01,0.53850,
1991-02,0.53450,
1991-03,0.50155,
1991-04,0.49405,
1991-05,0.49250,
1991-06,0.48170,
1991-07,0.48600,
1991-08,0.48545,
1991-09,0.46655,comment
1991-10,0.46710,
1991-11,0.47060,
1991-12,0.48250,
1992-01,0.47100,
1992-02,0.46490,
1992-03,0.46190,
1992-04,0.46240,
1992-05,0.46940,
1992-06,0.47990,
1992-07,0.48320,
1992-08,0.48865,
1992-09,0.47545,
1992-10,0.45690,
1992-11,0.44735,
1992-12,0.44305,
1993-01,0.44115,
1993-02,0.43205,
1993-03,0.42675,
1993-04,0.42925,
1993-05,0.42670,
1993-06,0.40790,
1993-07,0.40180,
1993-08,0.40210,
1993-09,0.39660,
1993-10,0.39550,
1993-11,0.39395,
1993-12,0.38985,
1994-01,0.38565,
1994-02,0.38520,
1994-03,0.38590,
1994-04,0.38105,
1994-05,0.37075,
1994-06,0.36175,
1994-07,0.35825,
1994-08,0.36475,
1994-09,0.36745,
1994-10,0.37305,
1994-11,0.36735,
1994-12,0.36795,
1995-01,0.37055,
1995-02,0.36645,
1995-03,0.36815,
1995-04,0.36425,
1995-05,0.36035,
1995-06,0.36205,
1995-07,0.36235,
1995-08,0.35495,
1995-09,0.35640,
1995-10,0.35555,
1995-11,0.35385,
1995-12,0.35485,
1996-01,0.35005,
1996-02,0.33770,
1996-03,0.32710,
1996-04,0.29845,
1996-05,0.29510,
1996-06,0.29675,
1996-07,0.29035,
1996-08,0.28695,
1996-09,0.28415,comment
1996-10,0.27535,
1996-11,0.27805,
1996-12,0.27420,
1997-01,0.27665,
1997-02,0.28005,
1997-03,0.28255,
1997-04,0.28045,
1997-05,0.28085,
1997-06,0.27805,
1997-07,0.27255,
1997-08,0.26995,
1997-09,0.27075,
1997-10,0.26650,
1997-11,0.26355,
1997-12,0.26255,
1998-01,0.25975,
1998-02,0.25995,
1998-03,0.25585,
1998-04,0.25605,
1998-05,0.25185,
1998-06,0.23015,
1998-07,0.21630,
1998-08,0.20925,
1998-09,0.22330,
1998-10,0.22910,
1998-11,0.22670,
1998-12,0.22445,
1999-01,0.21955,
1999-02,0.21515,
1999-03,0.21405,
1999-04,0.21585,
1999-05,0.21265,
1999-06,0.21590,
1999-07,0.21550,
1999-08,0.21720,
1999-09,0.21955,
1999-10,0.21665,
1999-11,0.21540,
1999-12,0.21580,
2000-01,0.21205,
2000-02,0.20995,
2000-03,0.20585,
2000-04,0.19765,
2000-05,0.19185,
2000-06,0.19555,
2000-07,0.19265,
2000-08,0.19430,
2000-09,0.19030,
2000-10,0.18545,
2000-11,0.18310,
2000-12,0.18645,
2001-01,0.18250,
2001-02,0.18425,
2001-03,0.17745,
2001-04,0.17810,
2001-05,0.17760,
2001-06,0.17610,
2001-07,0.17415,
2001-08,0.17395,
2001-09,0.16720,
2001-10,0.16140,
2001-11,0.15250,
2001-12,0.14240,
2002-01,0.14690,
2002-02,0.14750,
2002-03,0.14760,
2002-04,0.15520,
2002-05,0.16570,
2002-06,0.16100,
2002-07,0.16270,
2002-08,0.15880,
2002-09,0.15870,
2002-10,0.16490,
2002-11,0.17290,
2002-12,0.18345,
2003-01,0.18435,
2003-02,0.19035,
2003-03,0.19405,
2003-04,0.20735,
2003-05,0.19425,
2003-06,0.20425,
2003-07,0.20265,
2003-08,0.20505,
2003-09,0.20965,
2003-10,0.21605,
2003-11,0.22785,
2003-12,0.22560,
2004-01,0.21610,
2004-02,0.20695,
2004-03,0.21405,
2004-04,0.20185,
2004-05,0.20975,
2004-06,0.21435,
2004-07,0.21490,
2004-08,0.20575,
2004-09,0.21085,
2004-10,0.21940,
2004-11,0.22990,
2004-12,0.23430,
2005-01,0.22405,
2005-02,0.22930,
2005-03,0.21730,
2005-04,0.22105,
2005-05,0.18130,comment
2005-06,0.18180,
2005-07,0.18100,
2005-08,0.18310,
2005-09,0.18380,
2005-10,0.17710,
2005-11,0.17920,
2005-12,0.18150,
2006-01,0.18575,
2006-02,0.18315,
2006-03,0.18230,
2006-04,0.18420,
2006-05,0.17505,
2006-06,0.16560,
2006-07,0.16925,
2006-08,0.16585,
2006-09,0.15530,
2006-10,0.15750,
2006-11,0.16200,
2006-12,0.16545,
2007-01,0.16030,
2007-02,0.16060,
2007-03,0.15980,
2007-04,0.16210,
2007-05,0.16100,
2007-06,0.16155,
2007-07,0.16150,
2007-08,0.16120,
2007-09,0.16515,
2007-10,0.17025,
2007-11,0.16720,
2007-12,0.16625,
2008-01,0.15890,
2008-02,0.15495,
2008-03,0.15145,
2008-04,0.15620,
2008-05,0.15615,
2008-06,0.15305,
2008-07,0.15785,
2008-08,0.15225,
2008-09,0.14515,
2008-10,0.12610,
2008-11,0.12670,
2008-12,0.13230,
2009-01,0.12525,
2009-02,0.12530,
2009-03,0.12830,
2009-04,0.13875,
2009-05,0.14535,
2009-06,0.14715,
2009-07,0.14670,
2009-08,0.14675,
2009-09,0.15110,
2009-10,0.14795,
2009-11,0.15200,
2009-12,0.14990,
2010-01,0.14670,
2010-02,0.14395,
2010-03,0.14780,
2010-04,0.14730,
2010-05,0.14150,
2010-06,0.14160,
2010-07,0.14675,
2010-08,0.14530,
2010-09,0.15170,
2010-10,0.15140,
2010-11,0.14770,
2010-12,0.15500,
2011-01,0.14780,
2011-02,0.15080,
2011-03,0.15330,
2011-04,0.15690,
2011-05,0.15200,
2011-06,0.15310,
2011-07,0.15310,
2011-08,0.14960,
2011-09,0.13800,
2011-10,0.13855,
2011-11,0.13220,
2011-12,0.13315,
2012-01,0.13665,
2012-02,0.14070,
2012-03,0.13760,
2012-04,0.13675,
2012-05,0.12745,
2012-06,0.12935,
2012-07,0.13015,
2012-08,0.12870,
2012-09,0.13055,
2012-10,0.12710,
2012-11,0.12565,
2012-12,0.12865,
2013-01,0.12495,
2013-02,0.12400,
2013-03,0.12115,
2013-04,0.12325,
2013-05,0.11515,
2013-06,0.11615,
2013-07,0.11695,
2013-08,0.11445,
2013-09,0.11665,
2013-10,0.11745,
2013-11,0.11590,
2013-12,0.11395,
2014-01,0.10945,
2014-02,0.11320,
2014-03,0.11395,
2014-04,0.11425,
2014-05,0.11425,
2014-06,0.11365,
2014-07,0.11275,
2014-08,0.11255,
2014-09,0.10795,
2014-10,0.10915,
2014-11,0.10850,
2014-12,0.10515,
2015-01,0.10380,
"","Source: Calculated on the basis of the buying and selling rates of the Bank of Botswana, Gaborone.",
"",Comment on 1976-09: First rate recorded by us.,
"","Comment on 1982-05: On 7 May 1982, Botswana's currency was devalued by 10% against the reference basket of currencies.",
"","Comment on 1985-01: On 9 January 1985, Botswana's currency was devalued by around 15% against the reference basket of currencies.",
"",Comment on 1985-08: Exchange rate as of 27 August 1985.,
"",Comment on 1991-09: Exchange rate as of 27 September 1991.,
"",Comment on 1996-09: Exchange rate as of 27 September 1996.,
"","Comment on 2005-05: On 30 May 2005, Botswana's currency was devalued by 12% against the reference basket of currencies. We recorded the following exchange rates (buying/selling rate).  27 May 2005: BWP 1 = USD 0,2084 / 0,2079  30 May 2005: BWP 1 = USD 0,1844 / 0,1825.  Calculated devaluation: 11.9% (middle rate).",
