"",BBEX3.M.JPY.USD.CA.AB.A02,BBEX3.M.JPY.USD.CA.AB.A02_FLAGS
1999-12,103.77,
2000-01,106.23,
2000-02,110.42,
2000-03,107.75,
2000-04,106.54,
2000-05,109.20,
2000-06,107.34,
2000-07,108.94,
2000-08,109.21,
2000-09,107.81,
2000-10,109.39,
2000-11,109.95,
2000-12,113.23,
2001-01,118.19,
2001-02,117.17,
2001-03,122.07,
2001-04,124.94,
2001-05,122.97,
2001-06,123.21,
2001-07,125.60,
2001-08,122.67,
2001-09,119.88,
2001-10,122.34,
2001-11,123.31,
2001-12,128.16,
2002-01,133.83,
2002-02,134.48,
2002-03,132.24,
2002-04,132.15,
2002-05,127.55,
2002-06,124.54,
2002-07,119.06,
2002-08,120.08,
2002-09,121.58,
2002-10,124.95,
2002-11,122.56,
2002-12,123.23,
2003-01,119.71,
2003-02,120.43,
2003-03,119.67,
2003-04,120.84,
2003-05,118.32,
2003-06,119.34,
2003-07,119.73,
2003-08,119.83,
2003-09,116.23,
2003-10,110.55,
2003-11,110.23,
2003-12,109.02,
2004-01,107.43,
2004-02,107.61,
2004-03,109.76,
2004-04,108.46,
2004-05,113.55,
2004-06,110.44,
2004-07,110.40,
2004-08,111.40,
2004-09,111.07,
2004-10,110.06,
2004-11,105.93,
2004-12,104.89,
2005-01,104.28,
2005-02,105.93,
2005-03,106.21,
2005-04,108.46,
2005-05,107.84,
2005-06,109.68,
2005-07,112.95,
2005-08,111.79,
2005-09,112.09,
2005-10,115.96,
2005-11,119.44,
2005-12,119.83,
2006-01,116.49,
2006-02,118.97,
2006-03,118.36,
2006-04,118.05,
2006-05,112.51,
2006-06,115.74,
2006-07,116.75,
2006-08,116.91,
2006-09,118.11,
2006-10,119.76,
2006-11,118.41,
2006-12,118.17,
2007-01,121.68,
2007-02,121.54,
2007-03,118.34,
2007-04,119.86,
2007-05,121.83,
2007-06,123.73,
2007-07,122.67,
2007-08,117.88,
2007-09,116.06,
2007-10,116.81,
2007-11,112.34,
2007-12,113.22,
2008-01,108.68,
2008-02,108.24,
2008-03,102.09,
2008-04,103.52,
2008-05,105.38,
2008-06,107.93,
2008-07,107.82,
2008-08,110.33,
2008-09,107.82,
2008-10,101.36,
2008-11,97.85,
2008-12,92.67,
2009-01,91.41,
2009-02,93.43,
2009-03,98.98,
2009-04,99.97,
2009-05,97.39,
2009-06,97.57,
2009-07,95.51,
2009-08,95.91,
2009-09,92.53,
2009-10,91.36,
2009-11,90.22,
2009-12,90.35,
2010-01,92.22,
2010-02,91.37,
2010-03,91.52,
2010-04,94.34,
2010-05,92.70,
2010-06,91.86,
2010-07,88.75,
2010-08,86.50,
2010-09,85.45,
2010-10,82.93,
2010-11,83.54,
2010-12,84.46,
2011-01,83.66,
2011-02,83.54,
2011-03,82.81,
2011-04,84.60,
2011-05,82.23,
2011-06,81.54,
2011-07,80.51,
2011-08,78.27,
2011-09,77.88,
2011-10,77.73,
2011-11,78.60,
2011-12,78.88,
2012-01,77.98,
2012-02,79.40,
2012-03,83.46,
2012-04,82.50,
2012-05,80.74,
2012-06,80.30,
2012-07,80.02,
2012-08,79.68,
2012-09,79.17,
2012-10,80.02,
2012-11,81.89,
2012-12,84.48,
2013-01,90.24,
2013-02,94.23,
2013-03,95.83,
2013-04,98.90,
2013-05,102.36,
2013-06,98.44,
2013-07,100.77,
2013-08,98.85,
2013-09,100.23,
2013-10,98.89,
2013-11,101.02,
2013-12,104.36,
2014-01,105.00,
2014-02,103.14,
2014-03,103.27,
2014-04,103.57,
2014-05,102.81,
2014-06,103.06,
2014-07,102.73,
2014-08,103.97,
2014-09,108.07,
2014-10,108.96,
2014-11,117.21,
2014-12,120.32,
2015-01,119.33,
2015-02,119.59,
"",Source: Calculated on the basis of the daily rates of the following banks: Since 2006: Bank of Tokyo-Mitsubishi UFJ April 1996 - 2005: Bank of Tokyo-Mitsubishi 1980 - March 1996: Bank of Tokyo,
