"",BBFB1.M.N.DE.W1.S1.S1.T.B.SC3___BH._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SC3___BH._Z._Z._Z._T._X.N_FLAGS
1999-06,-472.709,
1999-07,-451.363,
1999-08,-427.934,
1999-09,-484.387,
1999-10,-499.187,
1999-11,-501.939,
1999-12,-543.299,
2000-01,-542.512,
2000-02,-514.273,
2000-03,-586.020,
2000-04,-501.817,
2000-05,-650.909,
2000-06,-593.575,
2000-07,-556.680,
2000-08,-619.127,
2000-09,-595.289,
2000-10,-609.503,
2000-11,-666.206,
2000-12,-624.627,
2001-01,-635.736,
2001-02,-616.337,
2001-03,-648.177,
2001-04,-629.708,
2001-05,-643.870,
2001-06,-673.970,
2001-07,-660.574,
2001-08,-599.119,
2001-09,-568.073,
2001-10,-632.513,
2001-11,-578.397,
2001-12,-511.610,
2002-01,-585.951,
2002-02,-607.806,
2002-03,-571.094,
2002-04,-640.735,
2002-05,-580.734,
2002-06,-607.974,
2002-07,-600.208,
2002-08,-584.288,
2002-09,-594.956,
2002-10,-651.230,
2002-11,-627.473,
2002-12,-593.918,
2003-01,-609.906,
2003-02,-595.314,
2003-03,-617.784,
2003-04,-630.431,
2003-05,-631.040,
2003-06,-626.981,
2003-07,-710.048,
2003-08,-606.757,
2003-09,-658.265,
2003-10,-701.833,
2003-11,-699.985,
2003-12,-647.823,
2004-01,-728.909,
2004-02,-672.271,
2004-03,-767.427,
2004-04,-771.752,
2004-05,-697.116,
2004-06,-712.764,
2004-07,-736.314,
2004-08,-700.567,
2004-09,-746.246,
2004-10,-755.398,
2004-11,-782.579,
2004-12,-724.272,
2005-01,-809.361,
2005-02,-826.880,
2005-03,-853.388,
2005-04,-871.707,
2005-05,-928.870,
2005-06,-884.846,
2005-07,-839.545,
2005-08,-897.638,
2005-09,-830.707,
2005-10,-883.912,
2005-11,-882.150,
2005-12,-824.173,
2006-01,-872.468,
2006-02,-824.954,
2006-03,-915.689,
2006-04,-862.032,
2006-05,-923.387,
2006-06,-881.548,
2006-07,-910.257,
2006-08,-913.031,
2006-09,-922.190,
2006-10,-1054.557,
2006-11,-1037.824,
2006-12,-939.096,
2007-01,-988.983,
2007-02,-990.948,
2007-03,-991.805,
2007-04,-1072.795,
2007-05,-1109.603,
2007-06,-1138.774,
2007-07,-1096.654,
2007-08,-1179.828,
2007-09,-1171.151,
2007-10,-1316.249,
2007-11,-1260.370,
2007-12,-1190.663,
2008-01,-1288.881,
2008-02,-1235.516,
2008-03,-1184.978,
2008-04,-1241.732,
2008-05,-1280.524,
2008-06,-1309.127,
2008-07,-1290.668,
2008-08,-1165.459,
2008-09,-1239.790,
2008-10,-1171.389,
2008-11,-1056.732,
2008-12,-832.596,
2009-01,-766.042,
2009-02,-816.576,
2009-03,-849.479,
2009-04,-795.372,
2009-05,-865.436,
2009-06,-911.606,
2009-07,-918.512,
2009-08,-873.966,
2009-09,-977.574,
2009-10,-956.146,
2009-11,-873.806,
2009-12,-907.211,
2010-01,-923.072,
2010-02,-971.407,
2010-03,-1153.202,
2010-04,-1100.265,
2010-05,-1236.082,
2010-06,-1247.653,
2010-07,-1159.354,
2010-08,-1217.860,
2010-09,-1206.418,
2010-10,-1165.618,
2010-11,-1149.247,
2010-12,-1121.426,
2011-01,-1080.587,
2011-02,-1020.328,
2011-03,-1148.783,
2011-04,-1029.780,
2011-05,-1079.271,
2011-06,-1093.352,
2011-07,-1028.533,
2011-08,-1024.070,
2011-09,-1111.929,
2011-10,-1039.480,
2011-11,-1090.562,
2011-12,-1015.221,
2012-01,-1018.324,
2012-02,-1033.812,
2012-03,-1132.635,
2012-04,-1033.700,
2012-05,-1074.639,
2012-06,-1042.938,
2012-07,-1061.098,
2012-08,-976.923,
2012-09,-963.950,
2012-10,-1099.874,
2012-11,-1033.269,
2012-12,-950.856,
2013-01,-691.616,
2013-02,-618.829,
2013-03,-753.803,
2013-04,-705.242,
2013-05,-715.189,
2013-06,-725.336,
2013-07,-724.615,
2013-08,-899.387,
2013-09,-801.528,
2013-10,-840.620,
2013-11,-922.780,
2013-12,-849.574,
2014-01,-868.311,
2014-02,-852.413,Provisional value
2014-03,-835.307,Provisional value
2014-04,-803.972,Provisional value
2014-05,-828.521,Provisional value
2014-06,-787.465,Provisional value
2014-07,-833.974,Provisional value
2014-08,-805.905,Provisional value
2014-09,-889.606,
2014-10,-882.461,
2014-11,-892.412,
2014-12,-906.592,Provisional value
