"",BBEX3.M.HNL.USD.CA.AA.A01,BBEX3.M.HNL.USD.CA.AA.A01_FLAGS
2006-10,18.9000,
2006-11,18.9000,
2006-12,18.9000,
2007-01,18.9000,
2007-02,18.9000,
2007-03,18.9000,
2007-04,18.9000,
2007-05,18.9000,
2007-06,18.9000,
2007-07,18.9000,
2007-08,18.9000,
2007-09,18.9000,
2007-10,18.9000,
2007-11,18.9000,
2007-12,18.9000,
2008-01,18.9000,
2008-02,18.9000,
2008-03,18.9000,
2008-04,18.9700,
2008-05,18.9200,
2008-06,18.9000,
2008-07,18.9000,
2008-08,18.9000,
2008-09,18.9000,
2008-10,18.8951,
2008-11,18.8951,
2008-12,18.8951,
2009-01,18.8951,
2009-02,18.8951,
2009-03,18.8951,
2009-04,18.8951,
2009-05,18.8951,
2009-06,18.8951,
2009-07,18.8951,
2009-08,18.8951,
2009-09,18.8951,
2009-10,18.8951,
2009-11,18.8951,
2009-12,18.8951,
2010-01,18.8951,
2010-02,18.8951,
2010-03,18.8952,
2010-04,18.8951,
2010-05,18.8951,
2010-06,18.8951,
2010-07,18.8951,
2010-08,18.8951,
2010-09,18.8951,
2010-10,18.8951,
2010-11,18.8951,
2010-12,18.8951,
2011-01,18.8951,
2011-02,18.8951,
2011-03,18.8951,
2011-04,18.8951,
2011-05,18.8951,
2011-06,18.8951,
2011-07,18.7744,
2011-08,18.8856,
2011-09,18.9614,
2011-10,19.0239,
2011-11,18.9715,
2011-12,19.0484,
2012-01,19.1234,
2012-02,19.1989,
2012-03,19.2782,
2012-04,19.3362,
2012-05,19.4161,
2012-06,19.4926,
2012-07,19.5731,
2012-08,19.6577,
2012-09,19.7317,
2012-10,19.8057,
2012-11,19.8876,
2012-12,19.9623,
2013-01,20.0410,
2013-02,20.1163,
2013-03,20.1805,
2013-04,20.2563,
2013-05,20.3399,
2013-06,20.4164,
2013-07,20.4632,
2013-08,20.4743,
2013-09,20.5467,
2013-10,20.5407,
2013-11,20.5855,
2013-12,20.5975,
2014-01,20.6458,
2014-02,20.6897,
2014-03,20.7513,
2014-04,20.8044,
2014-05,20.8595,
2014-06,20.9718,
2014-07,20.9789,
2014-08,21.1039,
2014-09,21.2356,
2014-10,21.3053,
2014-11,21.4235,
2014-12,21.5124,
2015-01,21.7097,
"","General: Until 25 March 1991, an exchange rate of USD 1 = HNL 2 applied to the servicing of government debt.",
"","Source: Since March 2003: Banco Central de Honduras, Tegucigalpa 1991 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
"",Comment on 1992-06: Exchange rate on 19 June 1992.,
"",Comment on 1994-03: Exchange rate on 25 March 1994.,
"",Comment on 1998-06: Exchange rate on 26 June 1998.,
"",Comment on 1998-08: Exchange rate on 28 August 1998.,
"",Comment on 1998-10: Exchange rate on 6 November 1998.,
"",Comment on 2000-01: Exchange rate on 21 January 2000.,
