"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.B000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.B000.Z06.BGA.X001.D_FLAGS
1994-11,3.497,
1994-12,3.539,
1995-01,3.627,
1995-02,3.429,
1995-03,3.571,
1995-04,3.610,
1995-05,3.636,
1995-06,3.603,
1995-07,3.921,
1995-08,3.859,
1995-09,4.181,
1995-10,4.311,
1995-11,4.587,
1995-12,4.514,
1996-01,4.511,
1996-02,4.482,
1996-03,4.411,
1996-04,4.444,
1996-05,4.393,
1996-06,4.395,
1996-07,4.434,
1996-08,4.419,
1996-09,4.333,
1996-10,4.343,
1996-11,4.191,
1996-12,4.202,
1997-01,4.250,
1997-02,4.266,
1997-03,4.158,
1997-04,4.249,
1997-05,4.183,
1997-06,4.148,
1997-07,4.171,
1997-08,4.334,
1997-09,4.409,
1997-10,4.434,
1997-11,4.392,
1997-12,4.334,
1998-01,4.363,
1998-02,4.305,
1998-03,4.361,
1998-04,4.427,
1998-05,4.439,
1998-06,4.469,
1998-07,4.444,
1998-08,4.679,
1998-09,5.125,
1998-10,5.038,
1998-11,5.031,
1998-12,5.090,
1999-01,4.654,
1999-02,4.863,
1999-03,4.903,
1999-04,5.048,
1999-05,5.078,
1999-06,5.119,
1999-07,5.183,
1999-08,5.198,
1999-09,5.376,
1999-10,5.244,
1999-11,5.270,
1999-12,5.362,
2000-01,5.223,
2000-02,5.224,
2000-03,5.357,
2000-04,5.219,
2000-05,5.091,
2000-06,5.215,
2000-07,5.264,
2000-08,5.306,
2000-09,5.473,
2000-10,5.639,
2000-11,5.632,
2000-12,6.415,
2001-01,6.348,
2001-02,5.773,
2001-03,5.324,
2001-04,5.943,
2001-05,5.714,
2001-06,5.747,
2001-07,6.111,
2001-08,6.681,
2001-09,6.623,
2001-10,6.852,
2001-11,6.904,
2001-12,6.824,
2002-01,6.917,
2002-02,6.963,
2002-03,6.520,
2002-04,6.510,
2002-05,6.368,
2002-06,6.188,
2002-07,6.053,
2002-08,5.825,
2002-09,5.792,
2002-10,5.227,
2002-11,5.209,
2002-12,5.262,
2003-01,5.202,
2003-02,5.346,
2003-03,5.203,
2003-04,5.122,
2003-05,4.594,
2003-06,4.995,
2003-07,4.777,
2003-08,4.828,
2003-09,4.842,
2003-10,5.056,
2003-11,5.065,
2003-12,4.857,
2004-01,4.877,
2004-02,5.251,
2004-03,4.981,
2004-04,4.998,
2004-05,5.157,
2004-06,4.869,
2004-07,4.847,
2004-08,4.783,
2004-09,4.588,
2004-10,4.400,
2004-11,4.398,
2004-12,4.233,
2005-01,4.523,
2005-02,4.547,
2005-03,4.608,
2005-04,4.788,
2005-05,4.897,
2005-06,5.571,
2005-07,6.095,
2005-08,6.024,
2005-09,6.001,
2005-10,5.897,
2005-11,5.883,
2005-12,5.813,
2006-01,6.802,
2006-02,7.182,
2006-03,6.861,
2006-04,6.897,
2006-05,6.716,
2006-06,6.678,
2006-07,6.688,
2006-08,6.689,
2006-09,7.193,
2006-10,7.793,
2006-11,7.827,
2006-12,9.328,
2007-01,9.285,
2007-02,8.948,
2007-03,8.834,
2007-04,9.377,
2007-05,10.226,
2007-06,10.567,
2007-07,11.079,
2007-08,11.094,
2007-09,10.934,
2007-10,10.817,
2007-11,10.626,
2007-12,9.526,
2008-01,9.455,
2008-02,9.435,
2008-03,9.440,
2008-04,9.453,
2008-05,9.881,
2008-06,9.704,
2008-07,9.876,
2008-08,10.136,
2008-09,9.851,
2008-10,10.291,
2008-11,10.372,
2008-12,9.839,
2009-01,10.397,
2009-02,10.463,
2009-03,10.372,
2009-04,10.454,
2009-05,10.241,
2009-06,10.005,
2009-07,10.171,
2009-08,11.125,
2009-09,11.208,
2009-10,11.434,
2009-11,11.217,
2009-12,10.410,
2010-01,10.195,
2010-02,10.360,
2010-03,11.054,
2010-04,10.988,
2010-05,11.412,
2010-06,10.310,
2010-07,10.682,
2010-08,10.730,
2010-09,10.440,
2010-10,9.843,
2010-11,10.063,
2010-12,10.280,
2011-01,10.227,
2011-02,10.312,
2011-03,10.126,
2011-04,9.803,
2011-05,10.452,
2011-06,10.315,
2011-07,10.419,
2011-08,10.373,
2011-09,9.507,
2011-10,9.700,
2011-11,9.741,
2011-12,9.761,
2012-01,9.495,
2012-02,9.996,
2012-03,9.919,
2012-04,10.489,
2012-05,9.957,
2012-06,10.157,
2012-07,10.169,
2012-08,12.196,
2012-09,10.879,
2012-10,10.749,
2012-11,11.030,
2012-12,10.902,
2013-01,10.501,
2013-02,10.343,
2013-03,10.503,
2013-04,9.376,
2013-05,8.768,
2013-06,8.750,
2013-07,8.493,
2013-08,6.964,
2013-09,8.598,
2013-10,8.641,
2013-11,8.358,
2013-12,8.286,
2014-01,8.393,
2014-02,8.311,
2014-03,8.567,
2014-04,8.337,
2014-05,8.298,
2014-06,8.219,
2014-07,7.829,
2014-08,7.833,
2014-09,7.864,
2014-10,7.644,
2014-11,7.677,
2014-12,7.719,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
