"",BBFN1.M.DE.N.1.L.NO.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NO.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1991-04,0.100,
1991-05,0.102,
1991-06,0.098,
1991-07,0.100,
1991-08,0.100,
1991-09,0.100,
1991-10,0.099,
1991-11,0.098,
1991-12,0.091,
1992-01,0.090,
1992-02,0.090,
1992-03,0.090,
1992-04,0.090,
1992-05,0.088,
1992-06,0.092,
1992-07,0.093,
1992-08,0.092,
1992-09,0.093,
1992-10,0.093,
1992-11,0.094,
1992-12,0.095,
1993-01,0.093,
1993-02,0.093,
1993-03,0.093,
1993-04,0.054,
1993-05,0.039,
1993-06,0.036,
1993-07,0.036,
1993-08,0.034,
1993-09,0.047,
1993-10,0.045,
1993-11,0.045,
1993-12,0.044,
1994-01,0.040,
1994-02,0.044,
1994-03,0.044,
1994-04,0.036,
1994-05,0.043,
1994-06,0.042,
1994-07,0.031,
1994-08,0.037,
1994-09,0.051,
1994-10,0.046,
1994-11,0.047,
1994-12,0.046,
1995-01,0.044,
1995-02,0.042,
1995-03,0.043,
1995-04,0.042,
1995-05,0.041,
1995-06,0.047,
1995-07,0.047,
1995-08,0.031,
1995-09,0.034,
1995-10,0.034,
1995-11,0.035,
1995-12,0.033,
1996-01,0.033,
1996-02,0.033,
1996-03,0.033,
1996-04,0.033,
1996-05,0.033,
1996-06,0.033,
1996-07,0.033,
1996-08,.,No value available
1996-09,.,No value available
1996-10,0.027,
1996-11,0.026,
1996-12,0.036,
1997-01,0.029,
1997-02,0.029,
1997-03,0.028,
1997-04,0.028,
1997-05,0.028,
1997-06,0.030,
1997-07,0.031,
1997-08,0.031,
1997-09,0.030,
1997-10,0.030,
1997-11,0.030,
1997-12,0.047,
1998-01,.,No value available
1998-02,.,No value available
1998-03,0.043,
1998-04,0.042,
1998-05,0.043,
1998-06,0.041,
1998-07,0.046,
1998-08,0.046,
1998-09,0.043,
1998-10,0.043,
1998-11,0.043,
1998-12,0.076,
1999-01,0.075,
1999-02,0.075,
1999-03,0.075,
1999-04,0.076,
1999-05,0.076,
1999-06,0.074,
1999-07,0.074,
1999-08,0.075,
1999-09,0.072,
1999-10,0.072,
1999-11,0.075,
1999-12,0.075,
2000-01,0.075,
2000-02,0.075,
2000-03,0.075,
2000-04,.,No value available
2000-05,0.075,
2000-06,0.075,
2000-07,0.074,
2000-08,0.056,
2000-09,0.057,
2000-10,0.057,
2000-11,0.057,
2000-12,0.046,
2001-01,0.049,
2001-02,0.053,
2001-03,0.053,
2001-04,0.055,
2001-05,0.055,
2001-06,0.055,
2001-07,0.054,
2001-08,0.056,
2001-09,0.056,
2001-10,0.062,
2001-11,0.062,
2001-12,0.063,
2002-01,0.063,
2002-02,0.060,
2002-03,0.054,
2002-04,0.054,
2002-05,0.305,
2002-06,0.279,
2002-07,0.279,
2002-08,0.278,
2002-09,0.278,
2002-10,0.278,
2002-11,0.278,
2002-12,0.274,
2003-01,0.278,
2003-02,0.278,
2003-03,0.278,
2003-04,0.278,
2003-05,0.278,
2003-06,0.278,
2003-07,0.278,
2003-08,0.278,
2003-09,0.278,
2003-10,0.278,
2003-11,0.198,
2003-12,0.183,
2004-01,0.187,
2004-02,0.182,
2004-03,0.181,
2004-04,0.181,
2004-05,0.181,
2004-06,0.181,
2004-07,0.136,
2004-08,0.136,
2004-09,0.136,
2004-10,0.136,
2004-11,0.135,
2004-12,0.131,
2005-01,0.132,
2005-02,0.132,
2005-03,0.132,
2005-04,0.132,
2005-05,0.131,
2005-06,0.131,
2005-07,0.131,
2005-08,0.131,
2005-09,0.131,
2005-10,0.130,
2005-11,0.130,
2005-12,0.132,
2006-01,0.138,
2006-02,0.138,
2006-03,0.146,
2006-04,0.146,
2006-05,0.148,
2006-06,0.148,
2006-07,0.148,
2006-08,0.152,
2006-09,0.152,
2006-10,0.187,
2006-11,0.186,
2006-12,0.191,
2007-01,0.191,
2007-02,0.191,
2007-03,0.191,
2007-04,0.191,
2007-05,0.191,
2007-06,0.191,
2007-07,0.191,
2007-08,0.191,
2007-09,0.193,
2007-10,0.193,
2007-11,0.253,
2007-12,0.276,
2008-01,0.280,
2008-02,0.276,
2008-03,0.306,
2008-04,0.324,
2008-05,0.494,
2008-06,0.507,
2008-07,0.507,
2008-08,0.550,
2008-09,0.541,
2008-10,0.543,
2008-11,0.534,
2008-12,0.526,
2009-01,0.528,
2009-02,0.554,
2009-03,0.717,
2009-04,0.743,
2009-05,0.737,
2009-06,0.739,
2009-07,0.746,
2009-08,0.688,
2009-09,0.606,
2009-10,0.616,
2009-11,0.592,
2009-12,0.610,
2010-01,0.561,
2010-02,0.555,
2010-03,0.575,
2010-04,0.543,
2010-05,0.544,
2010-06,0.493,
2010-07,0.580,
2010-08,0.581,
2010-09,0.641,
2010-10,0.641,
2010-11,0.621,
2010-12,0.637,
2011-01,0.669,
2011-02,0.641,
2011-03,0.637,
2011-04,0.632,
2011-05,0.628,
2011-06,0.638,
2011-07,0.647,
2011-08,0.643,
2011-09,0.672,
2011-10,0.610,
2011-11,0.636,
2011-12,0.698,
2012-01,0.780,
2012-02,0.774,
2012-03,0.693,
2012-04,0.702,
2012-05,0.693,
2012-06,0.697,
2012-07,0.751,
2012-08,0.742,
2012-09,0.751,
2012-10,0.791,
2012-11,0.789,
2012-12,0.772,
2013-01,1.034,
2013-02,1.032,
2013-03,1.035,
2013-04,1.027,
2013-05,1.104,
2013-06,1.096,
2013-07,1.105,
2013-08,1.100,
2013-09,1.091,
2013-10,1.090,
2013-11,1.082,
2013-12,1.071,
2014-01,1.068,
2014-02,1.057,
2014-03,1.052,
2014-04,1.073,
2014-05,1.070,
2014-06,1.067,
2014-07,1.061,
2014-08,1.061,
2014-09,1.040,
2014-10,1.035,
2014-11,1.028,
2014-12,1.032,
