"",BBFB1.M.Y.DE.W1.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
2009-11,4.74,
2009-12,4.21,
2010-01,4.66,
2010-02,4.78,
2010-03,4.89,
2010-04,5.12,
2010-05,5.10,
2010-06,5.18,
2010-07,4.75,
2010-08,4.81,
2010-09,4.83,
2010-10,4.62,
2010-11,5.30,
2010-12,5.37,
2011-01,5.17,
2011-02,5.11,
2011-03,4.50,
2011-04,4.56,
2011-05,5.09,
2011-06,5.51,
2011-07,5.32,
2011-08,4.99,
2011-09,5.32,
2011-10,5.32,
2011-11,5.10,
2011-12,5.26,
2012-01,5.16,
2012-02,5.04,
2012-03,5.38,
2012-04,4.89,
2012-05,5.07,
2012-06,5.50,
2012-07,4.82,
2012-08,5.52,
2012-09,5.79,
2012-10,5.37,
2012-11,5.17,
2012-12,4.81,
2013-01,5.54,
2013-02,5.89,
2013-03,5.47,
2013-04,4.99,
2013-05,5.62,
2013-06,5.68,
2013-07,5.95,
2013-08,5.83,
2013-09,5.75,
2013-10,5.92,
2013-11,5.94,
2013-12,5.76,
2014-01,5.50,
2014-02,5.09,Provisional value
2014-03,5.64,Provisional value
2014-04,5.84,Provisional value
2014-05,5.55,Provisional value
2014-06,5.65,Provisional value
2014-07,5.81,Provisional value
2014-08,6.25,Provisional value
2014-09,6.09,
2014-10,6.03,
2014-11,6.28,
2014-12,6.06,Provisional value
