"",BBFN1.M.DE.N.1.L.DK.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.DK.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
2004-12,0.068,
2005-01,0.067,
2005-02,0.057,
2005-03,0.057,
2005-04,0.057,
2005-05,0.057,
2005-06,0.057,
2005-07,0.056,
2005-08,0.053,
2005-09,0.051,
2005-10,0.052,
2005-11,0.170,
2005-12,0.169,
2006-01,0.167,
2006-02,0.167,
2006-03,0.167,
2006-04,0.167,
2006-05,0.167,
2006-06,0.166,
2006-07,0.220,
2006-08,0.220,
2006-09,0.218,
2006-10,0.218,
2006-11,0.216,
2006-12,3.530,
2007-01,3.527,
2007-02,3.527,
2007-03,3.527,
2007-04,4.127,
2007-05,4.127,
2007-06,4.260,
2007-07,4.260,
2007-08,4.241,
2007-09,4.104,
2007-10,4.104,
2007-11,4.104,
2007-12,3.305,
2008-01,3.302,
2008-02,3.302,
2008-03,3.381,
2008-04,3.381,
2008-05,3.394,
2008-06,3.281,
2008-07,3.284,
2008-08,3.283,
2008-09,3.282,
2008-10,3.371,
2008-11,3.376,
2008-12,3.094,
2009-01,3.217,
2009-02,3.173,
2009-03,3.172,
2009-04,3.172,
2009-05,3.172,
2009-06,3.066,
2009-07,3.063,
2009-08,3.063,
2009-09,3.062,
2009-10,3.070,
2009-11,3.069,
2009-12,3.244,
2010-01,3.241,
2010-02,3.241,
2010-03,3.211,
2010-04,3.211,
2010-05,3.211,
2010-06,3.190,
2010-07,2.977,
2010-08,3.028,
2010-09,2.966,
2010-10,2.888,
2010-11,2.989,
2010-12,2.822,
2011-01,2.790,
2011-02,2.840,
2011-03,2.791,
2011-04,2.735,
2011-05,2.775,
2011-06,2.571,
2011-07,2.587,
2011-08,2.572,
2011-09,0.297,
2011-10,0.296,
2011-11,0.297,
2011-12,0.270,
2012-01,0.269,
2012-02,0.293,
2012-03,0.509,
2012-04,0.426,
2012-05,0.428,
2012-06,0.421,
2012-07,0.424,
2012-08,0.423,
2012-09,0.420,
2012-10,0.419,
2012-11,0.419,
2012-12,0.411,
2013-01,0.408,
2013-02,0.408,
2013-03,0.410,
2013-04,0.843,
2013-05,0.835,
2013-06,0.834,
2013-07,0.831,
2013-08,0.798,
2013-09,0.800,
2013-10,0.799,
2013-11,0.789,
2013-12,0.734,
2014-01,0.732,
2014-02,0.669,
2014-03,0.662,
2014-04,0.661,
2014-05,0.641,
2014-06,0.648,
2014-07,0.647,
2014-08,0.550,
2014-09,0.549,
2014-10,0.544,
2014-11,0.527,
2014-12,0.526,
