"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.L.XDC._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.L.XDC._X.N_FLAGS
1997-06,1536.745,
1997-07,1347.791,
1997-08,-149.716,
1997-09,1279.764,
1997-10,1609.906,
1997-11,-366.914,
1997-12,-34.063,
1998-01,985.033,
1998-02,1089.194,
1998-03,1489.923,
1998-04,1563.870,
1998-05,1927.961,
1998-06,2535.156,
1998-07,2637.282,
1998-08,-5.736,
1998-09,-215.458,
1998-10,-696.947,
1998-11,2362.650,
1998-12,1138.155,
1999-01,6955.181,
1999-02,11163.209,
1999-03,14119.591,
1999-04,10586.754,
1999-05,13152.491,
1999-06,4703.797,
1999-07,6272.853,
1999-08,3558.313,
1999-09,7253.879,
1999-10,3499.745,
1999-11,4363.883,
1999-12,2427.705,
2000-01,9882.651,
2000-02,13116.549,
2000-03,5713.599,
2000-04,3365.880,
2000-05,6895.192,
2000-06,4286.890,
2000-07,7372.082,
2000-08,2547.894,
2000-09,9960.805,
2000-10,7496.742,
2000-11,3926.066,
2000-12,570.206,
2001-01,12815.161,
2001-02,9975.221,
2001-03,12584.440,
2001-04,7694.496,
2001-05,9860.412,
2001-06,9156.570,
2001-07,7399.836,
2001-08,2155.511,
2001-09,3165.943,
2001-10,3483.102,
2001-11,2034.040,
2001-12,8521.379,
2002-01,9932.187,
2002-02,470.206,
2002-03,8668.488,
2002-04,4284.162,
2002-05,10688.916,
2002-06,1944.658,
2002-07,5850.018,
2002-08,-2621.030,
2002-09,3568.917,
2002-10,797.231,
2002-11,6854.111,
2002-12,-4281.035,
2003-01,4406.440,
2003-02,7284.194,
2003-03,796.545,
2003-04,8993.817,
2003-05,7545.209,
2003-06,1170.986,
2003-07,-857.641,
2003-08,-369.019,
2003-09,7935.214,
2003-10,9155.066,
2003-11,3.948,
2003-12,1003.622,
2004-01,4352.080,
2004-02,7056.394,
2004-03,10045.513,
2004-04,7684.079,
2004-05,7679.625,
2004-06,9833.728,
2004-07,11951.539,
2004-08,-1031.405,
2004-09,6631.765,
2004-10,10206.880,
2004-11,1837.931,
2004-12,4220.489,
2005-01,10870.514,
2005-02,15843.367,
2005-03,19179.703,
2005-04,15421.212,
2005-05,6223.064,
2005-06,18035.875,
2005-07,-6192.226,
2005-08,3021.145,
2005-09,5094.220,
2005-10,1779.179,
2005-11,11775.199,
2005-12,10860.687,
2006-01,16398.254,
2006-02,5539.408,
2006-03,11563.457,
2006-04,4126.241,
2006-05,10791.010,
2006-06,13756.814,
2006-07,2722.301,
2006-08,-3877.588,
2006-09,10820.424,
2006-10,15255.933,
2006-11,19209.793,
2006-12,4378.633,
2007-01,17589.156,
2007-02,14638.188,
2007-03,17092.009,
2007-04,5109.601,
2007-05,14583.060,
2007-06,12093.414,
2007-07,-891.159,
2007-08,-2297.363,
2007-09,-4087.879,
2007-10,1291.854,
2007-11,-1033.026,
2007-12,-2696.483,
2008-01,-1992.467,
2008-02,3685.131,
2008-03,6119.019,
2008-04,220.699,
2008-05,18936.597,
2008-06,11595.254,
2008-07,-975.579,
2008-08,-18.228,
2008-09,-6418.051,
2008-10,-10330.752,
2008-11,2203.447,
2008-12,-2413.566,
2009-01,3289.653,
2009-02,8544.965,
2009-03,8902.943,
2009-04,2895.843,
2009-05,17156.682,
2009-06,4855.708,
2009-07,8477.224,
2009-08,3703.375,
2009-09,10035.677,
2009-10,4199.139,
2009-11,8569.108,
2009-12,5844.268,
2010-01,8908.511,
2010-02,5052.572,
2010-03,14142.422,
2010-04,462.380,
2010-05,-984.301,
2010-06,1935.016,
2010-07,1758.935,
2010-08,2416.389,
2010-09,7222.501,
2010-10,67212.594,
2010-11,-3368.858,
2010-12,-3922.047,
2011-01,5223.738,
2011-02,10410.211,
2011-03,2759.285,
2011-04,-3891.296,
2011-05,690.085,
2011-06,-5519.725,
2011-07,-6161.048,
2011-08,979.522,
2011-09,833.222,
2011-10,-691.472,
2011-11,7060.634,
2011-12,5088.848,
2012-01,21187.520,
2012-02,9604.225,
2012-03,2220.740,
2012-04,117.677,
2012-05,6217.838,
2012-06,-2351.414,
2012-07,6604.571,
2012-08,2039.515,
2012-09,6946.503,
2012-10,2620.765,
2012-11,8505.059,
2012-12,6524.789,
2013-01,9661.881,
2013-02,3117.127,
2013-03,6759.923,
2013-04,6219.518,
2013-05,15267.060,
2013-06,3454.728,
2013-07,2880.667,
2013-08,4788.462,
2013-09,94.524,
2013-10,-697.785,
2013-11,11193.736,
2013-12,1500.627,
2014-01,2596.843,
2014-02,2170.319,Provisional value
2014-03,17520.129,Provisional value
2014-04,14274.257,Provisional value
2014-05,5297.575,Provisional value
2014-06,4355.097,Provisional value
2014-07,678.228,Provisional value
2014-08,-3395.472,Provisional value
2014-09,14655.853,
2014-10,5094.052,
2014-11,13866.139,
2014-12,1344.685,Provisional value
