"",BBFN1.M.DE.N.1.A.CH.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CH.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Switzerland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:04,
2006-10,1.816,
2006-11,1.822,
2006-12,1.850,
2007-01,1.831,
2007-02,1.827,
2007-03,1.846,
2007-04,1.833,
2007-05,1.835,
2007-06,1.813,
2007-07,1.807,
2007-08,1.798,
2007-09,1.856,
2007-10,2.002,
2007-11,1.994,
2007-12,2.091,
2008-01,2.100,
2008-02,2.098,
2008-03,2.092,
2008-04,2.347,
2008-05,2.448,
2008-06,2.379,
2008-07,2.360,
2008-08,2.368,
2008-09,2.381,
2008-10,2.560,
2008-11,2.571,
2008-12,2.609,
2009-01,2.828,
2009-02,2.818,
2009-03,2.740,
2009-04,2.729,
2009-05,2.749,
2009-06,2.679,
2009-07,2.789,
2009-08,2.885,
2009-09,2.805,
2009-10,2.813,
2009-11,2.873,
2009-12,2.768,
2010-01,2.770,
2010-02,2.818,
2010-03,2.777,
2010-04,2.815,
2010-05,2.827,
2010-06,2.846,
2010-07,2.967,
2010-08,2.977,
2010-09,2.881,
2010-10,2.908,
2010-11,2.973,
2010-12,3.065,
2011-01,3.190,
2011-02,3.295,
2011-03,3.455,
2011-04,3.496,
2011-05,3.532,
2011-06,3.665,
2011-07,3.893,
2011-08,3.621,
2011-09,3.600,
2011-10,3.498,
2011-11,3.522,
2011-12,3.409,
2012-01,3.433,
2012-02,3.463,
2012-03,3.476,
2012-04,3.243,
2012-05,3.166,
2012-06,3.241,
2012-07,3.261,
2012-08,3.389,
2012-09,3.420,
2012-10,3.433,
2012-11,3.485,
2012-12,3.532,
2013-01,3.612,
2013-02,3.699,
2013-03,3.664,
2013-04,3.630,
2013-05,3.561,
2013-06,3.680,
2013-07,3.698,
2013-08,3.739,
2013-09,3.869,
2013-10,3.902,
2013-11,3.945,
2013-12,4.031,
2014-01,4.126,
2014-02,4.036,
2014-03,3.997,
2014-04,3.996,
2014-05,4.012,
2014-06,3.967,
2014-07,3.964,
2014-08,4.184,
2014-09,4.156,
2014-10,4.259,
2014-11,4.244,
2014-12,4.204,
