"",BBFN1.M.DE.N.1.A.ES.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ES.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1985-09,0.040,
1985-10,0.040,
1985-11,0.033,
1985-12,0.025,
1986-01,0.035,
1986-02,0.031,
1986-03,0.023,
1986-04,0.025,
1986-05,0.028,
1986-06,0.033,
1986-07,0.028,
1986-08,0.033,
1986-09,0.026,
1986-10,0.023,
1986-11,0.023,
1986-12,0.022,
1987-01,0.023,
1987-02,0.022,
1987-03,0.037,
1987-04,0.042,
1987-05,0.044,
1987-06,0.040,
1987-07,0.032,
1987-08,0.035,
1987-09,0.035,
1987-10,0.059,
1987-11,0.078,
1987-12,0.085,
1988-01,0.082,
1988-02,0.092,
1988-03,0.096,
1988-04,0.124,
1988-05,0.115,
1988-06,0.133,
1988-07,0.085,
1988-08,0.131,
1988-09,0.111,
1988-10,0.105,
1988-11,0.086,
1988-12,0.076,
1989-01,0.065,
1989-02,0.105,
1989-03,0.104,
1989-04,0.261,
1989-05,0.320,
1989-06,0.308,
1989-07,0.355,
1989-08,0.333,
1989-09,0.227,
1989-10,0.186,
1989-11,0.113,
1989-12,0.096,
1990-01,0.103,comment
1990-02,0.096,
1990-03,0.074,
1990-04,0.071,
1990-05,0.117,
1990-06,0.087,
1990-07,0.073,
1990-08,0.097,
1990-09,0.088,
1990-10,0.083,
1990-11,0.126,
1990-12,0.155,
1991-01,0.168,
1991-02,0.156,
1991-03,0.145,
1991-04,0.146,
1991-05,0.185,
1991-06,0.155,
1991-07,0.180,
1991-08,0.201,
1991-09,0.175,
1991-10,0.163,
1991-11,0.161,
1991-12,0.080,
1992-01,0.130,
1992-02,0.110,
1992-03,0.130,
1992-04,0.162,
1992-05,0.152,
1992-06,0.167,
1992-07,0.137,
1992-08,0.137,
1992-09,0.115,
1992-10,0.133,
1992-11,0.099,
1992-12,0.084,
1993-01,0.094,
1993-02,0.235,
1993-03,0.195,
1993-04,0.206,
1993-05,0.192,
1993-06,0.208,
1993-07,0.207,
1993-08,0.213,
1993-09,0.079,
1993-10,0.084,
1993-11,0.094,
1993-12,0.108,
1994-01,0.105,
1994-02,0.086,
1994-03,0.065,
1994-04,0.061,
1994-05,0.077,
1994-06,0.078,
1994-07,0.084,
1994-08,0.089,
1994-09,0.100,
1994-10,0.089,
1994-11,0.079,
1994-12,0.085,
1995-01,0.079,
1995-02,0.074,
1995-03,0.071,
1995-04,0.065,
1995-05,0.077,
1995-06,0.104,
1995-07,0.086,
1995-08,0.100,
1995-09,0.114,
1995-10,0.077,
1995-11,0.075,
1995-12,0.055,
1996-01,0.047,
1996-02,0.056,
1996-03,0.047,
1996-04,0.066,
1996-05,0.076,
1996-06,0.136,
1996-07,0.067,
1996-08,0.073,
1996-09,0.068,
1996-10,0.101,
1996-11,0.071,
1996-12,0.064,
1997-01,0.100,
1997-02,0.178,
1997-03,0.261,
1997-04,0.125,
1997-05,0.151,
1997-06,0.139,
1997-07,0.205,
1997-08,0.197,
1997-09,0.157,
1997-10,0.112,
1997-11,0.075,
1997-12,0.115,
1998-01,0.123,
1998-02,0.080,
1998-03,0.174,
1998-04,0.081,
1998-05,0.085,
1998-06,0.092,
1998-07,0.064,
1998-08,0.100,
1998-09,0.051,
1998-10,0.069,
1998-11,0.120,
1998-12,0.096,
1999-01,0.066,
1999-02,0.084,
1999-03,0.067,
1999-04,0.066,
1999-05,0.074,
1999-06,0.052,
1999-07,0.071,
1999-08,0.064,
1999-09,0.088,
1999-10,0.088,
1999-11,0.075,
1999-12,0.054,
2000-01,0.024,
2000-02,0.041,
2000-03,0.039,
2000-04,0.027,
2000-05,0.072,
2000-06,0.047,
2000-07,0.052,
2000-08,0.047,
2000-09,0.050,
2000-10,0.049,
2000-11,0.040,
2000-12,0.065,
2001-01,0.072,
2001-02,0.095,
2001-03,0.075,
2001-04,0.097,
2001-05,0.115,
2001-06,0.102,
2001-07,0.081,
2001-08,0.076,
2001-09,0.065,
2001-10,0.052,
2001-11,0.067,
2001-12,0.120,
2002-01,0.063,
2002-02,0.040,
2002-03,0.050,
2002-04,0.043,
2002-05,0.034,
2002-06,0.050,
2002-07,0.161,
2002-08,0.034,
2002-09,0.085,
2002-10,0.143,
2002-11,0.041,
2002-12,0.047,
2003-01,0.073,
2003-02,0.071,
2003-03,0.073,
2003-04,0.083,
2003-05,0.562,
2003-06,0.861,
2003-07,0.738,
2003-08,0.692,
2003-09,0.708,
2003-10,0.888,
2003-11,0.538,
2003-12,0.221,
2004-01,0.715,
2004-02,0.615,
2004-03,0.892,
2004-04,0.663,
2004-05,1.088,
2004-06,0.808,
2004-07,0.878,
2004-08,0.361,
2004-09,0.391,
2004-10,0.084,
2004-11,0.228,
2004-12,0.081,
2005-01,0.057,
2005-02,0.503,
2005-03,0.065,
2005-04,0.327,
2005-05,0.070,
2005-06,0.086,
2005-07,0.051,
2005-08,0.042,
2005-09,0.070,
2005-10,0.046,
2005-11,0.046,
2005-12,0.155,
2006-01,0.041,
2006-02,0.062,
2006-03,0.110,
2006-04,0.683,
2006-05,0.131,
2006-06,0.668,
2006-07,0.308,
2006-08,0.134,
2006-09,0.746,
2006-10,0.681,
2006-11,0.297,
2006-12,0.071,
2007-01,0.060,
2007-02,0.129,
2007-03,0.103,
2007-04,0.086,
2007-05,0.094,
2007-06,0.073,
2007-07,0.115,
2007-08,0.077,
2007-09,0.140,
2007-10,0.622,
2007-11,0.383,
2007-12,0.576,
2008-01,0.394,
2008-02,0.433,
2008-03,0.684,
2008-04,0.420,
2008-05,0.527,
2008-06,0.496,
2008-07,0.630,
2008-08,0.532,
2008-09,0.664,
2008-10,0.253,
2008-11,0.358,
2008-12,0.589,
2009-01,0.230,
2009-02,0.169,
2009-03,0.595,
2009-04,0.299,
2009-05,0.154,
2009-06,0.254,
2009-07,0.308,
2009-08,0.628,
2009-09,1.208,
2009-10,0.831,
2009-11,0.634,
2009-12,0.342,
2010-01,0.722,
2010-02,1.252,
2010-03,1.594,
2010-04,1.508,
2010-05,1.859,
2010-06,1.792,
2010-07,1.990,
2010-08,3.840,
2010-09,3.824,
2010-10,4.348,
2010-11,3.130,
2010-12,3.389,
2011-01,9.173,
2011-02,7.651,
2011-03,8.692,
2011-04,5.915,
2011-05,7.660,
2011-06,14.743,
2011-07,17.174,
2011-08,17.904,
2011-09,17.993,
2011-10,20.156,
2011-11,23.836,
2011-12,17.049,
2012-01,21.722,
2012-02,19.297,
2012-03,12.081,
2012-04,12.910,
2012-05,14.265,
2012-06,9.360,
2012-07,5.054,
2012-08,4.091,
2012-09,5.694,
2012-10,4.856,
2012-11,5.796,
2012-12,4.932,
2013-01,10.489,
2013-02,12.626,
2013-03,11.623,
2013-04,12.103,
2013-05,11.358,
2013-06,17.621,
2013-07,12.094,
2013-08,11.344,
2013-09,12.480,
2013-10,11.989,
2013-11,8.754,
2013-12,10.047,
2014-01,10.185,
2014-02,10.472,
2014-03,9.040,
2014-04,11.743,
2014-05,10.430,
2014-06,14.083,
2014-07,11.209,
2014-08,8.512,
2014-09,13.446,
2014-10,13.752,
2014-11,14.359,
2014-12,11.892,
