"",BBFB1.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z._T._X.N_FLAGS
2009-03,13644.103,
2009-04,-10969.084,
2009-05,35083.673,
2009-06,20185.983,
2009-07,-32836.533,
2009-08,8950.048,
2009-09,-9705.297,
2009-10,705.606,
2009-11,11771.592,
2009-12,29524.300,
2010-01,-44462.850,
2010-02,21138.225,
2010-03,457.809,
2010-04,-3789.578,
2010-05,24276.051,
2010-06,-30328.004,
2010-07,-16479.811,
2010-08,26761.458,
2010-09,26628.635,
2010-10,-128406.313,
2010-11,54062.192,
2010-12,9027.831,
2011-01,-7772.949,
2011-02,39287.257,
2011-03,10194.855,
2011-04,2938.760,
2011-05,51029.638,
2011-06,20453.321,
2011-07,-3713.442,
2011-08,45061.371,
2011-09,-3108.439,
2011-10,-13404.333,
2011-11,22961.310,
2011-12,-19018.541,
2012-01,-46648.905,
2012-02,30483.006,
2012-03,-5244.933,
2012-04,-8586.476,
2012-05,40298.775,
2012-06,19803.177,
2012-07,-15727.268,
2012-08,7481.057,
2012-09,9601.645,
2012-10,4338.181,
2012-11,37181.092,
2012-12,-2051.541,
2013-01,-41710.071,
2013-02,25229.711,
2013-03,-2532.865,
2013-04,-20010.010,
2013-05,13509.498,
2013-06,1600.779,
2013-07,-16913.134,
2013-08,17172.674,
2013-09,19109.793,
2013-10,19124.397,
2013-11,15724.454,
2013-12,8513.907,
2014-01,-14726.996,
2014-02,34035.906,
2014-03,-13539.928,
2014-04,-34745.224,
2014-05,39616.689,
2014-06,12399.779,
2014-07,-10517.920,
2014-08,40936.198,
2014-09,-6860.728,
2014-10,7234.008,
2014-11,3369.496,
2014-12,-16886.241,Provisional value
