"",BBFN1.M.DE.N.1.L.PA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1991-04,1.155,
1991-05,1.143,
1991-06,1.185,
1991-07,1.028,
1991-08,0.326,
1991-09,0.352,
1991-10,0.323,
1991-11,0.185,
1991-12,0.310,
1992-01,0.387,
1992-02,0.381,
1992-03,0.380,
1992-04,0.386,
1992-05,0.386,
1992-06,0.373,
1992-07,0.346,
1992-08,0.293,
1992-09,0.335,
1992-10,0.293,
1992-11,0.164,
1992-12,0.313,
1993-01,0.291,
1993-02,0.306,
1993-03,0.302,
1993-04,0.297,
1993-05,0.297,
1993-06,0.304,
1993-07,0.305,
1993-08,0.294,
1993-09,0.290,
1993-10,0.297,
1993-11,0.216,
1993-12,0.372,
1994-01,0.378,
1994-02,0.358,
1994-03,0.363,
1994-04,0.407,
1994-05,0.356,
1994-06,0.320,
1994-07,0.356,
1994-08,0.378,
1994-09,0.418,
1994-10,0.412,
1994-11,0.216,
1994-12,0.368,
1995-01,0.341,
1995-02,0.338,
1995-03,0.351,
1995-04,0.374,
1995-05,0.379,
1995-06,0.395,
1995-07,0.389,
1995-08,0.400,
1995-09,0.394,
1995-10,0.393,
1995-11,0.165,
1995-12,0.276,
1996-01,0.304,
1996-02,0.292,
1996-03,0.305,
1996-04,0.327,
1996-05,0.316,
1996-06,0.372,
1996-07,0.354,
1996-08,0.349,
1996-09,0.306,
1996-10,0.323,
1996-11,0.164,
1996-12,0.307,
1997-01,0.329,
1997-02,0.352,
1997-03,0.329,
1997-04,0.330,
1997-05,0.330,
1997-06,0.356,
1997-07,0.349,
1997-08,0.420,
1997-09,0.527,
1997-10,0.411,
1997-11,0.171,
1997-12,0.431,
1998-01,0.422,
1998-02,0.421,
1998-03,0.402,
1998-04,0.416,
1998-05,0.481,
1998-06,0.451,
1998-07,0.473,
1998-08,0.481,
1998-09,0.461,
1998-10,0.424,
1998-11,0.165,
1998-12,0.424,
1999-01,0.441,
1999-02,0.428,
1999-03,0.432,
1999-04,0.465,
1999-05,0.442,
1999-06,0.445,
1999-07,0.462,
1999-08,0.455,
1999-09,0.485,
1999-10,.,No value available
1999-11,0.205,
1999-12,0.229,
2000-01,0.247,
2000-02,0.222,
2000-03,0.265,
2000-04,0.296,
2000-05,0.252,
2000-06,0.280,
2000-07,0.300,
2000-08,0.290,
2000-09,0.323,
2000-10,0.297,
2000-11,0.345,
2000-12,0.323,
2001-01,0.297,
2001-02,0.237,
2001-03,0.222,
2001-04,0.234,
2001-05,0.250,
2001-06,0.277,
2001-07,0.220,
2001-08,0.280,
2001-09,0.251,
2001-10,0.226,
2001-11,0.277,
2001-12,0.259,
2002-01,0.240,
2002-02,0.215,
2002-03,0.208,
2002-04,0.251,
2002-05,0.253,
2002-06,0.237,
2002-07,0.172,
2002-08,0.228,
2002-09,0.218,
2002-10,0.250,
2002-11,0.252,
2002-12,0.210,
2003-01,0.159,
2003-02,0.271,
2003-03,0.279,
2003-04,0.273,
2003-05,0.403,
2003-06,0.396,
2003-07,0.448,
2003-08,0.431,
2003-09,0.354,
2003-10,0.287,
2003-11,0.338,
2003-12,0.371,
2004-01,0.355,
2004-02,0.288,
2004-03,0.258,
2004-04,0.084,
2004-05,0.156,
2004-06,0.196,
2004-07,0.152,
2004-08,0.221,
2004-09,0.166,
2004-10,0.195,
2004-11,0.225,
2004-12,0.206,
2005-01,0.263,
2005-02,0.147,
2005-03,0.101,
2005-04,0.221,
2005-05,0.175,
2005-06,0.210,
2005-07,0.208,
2005-08,0.207,
2005-09,0.122,
2005-10,0.234,
2005-11,0.193,
2005-12,0.358,
2006-01,0.332,
2006-02,0.416,
2006-03,0.406,
2006-04,0.522,
2006-05,0.725,
2006-06,1.002,
2006-07,0.834,
2006-08,0.387,
2006-09,0.499,
2006-10,0.505,
2006-11,0.658,
2006-12,0.687,
2007-01,0.692,
2007-02,0.762,
2007-03,0.766,
2007-04,0.379,
2007-05,0.281,
2007-06,0.315,
2007-07,0.311,
2007-08,0.460,
2007-09,0.351,
2007-10,0.316,
2007-11,0.172,
2007-12,0.196,
2008-01,0.714,
2008-02,1.131,
2008-03,1.155,
2008-04,1.140,
2008-05,1.148,
2008-06,1.177,
2008-07,1.105,
2008-08,1.108,
2008-09,1.105,
2008-10,1.114,
2008-11,1.039,
2008-12,1.021,
2009-01,1.028,
2009-02,1.047,
2009-03,1.045,
2009-04,1.025,
2009-05,1.026,
2009-06,1.020,
2009-07,1.028,
2009-08,1.029,
2009-09,1.124,
2009-10,1.129,
2009-11,1.032,
2009-12,1.035,
2010-01,1.038,
2010-02,1.042,
2010-03,1.069,
2010-04,1.043,
2010-05,1.039,
2010-06,1.037,
2010-07,1.056,
2010-08,1.058,
2010-09,1.072,
2010-10,1.070,
2010-11,1.074,
2010-12,1.125,
2011-01,0.574,
2011-02,0.138,
2011-03,0.107,
2011-04,0.183,
2011-05,0.082,
2011-06,0.114,
2011-07,0.127,
2011-08,0.091,
2011-09,0.100,
2011-10,0.105,
2011-11,0.102,
2011-12,0.056,
2012-01,0.059,
2012-02,0.056,
2012-03,0.076,
2012-04,0.079,
2012-05,0.085,
2012-06,0.084,
2012-07,0.093,
2012-08,0.096,
2012-09,0.094,
2012-10,0.098,
2012-11,0.091,
2012-12,0.082,
2013-01,0.091,
2013-02,0.088,
2013-03,0.093,
2013-04,0.084,
2013-05,0.086,
2013-06,0.088,
2013-07,0.057,
2013-08,0.054,
2013-09,0.152,
2013-10,0.091,
2013-11,0.084,
2013-12,0.093,
2014-01,0.095,
2014-02,0.103,
2014-03,0.111,
2014-04,0.071,
2014-05,0.070,
2014-06,0.075,
2014-07,0.072,
2014-08,0.074,
2014-09,0.081,
2014-10,0.063,
2014-11,0.051,
2014-12,0.061,
