"",BBFN1.M.DE.N.1.L.LU.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LU.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
2006-07,60.171,
2006-08,63.474,
2006-09,66.610,
2006-10,66.346,
2006-11,64.951,
2006-12,61.845,
2007-01,70.376,
2007-02,69.367,
2007-03,69.019,
2007-04,67.785,
2007-05,67.721,
2007-06,67.205,
2007-07,52.549,
2007-08,52.061,
2007-09,54.359,
2007-10,50.388,
2007-11,50.744,
2007-12,56.548,
2008-01,59.707,
2008-02,60.318,
2008-03,60.237,
2008-04,62.652,
2008-05,63.571,
2008-06,63.803,
2008-07,64.569,
2008-08,64.696,
2008-09,62.019,
2008-10,76.513,
2008-11,78.571,
2008-12,76.951,
2009-01,78.517,
2009-02,81.112,
2009-03,79.745,
2009-04,80.592,
2009-05,82.535,
2009-06,85.689,
2009-07,86.129,
2009-08,85.561,
2009-09,85.282,
2009-10,85.018,
2009-11,83.557,
2009-12,86.955,
2010-01,93.033,
2010-02,92.969,
2010-03,93.453,
2010-04,94.669,
2010-05,98.358,
2010-06,97.316,
2010-07,101.315,
2010-08,99.873,
2010-09,99.053,
2010-10,98.215,
2010-11,99.706,
2010-12,96.164,
2011-01,104.347,
2011-02,102.833,
2011-03,104.034,
2011-04,104.238,
2011-05,105.284,
2011-06,104.221,
2011-07,107.769,
2011-08,109.049,
2011-09,111.724,
2011-10,107.864,
2011-11,110.774,
2011-12,105.905,
2012-01,114.695,
2012-02,111.675,
2012-03,113.492,
2012-04,115.263,
2012-05,114.975,
2012-06,113.872,
2012-07,118.677,
2012-08,120.450,
2012-09,116.036,
2012-10,122.486,
2012-11,124.297,
2012-12,118.855,
2013-01,117.728,
2013-02,120.904,
2013-03,124.502,
2013-04,125.905,
2013-05,124.465,
2013-06,124.289,
2013-07,123.135,
2013-08,130.609,
2013-09,129.642,
2013-10,138.484,
2013-11,134.269,
2013-12,129.993,
2014-01,135.765,
2014-02,136.891,
2014-03,138.288,
2014-04,138.112,
2014-05,136.483,
2014-06,135.117,
2014-07,136.691,
2014-08,136.627,
2014-09,136.075,
2014-10,137.759,
2014-11,140.090,
2014-12,145.806,
