"",BBSF2.M.1.P.00000.TOT01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
1987-03,1526089,
1987-04,1544568,
1987-05,1567854,
1987-06,1582260,
1987-07,1603521,
1987-08,1629814,
1987-09,1643112,
1987-10,1652183,
1987-11,1678433,
1987-12,1693418,
1988-01,1716463,
1988-02,1762522,
1988-03,1783599,
1988-04,1788566,
1988-05,1799748,
1988-06,1816687,
1988-07,1829545,
1988-08,1851065,
1988-09,1885914,
1988-10,1900015,
1988-11,1952249,
1988-12,2003696,
1989-01,2065061,
1989-02,2122136,
1989-03,2155363,
1989-04,2183889,
1989-05,2189524,
1989-06,2205824,
1989-07,2233297,
1989-08,2251654,
1989-09,2252525,
1989-10,2263664,
1989-11,2321941,
1989-12,2345784,
1990-01,2371720,
1990-02,2409467,
1990-03,2458647,
1990-04,2463156,
1990-05,2464413,
1990-06,2463918,
1990-07,2462682,
1990-08,2475676,
1990-09,2480600,
1990-10,2485084,
1990-11,2520428,
1990-12,2533560,
1991-01,2536073,
1991-02,2571458,
1991-03,2604415,
1991-04,2629917,
1991-05,2648481,
1991-06,2670814,
1991-07,2669207,
1991-08,2677256,
1991-09,2678652,
1991-10,2684345,
1991-11,2714620,
1991-12,2732910,
1992-01,2781260,
1992-02,2814533,
1992-03,2838044,
1992-04,2845081,
1992-05,2846701,
1992-06,2833921,
1992-07,2798402,
1992-08,2748562,
1992-09,2691481,
1992-10,2645093,
1992-11,2591899,
1992-12,2533699,
1993-01,2541806,
1993-02,2559153,
1993-03,2572036,
1993-04,2582756,
1993-05,2593358,
1993-06,2594673,
1993-07,2574675,
1993-08,2597779,
1993-09,2605755,
1993-10,2630103,
1993-11,2692224,
1993-12,2758257,
1994-01,2879741,
1994-02,2970636,
1994-03,3020083,
1994-04,3048377,
1994-05,3075684,
1994-06,3098111,
1994-07,3125503,
1994-08,3150891,
1994-09,3176553,
1994-10,3209814,
1994-11,3302678,
1994-12,3581973,
1995-01,3574496,
1995-02,3575095,
1995-03,3554672,
1995-04,3551019,
1995-05,3550577,
1995-06,3556506,
1995-07,3566651,
1995-08,3568865,
1995-09,3569830,
1995-10,3588914,
1995-11,3650924,
1995-12,3751241,
1996-01,3795211,
1996-02,3826736,
1996-03,3838767,
1996-04,3870171,
1996-05,3878296,
1996-06,3868354,
1996-07,3849163,
1996-08,3855519,
1996-09,3855427,
1996-10,3856069,
1996-11,3881429,
1996-12,3885914,
1997-01,3958217,
1997-02,4043148,
1997-03,4075238,
1997-04,4104191,
1997-05,4127768,
1997-06,4157276,
1997-07,4188526,
1997-08,4189824,
1997-09,4210636,
1997-10,4199688,
1997-11,4226825,
1997-12,4257613,
1998-01,4295928,
1998-02,4367097,
1998-03,4428651,
1998-04,4463532,
1998-05,4492392,
1998-06,4522474,
1998-07,4548850,
1998-08,4586949,
1998-09,4562875,
1998-10,4549457,
1998-11,4616670,
1998-12,4638502,
1999-01,4776041,
1999-02,4871439,
1999-03,4924405,
1999-04,4995317,
1999-05,5063720,
1999-06,5117401,
1999-07,5196859,
1999-08,5252045,
1999-09,5293039,
1999-10,5359160,
1999-11,5367770,
1999-12,5366327,
2000-01,5505699,
2000-02,5557684,
2000-03,5639720,
2000-04,5672979,
2000-05,5663536,
2000-06,5682148,
2000-07,5718932,
2000-08,5749003,
2000-09,5725847,
2000-10,5731380,
2000-11,5784686,
2000-12,5808252,
2001-01,5920013,
2001-02,6026292,
2001-03,6028845,
2001-04,6050993,
2001-05,6042259,
2001-06,6062390,
2001-07,6107322,
2001-08,6162844,
2001-09,6141420,
2001-10,6231124,
2001-11,6330694,
2001-12,6417307,
2002-01,6551321,
2002-02,6656336,
2002-03,6690679,
2002-04,6693865,
2002-05,6731518,
2002-06,6741847,
2002-07,6780653,
2002-08,6842942,
2002-09,6834319,
2002-10,6850389,
2002-11,6889777,
2002-12,6876658,
2003-01,6970740,
2003-02,7040443,
2003-03,7096806,
2003-04,7157761,
2003-05,7197759,
2003-06,7270494,
2003-07,7287818,
2003-08,7339877,
2003-09,7332345,
2003-10,7326107,
2003-11,7329372,
2003-12,7320529,
2004-01,7322283,
2004-02,7352586,
2004-03,7405206,
2004-04,7396872,
2004-05,7397712,
2004-06,7381310,
2004-07,7446882,
2004-08,7442321,
2004-09,7395430,
2004-10,7362928,
2004-11,7330012,
2004-12,7280601,
2005-01,7307253,
2005-02,7298079,
2005-03,7339530,
2005-04,7342481,
2005-05,7321914,
2005-06,7360578,
2005-07,7429639,
2005-08,7454421,
2005-09,7451312,
2005-10,7402012,
2005-11,7414394,
2005-12,7365060,
2006-01,7231975,
2006-02,7259587,
2006-03,7186152,
2006-04,7145286,
2006-05,7111377,
2006-06,7079454,
2006-07,7070105,
2006-08,7035010,
2006-09,7003187,
2006-10,6955791,
2006-11,6919143,
2006-12,6930306,
2007-01,6871820,
2007-02,6875023,
2007-03,6825710,
2007-04,6843698,
2007-05,6824585,
2007-06,6791678,
2007-07,6761611,
2007-08,6667820,
2007-09,6610325,
2007-10,6591046,
2007-11,6601579,
2007-12,6586888,
2008-01,6600189,
2008-02,6630271,
2008-03,6610088,
2008-04,6743393,
2008-05,6751209,
2008-06,6551334,
2008-07,6529885,
2008-08,6513479,
2008-09,6449183,
2008-10,6111524,
2008-11,6098645,
2008-12,6180977,
2009-01,6471761,
2009-02,6270942,
2009-03,6195437,
2009-04,6286900,
2009-05,6320690,
2009-06,6292543,
2009-07,6314201,
2009-08,6307995,
2009-09,6329305,
2009-10,6239831,
2009-11,6285948,
2009-12,6277513,
2010-01,6367953,
2010-02,6399670,
2010-03,6413930,
2010-04,6413677,
2010-05,6514824,
2010-06,6363955,
2010-07,6380373,
2010-08,6394347,
2010-09,6369480,
2010-10,6360933,
2010-11,6368226,
2010-12,6372027,
2011-01,6398606,
2011-02,6416155,
2011-03,6363010,
2011-04,6355964,
2011-05,6361523,
2011-06,6349547,
2011-07,6381816,
2011-08,6314573,
2011-09,6290026,
2011-10,6302594,
2011-11,6274695,
2011-12,6251687,
2012-01,6261039,
2012-02,6263773,
2012-03,6233369,
2012-04,6151683,
2012-05,6161221,
2012-06,6149217,
2012-07,6177790,
2012-08,6172057,
2012-09,6187318,
2012-10,6198324,
2012-11,6228626,
2012-12,6259748,
2013-01,6286366,
2013-02,6314670,
2013-03,6315075,
2013-04,6305063,
2013-05,6309742,
2013-06,6321656,
2013-07,6359069,
2013-08,6333454,
2013-09,6351412,
2013-10,6320911,
2013-11,6337350,
2013-12,6354363,
2014-01,6343491,
2014-02,6369217,
2014-03,6372248,
2014-04,6404996,
2014-05,6430780,
2014-06,6487988,
2014-07,6504496,
2014-08,6521594,
2014-09,6505951,
2014-10,6432173,
2014-11,6432155,
