"",BBFN1.M.DE.N.1.A.AR.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AR.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1990-11,0.145,
1990-12,0.076,
1991-01,0.082,
1991-02,0.083,
1991-03,0.084,
1991-04,0.085,
1991-05,0.086,
1991-06,0.088,
1991-07,0.088,
1991-08,0.088,
1991-09,0.155,
1991-10,0.155,
1991-11,0.240,
1991-12,0.242,
1992-01,0.246,
1992-02,0.201,
1992-03,0.216,
1992-04,0.218,
1992-05,0.220,
1992-06,0.205,
1992-07,0.201,
1992-08,0.200,
1992-09,0.154,
1992-10,0.148,
1992-11,0.149,
1992-12,0.161,
1993-01,0.172,
1993-02,0.188,
1993-03,0.174,
1993-04,0.184,
1993-05,0.189,
1993-06,0.190,
1993-07,0.176,
1993-08,0.170,
1993-09,0.172,
1993-10,0.160,
1993-11,0.166,
1993-12,0.179,
1994-01,0.179,
1994-02,0.179,
1994-03,0.177,
1994-04,0.184,
1994-05,0.175,
1994-06,0.171,
1994-07,0.163,
1994-08,0.158,
1994-09,0.148,
1994-10,0.151,
1994-11,0.159,
1994-12,0.163,
1995-01,0.161,
1995-02,0.163,
1995-03,0.137,
1995-04,0.138,
1995-05,0.163,
1995-06,0.126,
1995-07,0.096,
1995-08,0.132,
1995-09,0.145,
1995-10,0.138,
1995-11,0.139,
1995-12,0.140,
1996-01,0.149,
1996-02,0.152,
1996-03,0.152,
1996-04,0.152,
1996-05,0.123,
1996-06,0.118,
1996-07,0.117,
1996-08,0.126,
1996-09,0.116,
1996-10,0.114,
1996-11,0.114,
1996-12,0.121,
1997-01,0.119,
1997-02,0.139,
1997-03,0.153,
1997-04,0.152,
1997-05,0.153,
1997-06,0.148,
1997-07,0.154,
1997-08,0.157,
1997-09,0.264,
1997-10,0.259,
1997-11,0.260,
1997-12,0.250,
1998-01,0.247,
1998-02,0.248,
1998-03,0.267,
1998-04,0.259,
1998-05,0.259,
1998-06,0.255,
1998-07,0.256,
1998-08,0.258,
1998-09,0.261,
1998-10,0.280,
1998-11,0.264,
1998-12,0.250,
1999-01,0.270,
1999-02,0.275,
1999-03,0.281,
1999-04,0.287,
1999-05,0.283,
1999-06,0.281,
1999-07,0.288,
1999-08,0.304,
1999-09,0.336,
1999-10,0.339,
1999-11,0.346,
1999-12,0.355,
2000-01,0.359,
2000-02,0.355,
2000-03,0.349,
2000-04,0.352,
2000-05,0.352,
2000-06,0.355,
2000-07,0.352,
2000-08,0.352,
2000-09,0.352,
2000-10,0.352,
2000-11,0.365,
2000-12,0.208,
2001-01,0.233,
2001-02,0.225,
2001-03,0.217,
2001-04,0.224,
2001-05,0.223,
2001-06,0.218,
2001-07,0.225,
2001-08,0.212,
2001-09,0.206,
2001-10,0.205,
2001-11,0.219,
2001-12,0.221,
2002-01,0.222,
2002-02,0.221,
2002-03,0.218,
2002-04,0.221,
2002-05,0.216,
2002-06,0.203,
2002-07,0.197,
2002-08,0.197,
2002-09,0.190,
2002-10,0.192,
2002-11,0.190,
2002-12,0.164,
2003-01,0.150,
2003-02,0.144,
2003-03,0.139,
2003-04,0.145,
2003-05,0.145,
2003-06,0.136,
2003-07,0.115,
2003-08,0.084,
2003-09,0.080,
2003-10,0.080,
2003-11,0.098,
2003-12,0.095,
2004-01,0.108,
2004-02,0.109,
2004-03,0.107,
2004-04,0.107,
2004-05,0.107,
2004-06,0.108,
2004-07,0.114,
2004-08,0.113,
2004-09,0.109,
2004-10,0.113,
2004-11,0.113,
2004-12,0.113,
2005-01,0.115,
2005-02,0.112,
2005-03,0.112,
2005-04,0.112,
2005-05,0.111,
2005-06,0.110,
2005-07,0.110,
2005-08,0.109,
2005-09,0.104,
2005-10,0.097,
2005-11,0.097,
2005-12,0.097,
2006-01,0.100,
2006-02,0.099,
2006-03,0.098,
2006-04,0.098,
2006-05,0.091,
2006-06,0.089,
2006-07,0.096,
2006-08,0.087,
2006-09,0.112,
2006-10,0.133,
2006-11,0.134,
2006-12,0.128,
2007-01,0.129,
2007-02,0.128,
2007-03,0.133,
2007-04,0.134,
2007-05,0.135,
2007-06,0.135,
2007-07,0.136,
2007-08,0.135,
2007-09,0.137,
2007-10,0.136,
2007-11,0.136,
2007-12,0.133,
2008-01,0.102,
2008-02,0.104,
2008-03,0.098,
2008-04,0.100,
2008-05,0.106,
2008-06,0.108,
2008-07,0.108,
2008-08,0.164,
2008-09,0.180,
2008-10,0.184,
2008-11,0.199,
2008-12,0.198,
2009-01,0.200,
2009-02,0.200,
2009-03,0.202,
2009-04,0.207,
2009-05,0.205,
2009-06,0.203,
2009-07,0.204,
2009-08,0.209,
2009-09,0.202,
2009-10,0.207,
2009-11,0.207,
2009-12,0.206,
2010-01,0.207,
2010-02,0.212,
2010-03,0.221,
2010-04,0.227,
2010-05,0.228,
2010-06,0.241,
2010-07,0.230,
2010-08,0.231,
2010-09,0.218,
2010-10,0.216,
2010-11,0.217,
2010-12,0.214,
2011-01,0.226,
2011-02,0.230,
2011-03,0.218,
2011-04,0.213,
2011-05,0.214,
2011-06,0.207,
2011-07,0.206,
2011-08,0.205,
2011-09,0.220,
2011-10,0.211,
2011-11,0.212,
2011-12,0.212,
2012-01,0.201,
2012-02,0.197,
2012-03,0.188,
2012-04,0.194,
2012-05,0.201,
2012-06,0.200,
2012-07,0.202,
2012-08,0.204,
2012-09,0.198,
2012-10,0.199,
2012-11,0.201,
2012-12,0.179,
2013-01,0.182,
2013-02,0.176,
2013-03,0.173,
2013-04,0.164,
2013-05,0.163,
2013-06,0.161,
2013-07,0.156,
2013-08,0.156,
2013-09,0.146,
2013-10,0.147,
2013-11,0.141,
2013-12,0.140,
2014-01,0.132,
2014-02,0.130,
2014-03,0.124,
2014-04,0.194,
2014-05,0.194,
2014-06,0.188,
2014-07,0.187,
2014-08,0.187,
2014-09,0.182,
2014-10,0.160,
2014-11,0.159,
2014-12,0.154,
