"",BBFN1.M.DE.N.1.A.BR.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BR.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1989-12,0.132,
1990-01,0.144,
1990-02,0.157,
1990-03,0.158,
1990-04,0.157,
1990-05,0.159,
1990-06,0.159,
1990-07,0.164,
1990-08,0.163,
1990-09,0.174,
1990-10,0.168,
1990-11,0.171,
1990-12,0.169,
1991-01,0.168,
1991-02,0.165,
1991-03,0.168,
1991-04,0.171,
1991-05,0.175,
1991-06,0.177,
1991-07,0.173,
1991-08,0.174,
1991-09,0.171,
1991-10,0.170,
1991-11,0.198,
1991-12,0.193,
1992-01,0.201,
1992-02,0.201,
1992-03,0.200,
1992-04,0.200,
1992-05,0.203,
1992-06,0.189,
1992-07,0.188,
1992-08,0.202,
1992-09,0.200,
1992-10,0.199,
1992-11,0.199,
1992-12,0.213,
1993-01,0.210,
1993-02,0.211,
1993-03,0.189,
1993-04,0.190,
1993-05,0.187,
1993-06,0.186,
1993-07,0.185,
1993-08,0.185,
1993-09,0.183,
1993-10,0.176,
1993-11,0.176,
1993-12,0.175,
1994-01,0.173,
1994-02,0.178,
1994-03,0.176,
1994-04,0.172,
1994-05,0.169,
1994-06,0.164,
1994-07,0.163,
1994-08,0.159,
1994-09,0.160,
1994-10,0.134,
1994-11,0.128,
1994-12,0.115,
1995-01,0.115,
1995-02,0.115,
1995-03,0.115,
1995-04,0.109,
1995-05,0.129,
1995-06,0.133,
1995-07,0.131,
1995-08,0.130,
1995-09,0.151,
1995-10,0.155,
1995-11,0.140,
1995-12,0.134,
1996-01,0.141,
1996-02,0.137,
1996-03,0.135,
1996-04,0.142,
1996-05,0.149,
1996-06,0.153,
1996-07,0.154,
1996-08,0.153,
1996-09,0.161,
1996-10,0.160,
1996-11,0.170,
1996-12,0.176,
1997-01,0.166,
1997-02,0.141,
1997-03,0.143,
1997-04,0.144,
1997-05,0.142,
1997-06,0.154,
1997-07,0.242,
1997-08,0.318,
1997-09,0.333,
1997-10,0.340,
1997-11,0.420,
1997-12,0.423,
1998-01,0.439,
1998-02,0.458,
1998-03,0.456,
1998-04,0.451,
1998-05,0.452,
1998-06,0.452,
1998-07,0.446,
1998-08,0.446,
1998-09,0.494,
1998-10,0.505,
1998-11,0.434,
1998-12,0.479,
1999-01,0.482,
1999-02,0.477,
1999-03,0.463,
1999-04,0.503,
1999-05,0.537,
1999-06,0.582,
1999-07,0.602,
1999-08,0.610,
1999-09,0.631,
1999-10,0.645,
1999-11,0.639,
1999-12,0.654,
2000-01,0.650,
2000-02,0.648,
2000-03,0.662,
2000-04,0.654,
2000-05,0.626,
2000-06,0.623,
2000-07,0.630,
2000-08,0.629,
2000-09,0.633,
2000-10,0.632,
2000-11,0.638,
2000-12,0.661,
2001-01,0.747,
2001-02,0.754,
2001-03,0.774,
2001-04,0.777,
2001-05,0.697,
2001-06,0.550,
2001-07,0.548,
2001-08,0.547,
2001-09,0.766,
2001-10,0.782,
2001-11,0.784,
2001-12,0.879,
2002-01,0.860,
2002-02,0.862,
2002-03,0.849,
2002-04,0.862,
2002-05,0.864,
2002-06,0.817,
2002-07,0.819,
2002-08,0.814,
2002-09,0.817,
2002-10,0.797,
2002-11,0.778,
2002-12,0.735,
2003-01,0.705,
2003-02,0.690,
2003-03,0.688,
2003-04,0.673,
2003-05,0.654,
2003-06,0.661,
2003-07,0.750,
2003-08,0.771,
2003-09,0.758,
2003-10,0.694,
2003-11,0.675,
2003-12,0.637,
2004-01,0.623,
2004-02,0.619,
2004-03,0.614,
2004-04,0.615,
2004-05,0.615,
2004-06,0.596,
2004-07,0.568,
2004-08,0.556,
2004-09,0.548,
2004-10,0.538,
2004-11,0.527,
2004-12,0.521,
2005-01,0.515,
2005-02,0.508,
2005-03,0.492,
2005-04,0.498,
2005-05,0.485,
2005-06,0.481,
2005-07,0.480,
2005-08,0.492,
2005-09,0.479,
2005-10,0.456,
2005-11,0.430,
2005-12,0.432,
2006-01,0.429,
2006-02,0.440,
2006-03,0.428,
2006-04,0.438,
2006-05,0.450,
2006-06,0.556,
2006-07,0.590,
2006-08,0.595,
2006-09,0.597,
2006-10,0.609,
2006-11,0.618,
2006-12,0.538,
2007-01,0.551,
2007-02,0.566,
2007-03,0.548,
2007-04,0.551,
2007-05,0.543,
2007-06,0.545,
2007-07,0.539,
2007-08,0.551,
2007-09,0.544,
2007-10,0.477,
2007-11,0.472,
2007-12,0.456,
2008-01,0.447,
2008-02,0.448,
2008-03,0.451,
2008-04,0.447,
2008-05,0.442,
2008-06,0.472,
2008-07,0.493,
2008-08,0.493,
2008-09,0.495,
2008-10,0.518,
2008-11,0.550,
2008-12,0.510,
2009-01,0.520,
2009-02,0.539,
2009-03,0.540,
2009-04,0.493,
2009-05,0.474,
2009-06,0.441,
2009-07,0.432,
2009-08,0.424,
2009-09,0.419,
2009-10,0.408,
2009-11,0.404,
2009-12,0.404,
2010-01,0.394,
2010-02,0.415,
2010-03,0.407,
2010-04,0.398,
2010-05,0.400,
2010-06,0.447,
2010-07,0.479,
2010-08,0.479,
2010-09,0.466,
2010-10,0.549,
2010-11,0.567,
2010-12,0.591,
2011-01,0.625,
2011-02,0.623,
2011-03,0.631,
2011-04,0.606,
2011-05,0.635,
2011-06,0.643,
2011-07,0.700,
2011-08,0.694,
2011-09,0.736,
2011-10,0.750,
2011-11,0.760,
2011-12,0.791,
2012-01,0.807,
2012-02,0.834,
2012-03,0.876,
2012-04,0.889,
2012-05,0.895,
2012-06,0.903,
2012-07,0.932,
2012-08,0.930,
2012-09,0.964,
2012-10,0.988,
2012-11,0.991,
2012-12,1.062,
2013-01,1.059,
2013-02,1.071,
2013-03,1.089,
2013-04,1.099,
2013-05,1.135,
2013-06,1.145,
2013-07,1.124,
2013-08,1.140,
2013-09,1.172,
2013-10,1.171,
2013-11,1.160,
2013-12,1.201,
2014-01,1.189,
2014-02,1.210,
2014-03,1.208,
2014-04,1.183,
2014-05,1.213,
2014-06,1.241,
2014-07,1.241,
2014-08,1.181,
2014-09,1.175,
2014-10,1.393,
2014-11,1.073,
2014-12,1.075,
